
[00:00:00.000 --> 00:00:04.000]  在聖經當中我們看見主耶穌就是用葡萄樹跟枝子
[00:00:04.000 --> 00:00:07.000]  來比喻我們跟祂的關係。
[00:00:07.000 --> 00:00:11.000]  一個枝子必須連結在葡萄樹上面,
[00:00:11.000 --> 00:00:16.000]  祂才能夠得到養分的供應以及結果子的能力。
[00:00:16.000 --> 00:00:19.000]  同樣今天對每一個基督徒來講,
[00:00:19.000 --> 00:00:23.000]  主耶穌基督自己就是我們生命當中
[00:00:23.000 --> 00:00:28.000]  一切生命、智慧、力量、喜樂的源頭。
[00:00:28.000 --> 00:00:33.000]  所以我們的生命一定要連結在主的裡面,
[00:00:33.000 --> 00:00:37.000]  否則我們就不可能經歷到神應許的祝福。
[00:00:37.000 --> 00:00:43.000]  你知道在聖經裡面主特別用葡萄樹跟枝子來做比喻是很有意思的。
[00:00:43.000 --> 00:00:48.000]  主沒有用其他的樹木,主也沒有用香薄木等類,
[00:00:48.000 --> 00:00:51.000]  祂乃是用葡萄樹。
[00:00:51.000 --> 00:00:53.000]  我相信有一個很重要的原因,
[00:00:53.000 --> 00:00:59.000]  就是葡萄樹的枝子除了結果子以外,
[00:00:59.000 --> 00:01:02.000]  一無是處,不是嗎?
[00:01:02.000 --> 00:01:04.000]  想想看如果你手裡拿個葡萄樹的枝子,
[00:01:04.000 --> 00:01:07.000]  一個小樹藤,能做什麼?
[00:01:07.000 --> 00:01:11.000]  什麼都不能做,最多扔在火裡燒,當柴燒。
[00:01:11.000 --> 00:01:15.000]  你連把它當柴燒都覺得還不夠力了,不是嗎?
[00:01:15.000 --> 00:01:19.000]  葡萄樹的枝子只有一種用途,
[00:01:19.000 --> 00:01:22.000]  那就是要結出果子來。
[00:01:22.000 --> 00:01:27.000]  而它要結出果子,它就必須連結在葡萄樹上。
[00:01:27.000 --> 00:01:31.000]  所以同樣主今天用這個比喻來對我們說,
[00:01:31.000 --> 00:01:35.000]  作為基督徒,我們生活中最重要的一件事情,
[00:01:35.000 --> 00:01:40.000]  就是要活出基督生命的見證。
[00:01:40.000 --> 00:01:44.000]  否則的話,你聽得再多,講得再多都沒有用。
[00:01:44.000 --> 00:01:48.000]  別人看見你沒有果子,就沒有果子。
[00:01:48.000 --> 00:01:51.000]  沒得看,就沒得看。
[00:01:51.000 --> 00:01:53.000]  所以難怪主在第五節說,
[00:01:53.000 --> 00:01:56.000]  離了我,你們什麼都不能做。
[00:01:56.000 --> 00:01:58.000]  很多人常說,不明白這句話。
[00:01:58.000 --> 00:02:02.000]  No,如果你讀這段聖經的背景就明白。
[00:02:02.000 --> 00:02:06.000]  耶穌在說,離了我,你們結不出果子來。
[00:02:06.000 --> 00:02:12.000]  離了我,你們沒有辦法活出基督的生命的見證的。
[00:02:12.000 --> 00:02:16.000]  那你說我們怎麼樣才能夠活出基督生命的見證?
[00:02:16.000 --> 00:02:23.000]  在今天這段經文當中,講到我們生命當中三個藏在。
[00:02:23.000 --> 00:02:27.000]  第一個藏在,是要藏在主的話語裡面。
[00:02:27.000 --> 00:02:30.000]  跟你們說藏在主的話語裡面。
[00:02:30.000 --> 00:02:33.000]  第七節你們說你們要藏在我裡面,
[00:02:33.000 --> 00:02:35.000]  我的話也藏在你們裡面。
[00:02:35.000 --> 00:02:39.000]  換句話說,當我們把神的話放在我們裡面的時候,
[00:02:39.000 --> 00:02:43.000]  主的生命就同時會在我們的裡面。
[00:02:43.000 --> 00:02:47.000]  你說我們怎麼樣能夠把神的話藏在我們的裡面呢?
[00:02:47.000 --> 00:02:50.000]  兩方面,第一個你要來研讀神的話。
[00:02:50.000 --> 00:02:53.000]  跟你們說要研讀神的話。
[00:02:53.000 --> 00:02:57.000]  第二點,神的話是我們整個信仰的根基。
[00:02:57.000 --> 00:03:01.000]  今天你不可能說你不花時間來讀神的話,
[00:03:01.000 --> 00:03:05.000]  而期待你的生命能夠成熟長大,不可能。
[00:03:05.000 --> 00:03:09.000]  你知道他們說我們在基督也要做新造的人,不是嗎?
[00:03:09.000 --> 00:03:12.000]  那什麼是新造的人呢?
[00:03:12.000 --> 00:03:15.000]  各位吸收三章第十節給我們這個答案,
[00:03:15.000 --> 00:03:16.000]  我們一同來念來。
[00:03:16.000 --> 00:03:20.000]  穿上了新人,這新人在知識上漸漸更新,
[00:03:20.000 --> 00:03:22.000]  正如造他主的形象。
[00:03:22.000 --> 00:03:26.000]  很清楚地講,這個新人是在什麼?
[00:03:26.000 --> 00:03:29.000]  知識上漸漸更新。
[00:03:29.000 --> 00:03:33.000]  一個基督徒如果在知識上不被更新,
[00:03:33.000 --> 00:03:38.000]  那我們的思想所充滿是舊有的觀念,
[00:03:38.000 --> 00:03:40.000]  舊有的想法。
[00:03:40.000 --> 00:03:43.000]  所以活出來就一定是舊有的生命。
[00:03:43.000 --> 00:03:47.000]  他既不明白神的心意,也不明白神的法則,
