
[00:00:00.000 --> 00:00:02.000]  讓我們一齊禱告
[00:00:02.000 --> 00:00:04.000]  與人同在的主我們感謝祢
[00:00:04.000 --> 00:00:07.000]  因為祢賜下聖靈與我們同在
[00:00:07.000 --> 00:00:12.000]  祢叫我們去藉著聖靈去看見祢的導引
[00:00:12.000 --> 00:00:14.000]  看見祢的帶領
[00:00:14.000 --> 00:00:16.000]  願以今日聖靈都導引我們
[00:00:16.000 --> 00:00:18.000]  讓我們藉著這段經文
[00:00:18.000 --> 00:00:20.000]  去思考我們怎樣去跟從祢
[00:00:20.000 --> 00:00:22.000]  作主祢的門徒
[00:00:22.000 --> 00:00:25.000]  有求祢為著兒子的聲音去禱告
[00:00:25.000 --> 00:00:27.000]  因為很咳也很不舒服
[00:00:27.000 --> 00:00:31.000]  但願以我的軟弱不會影響聖靈的工作
[00:00:31.000 --> 00:00:33.000]  也知道聖靈祢的能力
[00:00:33.000 --> 00:00:36.000]  上帝祢的能力大於一切
[00:00:36.000 --> 00:00:39.000]  求祢幫助讓我們眾人
[00:00:39.000 --> 00:00:41.000]  一同藉著講道和聽道
[00:00:41.000 --> 00:00:42.000]  我們服侍祢
[00:00:42.000 --> 00:00:44.000]  奉主耶穌的聖名祈求
[00:00:44.000 --> 00:00:45.000]  阿門
[00:00:45.000 --> 00:00:47.000]  見祢為我祈禱
[00:00:47.000 --> 00:00:49.000]  我講個秘密給你聽
[00:00:49.000 --> 00:00:53.000]  我其實是有色虐的
[00:00:53.000 --> 00:00:55.000]  是有嚴重的色虐
[00:00:55.000 --> 00:00:57.000]  有多嚴重呢
[00:00:57.000 --> 00:01:01.000]  講一件事給大家聽就知道了
[00:01:01.000 --> 00:01:05.000]  我晚上是分不到紅的和綠的
[00:01:05.000 --> 00:01:09.000]  只要一到晚上
[00:01:09.000 --> 00:01:10.000]  即是白天就可以
[00:01:10.000 --> 00:01:11.000]  但晚上就分不到
[00:01:11.000 --> 00:01:14.000]  所以當時住神學院的時候
[00:01:14.000 --> 00:01:17.000]  你知道浸神是很生卡的
[00:01:17.000 --> 00:01:20.000]  所以就算在馬鞍山站
[00:01:20.000 --> 00:01:22.000]  其實可以搭的士進去
[00:01:22.000 --> 00:01:24.000]  但晚上我都不敢搭的士
[00:01:24.000 --> 00:01:27.000]  因為我不知道我截的是紅色還是綠色的的士
