
[00:00:00.000 --> 00:00:04.000]  (主持人:大師兄,大師妹平安,好開心呢,今天去同大家分享啦)
[00:00:04.000 --> 00:00:06.000]  (主持人:咁呢,係講之先啦,我都去分享)
[00:00:06.000 --> 00:00:09.000]  (主持人:話說呢,我哋近排呢有一個讀書小組啊)
[00:00:09.000 --> 00:00:12.000]  (主持人:就係我哋有四個人啦,包括有教目啦,有執事啦)
[00:00:12.000 --> 00:00:16.000]  (主持人:咁呢我哋一齊去睇書啦,一齊去學習啦,去分享)
[00:00:16.000 --> 00:00:19.000]  (主持人:其中呢,本書有個問題呢,問我哋呢,好得意嘅)
[00:00:19.000 --> 00:00:25.000]  (主持人:佢話:「你會點樣形容自己教會,或者你嘅教會有咩特色啊?」)
[00:00:25.000 --> 00:00:30.000]  (主持人:呢,稍幾玩暫訊會啦,即係呢,我哋分享嘅時候呢)
[00:00:30.000 --> 00:00:32.000]  (主持人:我嗰刻呢都停頓咗啊,我諗,啊有咩特色呢?)
[00:00:32.000 --> 00:00:36.000]  (主持人:我就去思考,其實因為我由細喺稍浸成長啦)
[00:00:36.000 --> 00:00:38.000]  (主持人:所以呢,你問我教會有咩特色呢?)
[00:00:38.000 --> 00:00:41.000]  (主持人:我真係未必即刻答到,因為教會咪就係咁囉)
[00:00:41.000 --> 00:00:43.000]  (主持人:教會唔係應該就係咁㗎咩?)
[00:00:43.000 --> 00:00:45.000]  (主持人:即係我冇接觸好多其他教會嘛)
[00:00:45.000 --> 00:00:48.000]  (主持人:咁所以呢,當我再認真去諗呢條題目嘅時候呢)
[00:00:48.000 --> 00:00:56.000]  (主持人:我就諗起我當時讀神學啦,就要去唔同教會去參觀啦)
[00:00:56.000 --> 00:00:58.000]  (主持人:即係去實習啦,或者去探訪啦)
[00:00:58.000 --> 00:01:00.000]  (主持人:即係可能嗰年呢,就逢禮拜日呢,就去其他教會)
[00:01:00.000 --> 00:01:02.000]  (主持人:即係神學院老師呢,就帶我哋去參觀)
[00:01:02.000 --> 00:01:05.000]  (主持人:咁呢,就會發現,我透過認識人哋教會呢)
[00:01:05.000 --> 00:01:08.000]  (主持人:先知道原來我自己稍浸呢個教會呢,有咩特色嘅)
[00:01:08.000 --> 00:01:11.000]  (主持人:咁呢,我記得好深刻嘅,即係有唔同嘅參觀啦)
[00:01:11.000 --> 00:01:18.000]  (主持人:有啲人都嚟到,有啲朋友都嚟到,咁呢,就會話)
[00:01:18.000 --> 00:01:20.000]  (主持人:哇!原來你哋教會有升降機㗎)
[00:01:20.000 --> 00:01:22.000]  (主持人:即係唔知你有冇有啲個疑問)
[00:01:22.000 --> 00:01:24.000]  (主持人:我以為唔係間間教會都有升降機㗎咩)
[00:01:24.000 --> 00:01:26.000]  (主持人:因為唯一認識嘅我哋教會有升降機)
