
[00:00:00.000 --> 00:00:02.000]  在正道之前,我們同心來祈禱
[00:00:02.000 --> 00:00:08.000]  神的獨生兒子,耶穌基督求祢施恩可憐這個罪孕
[00:00:08.000 --> 00:00:13.000]  願意在主祢面前示立宣講主的恩怨
[00:00:13.000 --> 00:00:18.000]  求主耶穌基督補血,再次洗剩這個不配人的罪
[00:00:18.000 --> 00:00:21.000]  讓孩子能夠成為神話語的出口
[00:00:21.000 --> 00:00:23.000]  能夠將主的恩怨解明
[00:00:23.000 --> 00:00:27.000]  願意真理聖靈在我們當中開啟我們心竅
[00:00:27.000 --> 00:00:29.000]  帶領我們進入真理
[00:00:29.000 --> 00:00:31.000]  恭敬獻上祈禱
[00:00:31.000 --> 00:00:34.000]  是靠賴主,基督耶穌聖名祈求
[00:00:34.000 --> 00:00:41.000]  今天的題目是「沙漠中的讚美」
[00:00:41.000 --> 00:00:44.000]  沙漠全稱為沙質荒漠
[00:00:44.000 --> 00:00:51.000]  在地球特別乾燥的氣候影響之下所產生的地貌
[00:00:51.000 --> 00:00:57.000]  約佔地球陸地的整體面積21%
[00:00:57.000 --> 00:00:59.000]  即是有五分之一是沙漠
[00:00:59.000 --> 00:01:07.000]  沙漠地區一般平均的降雨量大概只有250毫米
[00:01:07.000 --> 00:01:10.000]  250毫米是一個什麼概念呢?
[00:01:10.000 --> 00:01:14.000]  是一包維他檸檬茶這麼多而已
[00:01:14.000 --> 00:01:17.000]  即是小包的不是375毫米
[00:01:17.000 --> 00:01:23.000]  一年平均只有250毫米
[00:01:23.000 --> 00:01:24.000]  一年喔!
[00:01:24.000 --> 00:01:29.000]  因為它長期在沙質的土壤所覆蓋
[00:01:29.000 --> 00:01:32.000]  即是直坯稀疏
[00:01:32.000 --> 00:01:37.000]  因此地表的流徑稀少
[00:01:37.000 --> 00:01:41.000]  在風力作用底下獨特的地貌
[00:01:41.000 --> 00:01:44.000]  而且溫差很大
[00:01:44.000 --> 00:01:48.000]  日頭和夜晚可以相差很遠
[00:01:48.000 --> 00:01:53.000]  都是荒漠之稱
[00:01:53.000 --> 00:01:57.000]  但是沙漠它不是完全的死寂
[00:01:57.000 --> 00:01:59.000]  沒有任何的生命跡象
[00:01:59.000 --> 00:02:01.000]  在這麼惡劣的環境底下
[00:02:01.000 --> 00:02:06.000]  仍然形成獨有的生存空間和形態
[00:02:06.000 --> 00:02:09.000]  我們見到在沙漠裏面
[00:02:09.000 --> 00:02:13.000]  有私人掌這些這麼獨特的植物
[00:02:13.000 --> 00:02:15.000]  是可以冒葉的
[00:02:15.000 --> 00:02:17.000]  那是針來的
[00:02:17.000 --> 00:02:20.000]  那些植物的外表是硬的
[00:02:20.000 --> 00:02:27.000]  只是保護自己不被草食的動物吞食
[00:02:27.000 --> 00:02:29.000]  而沙漠裏面的動物
[00:02:29.000 --> 00:02:32.000]  保持在清爽的狀態裏面
[00:02:32.000 --> 00:02:35.000]  可能它們會日間找些陰涼的地方
[00:02:35.000 --> 00:02:37.000]  找到遮陰的地方
[00:02:37.000 --> 00:02:40.000]  留在夜間活動
[00:02:40.000 --> 00:02:42.000]  當條件有利的時間
[00:02:42.000 --> 00:02:44.000]  它們會繁殖
[00:02:44.000 --> 00:02:46.000]  很迅速地繁殖
[00:02:46.000 --> 00:02:49.000]  然後回到一個休眠的狀態
[00:02:49.000 --> 00:02:51.000]  今天選讀的經文
[00:02:51.000 --> 00:02:53.000]  以色列人的狀況
[00:02:53.000 --> 00:02:58.000]  都樂似在一個沙漠的地域裏面
[00:02:58.000 --> 00:03:00.000]  總之我們看到
[00:03:00.000 --> 00:03:06.000]  在《創世紀》是記載族長約瑟
[00:03:06.000 --> 00:03:10.000]  去帶領他們去亞國
[00:03:10.000 --> 00:03:13.000]  邀請他們去爸爸亞國
[00:03:13.000 --> 00:03:16.000]  和其他兄弟一起來到埃及
[00:03:16.000 --> 00:03:18.000]  然後面見法老的時候
[00:03:18.000 --> 00:03:24.000]  法老就將他們亞國和其他兄弟
[00:03:24.000 --> 00:03:25.000]  包括約瑟
[00:03:25.000 --> 00:03:30.000]  他們安置在戈山的地方促目
[00:03:30.000 --> 00:03:32.000]  在戈山地裏面
[00:03:32.000 --> 00:03:35.000]  無憂無慮地生活
[00:03:35.000 --> 00:03:38.000]  但偏偏在第八節
[00:03:38.000 --> 00:03:42.000]  有不認識約瑟的身亡起來
[00:03:42.000 --> 00:03:47.000]  治理埃及
[00:03:47.000 --> 00:03:51.000]  我們知道一朝天子
[00:03:51.000 --> 00:03:53.000]  一朝身
[00:03:53.000 --> 00:03:58.000]  更加地說不單只是世代的交叉
[00:03:58.000 --> 00:04:00.000]  是一個政權的轉換
[00:04:00.000 --> 00:04:02.000]  身亡起來
[00:04:02.000 --> 00:04:06.000]  是一個新的王朝出現
[00:04:06.000 --> 00:04:10.000]  前朝的餘孽
[00:04:10.000 --> 00:04:14.000]  是一個清算的對象
[00:04:14.000 --> 00:04:17.000]  在《毫無先士》那裏命令
[00:04:17.000 --> 00:04:20.000]  以色列人從被禮遇招待
[00:04:20.000 --> 00:04:22.000]  以至成為奴隸
[00:04:22.000 --> 00:04:25.000]  承擔沉重的體力勞動工作
[00:04:25.000 --> 00:04:30.000]  甚至面對種族清洗
[00:04:30.000 --> 00:04:34.000]  這裏好像電影橋段
[00:04:34.000 --> 00:04:37.000]  住在這個半山豪宅
[00:04:37.000 --> 00:04:40.000]  突然間執達利上來
[00:04:40.000 --> 00:04:42.000]  這裏要封屋
[00:04:42.000 --> 00:04:46.000]  然後不可以帶任何東西走
[00:04:46.000 --> 00:04:50.000]  立刻要搬遷
