
[00:00:00.000 --> 00:00:05.400]  如果我們要成為一個以神為生命或者生活中心的人
[00:00:05.400 --> 00:00:09.060]  其實在他的生命裏面一定會看到一些不同的東西
[00:00:09.060 --> 00:00:11.060]  究竟甚麼是不同的東西呢?
[00:00:11.060 --> 00:00:13.560]  除了看到耶穌在他的生命裏面
[00:00:13.560 --> 00:00:15.560]  究竟是些甚麼呢?
[00:00:15.560 --> 00:00:16.720]  其實是很具體的
[00:00:16.720 --> 00:00:20.300]  所以我們可以透過聖靈的這個果子
[00:00:20.300 --> 00:00:22.300]  記得聖靈果子是有多少個?
[00:00:22.300 --> 00:00:24.300]  是只有一個
[00:00:24.300 --> 00:00:26.300]  但是它有多少種特性呢?
[00:00:26.300 --> 00:00:27.300]  有九種
[00:00:27.300 --> 00:00:30.300]  那怎樣才算是只有一個九種特性呢?
[00:00:30.300 --> 00:00:32.300]  到時你上天堂你就知道了
[00:00:32.300 --> 00:00:34.300]  現在我也不花時間解釋
[00:00:34.300 --> 00:00:37.300]  是一定會在他的生命裏面
[00:00:37.300 --> 00:00:40.300]  看到聖靈果子裏面的特質
[00:00:40.300 --> 00:00:41.800]  之前記得我講過甚麼嗎?
[00:00:41.800 --> 00:00:43.800]  第一個就是講
[00:00:43.800 --> 00:00:50.800]  仁愛、喜樂、和平、忍耐、恩慈
[00:00:50.800 --> 00:00:53.800]  之後今天就講良善
[00:00:53.800 --> 00:00:57.300]  看到良善
[00:00:57.300 --> 00:00:59.300]  其實昨天在預備講章的時候
[00:00:59.300 --> 00:01:00.300]  我看到一個資料
[00:01:00.300 --> 00:01:04.300]  我覺得這個資料都挺啟發
[00:01:04.300 --> 00:01:08.300]  讓我們更多更深的明白聖靈的果子
[00:01:08.300 --> 00:01:10.300]  作者是這樣的
[00:01:10.300 --> 00:01:12.300]  他這樣去分類
[00:01:12.300 --> 00:01:16.300]  幫大家去了解聖靈果子的一些特性
[00:01:16.300 --> 00:01:17.300]  他這樣說
[00:01:17.300 --> 00:01:19.300]  聖靈果子是分三類的
[00:01:19.300 --> 00:01:22.300]  每三個特性是一類
[00:01:22.300 --> 00:01:23.300]  分三類
[00:01:23.300 --> 00:01:25.300]  第一類是聖靈所見的果子
[00:01:25.300 --> 00:01:29.300]  主要是因著我們跟神的關係
[00:01:29.300 --> 00:01:33.300]  而產生某種別人可見到的果效
[00:01:33.300 --> 00:01:34.300]  所以剛才說
[00:01:34.300 --> 00:01:37.300]  我們提到神的仁愛
[00:01:37.300 --> 00:01:40.300]  神的喜樂和神的平安
[00:01:40.300 --> 00:01:41.300]  即是和平
[00:01:41.300 --> 00:01:43.300]  在我們生命裏面可以看到的
[00:01:43.300 --> 00:01:45.300]  第二類的果子
[00:01:45.300 --> 00:01:47.300]  忍耐、恩慈、良善
[00:01:47.300 --> 00:01:49.300]  即是今天所講的
[00:01:49.300 --> 00:01:53.300]  有關基督徒和人相愛的表現
[00:01:53.300 --> 00:01:55.300]  即是說我們和人之間的關係
[00:01:55.300 --> 00:01:59.300]  裏面應該看到忍耐、恩慈和良善
[00:01:59.300 --> 00:02:03.300]  他就說如果我們是一個不耐煩
[00:02:03.300 --> 00:02:06.300]  無情、粗魯的人
[00:02:06.300 --> 00:02:09.300]  即是說話大聲不代表沒有禮貌
[00:02:09.300 --> 00:02:10.300]  不過要強調
[00:02:10.300 --> 00:02:13.300]  我們就缺少了第二類的果子
[00:02:13.300 --> 00:02:15.300]  即是沒有忍耐、恩慈、良善
[00:02:15.300 --> 00:02:17.300]  而第三類的果子
[00:02:17.300 --> 00:02:20.300]  是講到我們自己內在的性格
[00:02:20.300 --> 00:02:24.300]  就是信實、溫柔和節制
[00:02:24.300 --> 00:02:27.300]  所以其實他這樣說
[00:02:27.300 --> 00:02:32.300]  和聖靈的果子並不會單獨出現
[00:02:32.300 --> 00:02:35.300]  而是和其他果子一起出現
[00:02:35.300 --> 00:02:39.300]  好像有良善一定是和忍耐和溫柔
[00:02:39.300 --> 00:02:41.300]  同時表現出來的
[00:02:41.300 --> 00:02:43.300]  他說這三種性情連在一起
[00:02:43.300 --> 00:02:46.300]  要將主耶穌基督身上的榮美
[00:02:46.300 --> 00:02:48.300]  在你身上彰顯出來
[00:02:48.300 --> 00:02:53.300]  所以就是說有這三種特性
[00:02:53.300 --> 00:02:56.300]  以及讓我們看到其實
[00:02:56.300 --> 00:02:59.300]  神建造我們是一個全人的建造
[00:02:59.300 --> 00:03:02.300]  不單只是建造我們內裡的生命
[00:03:02.300 --> 00:03:04.300]  而是建造我們的性格
[00:03:04.300 --> 00:03:07.300]  建造我們和人之間的相處
[00:03:07.300 --> 00:03:11.300]  所以上帝的關注是我們的全人
[00:03:11.300 --> 00:03:18.300]  不只是你和神之間的關係這麼簡單
[00:03:18.300 --> 00:03:21.300]  而是他關心我們和人的關係
[00:03:21.300 --> 00:03:23.300]  和他的關係和我們自己的性格
[00:03:23.300 --> 00:03:28.300]  不過良善這個特質真的很特別
[00:03:28.300 --> 00:03:30.300]  特別的地方在哪裡呢?
[00:03:30.300 --> 00:03:32.300]  良善這個特質
[00:03:32.300 --> 00:03:35.300]  特別的地方就是說
[00:03:35.300 --> 00:03:40.300]  耶穌和保羅講得非常清楚
[00:03:40.300 --> 00:03:43.300]  耶穌和保羅講得非常清楚
[00:03:43.300 --> 00:03:47.300]  就是良善這個特質
[00:03:47.300 --> 00:03:52.300]  在人的心裡是沒有良善的
[00:03:52.300 --> 00:03:55.300]  在人的心裡是沒有良善的
[00:03:55.300 --> 00:03:56.300]  有人這麼說
[00:03:56.300 --> 00:03:59.300]  今日世界並不缺少聰明的人
[00:03:59.300 --> 00:04:01.300]  卻缺少了良善的人
[00:04:01.300 --> 00:04:06.300]  因為良善人比聰明人更為需要
[00:04:06.300 --> 00:04:10.300]  所多瑪、阿摩拉二成被滅
[00:04:10.300 --> 00:04:12.300]  並非因為缺少聰明人
[00:04:12.300 --> 00:04:15.300]  而是因為缺少良善人
[00:04:15.300 --> 00:04:17.300]  另外法國作家有一個叫雨果
[00:04:17.300 --> 00:04:18.300]  他講得很清楚
[00:04:18.300 --> 00:04:22.300]  善良是歷史裡稀有的珍珠
[00:04:22.300 --> 00:04:27.300]  善良的人幾乎優於偉大的人
[00:04:27.300 --> 00:04:31.300]  有沒有人稱讚過你是一個良善的人?
[00:04:31.300 --> 00:04:36.300]  舉手看看
[00:04:36.300 --> 00:04:42.300]  但你會不會覺得良善的人容易被人欺負?
[00:04:42.300 --> 00:04:47.300]  有人搖頭,你覺得是誰?
[00:04:47.300 --> 00:04:49.300]  今天講不講好?
[00:04:49.300 --> 00:04:51.300]  良善你會覺得被人欺負?
[00:04:51.300 --> 00:04:53.300]  其實不是的
[00:04:53.300 --> 00:04:55.300]  稍後我講一個例子
[00:04:55.300 --> 00:04:57.300]  你會覺得良善不是被人欺負
[00:04:57.300 --> 00:04:59.300]  甚至良善是一個很堅強
[00:04:59.300 --> 00:05:01.300]  可以改變人
[00:05:01.300 --> 00:05:02.300]  很有能力的人
[00:05:02.300 --> 00:05:05.300]  你想做一個很有能力的人嗎?
[00:05:05.300 --> 00:05:07.300]  所以跟你隔壁的人說
[00:05:07.300 --> 00:05:13.300]  聽聽吧
[00:05:13.300 --> 00:05:14.300]  其實是這樣的
