
[00:00:00.000 --> 00:00:03.800]  弟兄姊妹,平安,我們一起先低頭祈禱
[00:00:03.800 --> 00:00:06.400]  最後,我們感謝祢自己的恩典
[00:00:06.400 --> 00:00:11.000]  祢揀選我們,又給我們機會來敬拜祢
[00:00:11.000 --> 00:00:13.000]  主要求祢幫助我們
[00:00:13.000 --> 00:00:15.000]  當我們聆聽這話語的時候
[00:00:15.000 --> 00:00:20.200]  我們會有得著智慧的心來實踐祢的真理
[00:00:20.200 --> 00:00:22.200]  奉耶穌基督的名祈禱
[00:00:22.200 --> 00:00:24.200]  阿們
[00:00:24.200 --> 00:00:28.200]  今天我們繼續看《創世紀》
[00:00:28.200 --> 00:00:31.200]  有關阿巴拉罕的事蹟
[00:00:31.200 --> 00:00:33.200]  希望大家仍然記得
[00:00:33.200 --> 00:00:37.200]  阿巴拉罕被上帝呼召
[00:00:37.200 --> 00:00:41.200]  要他離鄉別井,去迦南地
[00:00:41.200 --> 00:00:44.200]  並且上帝是應許他
[00:00:44.200 --> 00:00:46.200]  會有很多子孫
[00:00:46.200 --> 00:00:51.200]  而他的子孫將會成為大國
[00:00:51.200 --> 00:00:56.200]  阿巴拉罕願意用信心聽從上帝的呼召
[00:00:56.200 --> 00:00:59.200]  起行去迦南地
[00:00:59.200 --> 00:01:03.200]  從第十二章到十五章的時候
[00:01:03.200 --> 00:01:06.200]  其實已經過了十年了
[00:01:06.200 --> 00:01:11.200]  但是他的妻子薩萊還未生兒子
[00:01:11.200 --> 00:01:17.200]  這個時候,我相信阿巴拉罕已經有點不耐煩
[00:01:17.200 --> 00:01:23.200]  很可能是由於薩萊已經老了
[00:01:23.200 --> 00:01:27.200]  可能連《月經》也停止了
[00:01:27.200 --> 00:01:30.200]  聖經在十五至十六章
[00:01:30.200 --> 00:01:34.200]  沒有提及薩萊的《月經》停止了
[00:01:34.200 --> 00:01:37.200]  但是我們可以看到一些線索
[00:01:37.200 --> 00:01:40.200]  在十五章第二節
[00:01:40.200 --> 00:01:43.200]  阿巴拉罕對上主說
[00:01:43.200 --> 00:01:46.200]  主耶和說:我還未有兒子
[00:01:46.200 --> 00:01:49.200]  你能賜我什麼呢?
[00:01:49.200 --> 00:01:54.200]  承受我家業的,是大馬士甲人以利以謝
[00:01:54.200 --> 00:01:58.200]  從他這句怨言中
