
[00:00:00.000 --> 00:00:02.320]  我們上禮拜提到說主耶穌要再來
[00:00:02.320 --> 00:00:05.760]  所以有一件事情是在聖經裡面
[00:00:05.760 --> 00:00:08.260]  馬太平二十四章十四節很清楚講的
[00:00:08.260 --> 00:00:11.100]  就是這個天國的福音要傳遍天下
[00:00:11.100 --> 00:00:13.100]  向萬民作見證
[00:00:13.100 --> 00:00:16.400]  然後末期才會來到
[00:00:16.400 --> 00:00:19.520]  那麼我們傳福音我們都知道要傳對不對
[00:00:19.520 --> 00:00:20.920]  要講對不對
[00:00:20.920 --> 00:00:23.320]  是不是 上禮拜有去傳的有講的
[00:00:23.320 --> 00:00:26.800]  有沒有 舉下手
[00:00:26.800 --> 00:00:29.260]  一位
[00:00:29.260 --> 00:00:31.560]  聽到要行道啊 是不是
[00:00:31.560 --> 00:00:32.900]  阿門
[00:00:32.900 --> 00:00:38.400]  跟你旁邊說聽到要行道
[00:00:38.400 --> 00:00:39.900]  聽到是沒
[00:00:39.900 --> 00:00:41.800]  你說哎呀我要怎麼講啊
[00:00:41.800 --> 00:00:45.100]  其實最簡單的把你的見證跟人家分享
[00:00:45.100 --> 00:00:48.900]  我覺得這是要突破我們自己的一個習慣
[00:00:48.900 --> 00:00:51.000]  我們有時候怕被人家拒絕
[00:00:51.000 --> 00:00:52.900]  我們怕別人講這些東西
[00:00:52.900 --> 00:00:54.900]  跟別人講這些東西被人家拒絕
[00:00:54.900 --> 00:00:56.600]  被人家不喜歡有沒有
[00:00:56.600 --> 00:00:58.400]  特別在美國今天的文化來講
[00:00:58.400 --> 00:01:02.200]  坦白說對傳福音對這個講這個耶穌講聖經
[00:01:02.200 --> 00:01:04.800]  不是一個很友善的一個環境
[00:01:04.800 --> 00:01:05.600]  是不是
[00:01:05.600 --> 00:01:06.900]  但是親愛的丟子妹
[00:01:06.900 --> 00:01:08.500]  這是主託付給我們的
[00:01:08.500 --> 00:01:10.700]  這是主的命令
[00:01:10.700 --> 00:01:13.000]  這是教會存在的目的
[00:01:13.000 --> 00:01:15.700]  教會如果在這個地上不傳福音
[00:01:15.700 --> 00:01:18.000]  教會就死了
[00:01:18.000 --> 00:01:19.800]  教會就應該關門了
[00:01:19.800 --> 00:01:22.300]  教會就不應該在這個地方存在了
[00:01:22.300 --> 00:01:24.700]  這不是一個俱樂部是不是
[00:01:24.700 --> 00:01:26.800]  同樣的丟子妹
[00:01:26.800 --> 00:01:28.400]  基督徒神的兒女
[00:01:28.400 --> 00:01:31.800]  我們在這個地上就是祂的見證
[00:01:31.800 --> 00:01:34.400]  我們就是祂的見證
[00:01:34.400 --> 00:01:38.100]  所以我們要用我們的口來傳對不對
[00:01:38.100 --> 00:01:40.200]  但是今天我要跟大家提到
[00:01:40.200 --> 00:01:45.200]  就是我們要用我們的生命來傳
[00:01:45.200 --> 00:01:47.000]  所以我們在講歌魯西書的時候
[00:01:47.000 --> 00:01:49.000]  我們記得大家可能要再
[00:01:49.000 --> 00:01:51.200]  馬上把你的這個跳躍思想
[00:01:51.200 --> 00:01:53.500]  退回到好幾個禮拜前
[00:01:53.500 --> 00:01:57.400]  我們講到說我們要成聖對不對
[00:01:57.400 --> 00:01:58.600]  要成聖
[00:01:58.600 --> 00:02:00.300]  我們的生命要成聖
[00:02:00.300 --> 00:02:01.700]  信了耶穌之後
[00:02:01.700 --> 00:02:03.400]  我們就有的生命
[00:02:03.400 --> 00:02:07.500]  與基督要與主同死對不對
[00:02:07.500 --> 00:02:09.700]  然後接著要說什麼
[00:02:09.700 --> 00:02:12.300]  要與主同活
[00:02:12.300 --> 00:02:15.600]  上次我們講說要與主同死
[00:02:15.600 --> 00:02:17.000]  親愛的丟子妹
[00:02:17.000 --> 00:02:19.600]  所以講完之後是不是都死了
[00:02:19.600 --> 00:02:21.400]  死了嗎
[00:02:21.400 --> 00:02:23.700]  快了
[00:02:23.700 --> 00:02:24.300]  快了
[00:02:24.300 --> 00:02:27.300]  又什麼時候再給你吹一把
[00:02:27.300 --> 00:02:28.000]  親愛的丟子妹
[00:02:28.000 --> 00:02:29.800]  我們與基督同死了
[00:02:29.800 --> 00:02:32.600]  請問你與基督同死了嗎
[00:02:32.600 --> 00:02:33.500]  你死了嗎
[00:02:33.500 --> 00:02:35.400]  死了沒有
[00:02:35.400 --> 00:02:38.000]  死了
[00:02:38.000 --> 00:02:39.400]  死了沒有
[00:02:39.400 --> 00:02:41.500]  死了對不對
[00:02:41.500 --> 00:02:45.800]  還記得我們講過說客觀主觀嗎對不對
[00:02:45.800 --> 00:02:47.700]  耶穌基督在十字架上面
[00:02:47.700 --> 00:02:51.500]  我們已經與基督同定十字架了
[00:02:51.500 --> 00:02:55.000]  現在活著的不再是我
[00:02:55.000 --> 00:02:57.700]  看到沒有
[00:02:57.700 --> 00:02:59.900]  但丟子妹
[00:02:59.900 --> 00:03:01.900]  reality裡面
[00:03:01.900 --> 00:03:04.700]  我們是不是真的死了
[00:03:04.700 --> 00:03:06.700]  有沒有
[00:03:06.700 --> 00:03:07.300]  不要問別人
[00:03:07.300 --> 00:03:10.400]  問你旁邊的
[00:03:10.400 --> 00:03:12.000]  問你旁邊的
[00:03:12.000 --> 00:03:14.000]  如果你太太你先生坐在你旁邊
[00:03:14.000 --> 00:03:16.100]  問他就好了
