
[00:00:00.000 --> 00:00:03.320]  馬克福音很強調一個信心
[00:00:03.320 --> 00:00:08.320]  信心是當一個患了十二年血流病的女士
[00:00:08.320 --> 00:00:10.480]  她有一個信心就是摸一摸耶穌
[00:00:10.480 --> 00:00:11.880]  就能得著醫治
[00:00:11.880 --> 00:00:13.720]  於是她真的去摸耶穌
[00:00:13.720 --> 00:00:14.960]  而她得著醫治
[00:00:14.960 --> 00:00:17.680]  耶穌說:你的信是救了你
[00:00:17.680 --> 00:00:21.560]  而同樣艾魯的管會和艾魯的女兒
[00:00:21.560 --> 00:00:23.600]  十二歲她病危
[00:00:23.600 --> 00:00:25.600]  但在過程中
[00:00:25.600 --> 00:00:30.920]  因為被一個患了十二年的血流病的女士阻擋了
[00:00:30.920 --> 00:00:34.080]  當時她的女兒在家裡已經死了
[00:00:34.080 --> 00:00:37.200]  家人跟她爸爸說:你的女兒已經死了
[00:00:37.200 --> 00:00:39.280]  但耶穌說:不是,她沒有死
[00:00:39.280 --> 00:00:40.960]  她只是睡著了
[00:00:40.960 --> 00:00:43.080]  於是他就去到她的家裡
[00:00:43.080 --> 00:00:47.040]  將這個女兒從死裡得著復活
[00:00:47.040 --> 00:00:48.320]  去到第六章第五節
[00:00:48.320 --> 00:00:49.680]  有一句聖經這樣說
[00:00:49.680 --> 00:00:55.080]  那裡說:耶穌就在那裡不得行什麼而能
[00:00:55.080 --> 00:00:57.600]  就好像耶穌在某個地方
[00:00:57.600 --> 00:00:58.680]  在那個地方
[00:00:58.680 --> 00:01:01.160]  祂不能夠私行臣職其事
[00:01:01.160 --> 00:01:02.160]  這句聖經
[00:01:02.160 --> 00:01:06.520]  我看回最近《明道》出版的馬學福音《釋經》
[00:01:06.520 --> 00:01:09.560]  孫寶玲博士解釋這一節聖經時
[00:01:09.560 --> 00:01:13.640]  她說:人可以因著自己的環境
[00:01:13.640 --> 00:01:17.320]  真的可以攔阻神的工作
[00:01:17.320 --> 00:01:20.480]  其實驟眼聽是不可能的
[00:01:20.480 --> 00:01:23.840]  哪一個人可以有資格去攔阻神的工作
[00:01:23.840 --> 00:01:26.000]  但是似乎這裡給我們看到
[00:01:26.000 --> 00:01:27.760]  耶穌在某些地方
[00:01:27.760 --> 00:01:28.760]  在那個地方
[00:01:28.760 --> 00:01:31.040]  祂不能夠私人臣職其事
[00:01:31.040 --> 00:01:32.400]  於是孫博士就說
[00:01:32.400 --> 00:01:34.440]  其實這句聖經
[00:01:34.440 --> 00:01:38.040]  差不多是等同耶穌所說的
[00:01:38.040 --> 00:01:40.400]  有一種罪是不得赦
[00:01:40.400 --> 00:01:42.680]  這種罪就是攝逐聖靈
[00:01:42.680 --> 00:01:45.400]  他說是差不多等同於這件事
