
[00:00:00.000 --> 00:00:01.520]  多謝我們的主人、家人
[00:00:01.520 --> 00:00:03.520]  剛才讀了很多經文
[00:00:03.520 --> 00:00:06.720]  今天這麼多經文,不用緊張
[00:00:06.720 --> 00:00:09.720]  好,首先我們將經常說
[00:00:09.720 --> 00:00:11.720]  今天經常跟我們說什麼
[00:00:11.720 --> 00:00:15.160]  你記住,路路一件事就帶走就可以了
[00:00:15.160 --> 00:00:17.160]  一會兒告訴你帶走什麼
[00:00:17.160 --> 00:00:20.680]  然後打開之前,我們一起再思考
[00:00:20.680 --> 00:00:23.680]  再一起等候,我們一起祈禱
[00:00:23.680 --> 00:00:28.160]  我們知道祈禱不嚴多
[00:00:28.160 --> 00:00:31.160]  我們很想再一次求
[00:00:31.160 --> 00:00:33.160]  神在我們當中捉摸著我們
[00:00:33.160 --> 00:00:38.160]  你的說話打開,我們生命發出亮光
[00:00:38.160 --> 00:00:40.160]  同樣我們祈求的
[00:00:40.160 --> 00:00:43.160]  就是我們當中
[00:00:43.160 --> 00:00:46.160]  如果心裡面很不平靜的
[00:00:46.160 --> 00:00:49.160]  很多波浪的
[00:00:49.160 --> 00:00:53.160]  我們心裡面得到天上的平安
[00:00:53.160 --> 00:00:56.160]  因為你的說話,我們被激勵、被安慰
[00:00:56.160 --> 00:01:00.160]  同樣,如果我們過這些很平凡
[00:01:00.160 --> 00:01:02.160]  覺得很舒適的生活
[00:01:02.160 --> 00:01:04.160]  但又很想突破的
[00:01:04.160 --> 00:01:06.160]  很想為主做功的
[00:01:06.160 --> 00:01:09.160]  同樣,你搞動我們
[00:01:09.160 --> 00:01:12.160]  搞動我們,讓我們覺得前一步
[00:01:12.160 --> 00:01:15.160]  讓你的說話來激勵我們
[00:01:15.160 --> 00:01:18.160]  所以讓我們舒適的
[00:01:18.160 --> 00:01:23.160]  被搞動,讓我們搞動的得到舒適
[00:01:23.160 --> 00:01:27.160]  多謝你聽我們祈禱,奉考主耶穌命祈禱
[00:01:27.160 --> 00:01:33.160]  人有撩到的時候
[00:01:33.160 --> 00:01:35.160]  很失落
[00:01:35.160 --> 00:01:38.160]  有些很灰的時候
[00:01:38.160 --> 00:01:41.160]  我估近幾年我們香港都差不多了
[00:01:41.160 --> 00:01:44.160]  沒什麼人不是經歷這些的時候
[00:01:44.160 --> 00:01:46.160]  特別純粹做一個人
[00:01:46.160 --> 00:01:48.160]  就經歷一些
[00:01:48.160 --> 00:01:51.160]  剛才那些環境
[00:01:51.160 --> 00:01:53.160]  不知道你有沒有經歷過
[00:01:53.160 --> 00:01:56.160]  在這個時刻,有人一句說話
[00:01:56.160 --> 00:01:59.160]  溫暖你的心
[00:01:59.160 --> 00:02:02.160]  有人坐在旁邊拍肩膀
[00:02:02.160 --> 00:02:05.160]  他就是在做一種
[00:02:05.160 --> 00:02:08.160]  炎電一盞燈的工作
[00:02:08.160 --> 00:02:11.160]  如果我們當中
[00:02:11.160 --> 00:02:13.160]  回到我自己
[00:02:13.160 --> 00:02:16.160]  我們記起,我在生命的轉化
[00:02:16.160 --> 00:02:18.160]  整個人生命的改變
[00:02:18.160 --> 00:02:20.160]  是因為誰誰
[00:02:20.160 --> 00:02:22.160]  耶穌還是因為誰
[00:02:22.160 --> 00:02:24.160]  耶穌託過人來造就我們的
[00:02:24.160 --> 00:02:27.160]  這真是很大的美事
[00:02:27.160 --> 00:02:29.160]  它在我們生命裡面
[00:02:29.160 --> 00:02:31.160]  不單止一盞燈
[00:02:31.160 --> 00:02:34.160]  它還點了一大把火把
[00:02:34.160 --> 00:02:37.160]  這是非常美的事
[00:02:37.160 --> 00:02:39.160]  我們很相信,我們很期盼
[00:02:39.160 --> 00:02:41.160]  在教會裡面
