
[00:00:00.000 --> 00:00:02.960]  各位鼎尖的平安
[00:00:02.960 --> 00:00:05.360]  大家會記得我們在上個星期
[00:00:05.360 --> 00:00:08.080]  在崇拜當中 我們都一起思想
[00:00:08.080 --> 00:00:10.480]  就是蒙召進入世界
[00:00:10.480 --> 00:00:13.600]  是作憐憫 作服侍
[00:00:13.600 --> 00:00:15.560]  而我們今天再接觸思想
[00:00:15.560 --> 00:00:18.400]  神差遣我們進入世界
[00:00:18.400 --> 00:00:21.280]  我們在其中作主的光
[00:00:21.280 --> 00:00:25.480]  能夠行義來見證這位主
[00:00:25.480 --> 00:00:29.440]  基督徒在世上不單單只是存在
[00:00:29.440 --> 00:00:32.080]  不單止我們自己蒙受神的恩
[00:00:32.080 --> 00:00:35.200]  神的心願是要我們成為光
[00:00:35.200 --> 00:00:41.600]  我們一起先祈禱 求主帶領我們
[00:00:41.600 --> 00:00:44.960]  因主我們到祢跟前
[00:00:44.960 --> 00:00:46.320]  我們感謝祢
[00:00:46.320 --> 00:00:50.480]  祢是我們生命每一天的引導
[00:00:50.480 --> 00:00:54.240]  主祢賜給我們有生命
[00:00:54.240 --> 00:00:57.000]  祢讓光照進我們的裡面
[00:00:57.000 --> 00:00:59.080]  同樣祢每一天引領我們
[00:00:59.080 --> 00:01:02.680]  就是聖靈帶領我們走祢自己的路
[00:01:02.680 --> 00:01:04.760]  主我們何等需要祢
[00:01:04.760 --> 00:01:07.400]  給我們那種馴服的心
[00:01:07.400 --> 00:01:10.320]  願祢聽從祢給我們的引導
[00:01:10.320 --> 00:01:13.840]  以致能夠活出祢給我們的生命
[00:01:13.840 --> 00:01:17.760]  能夠讓光不單止隱藏在生命裡面
[00:01:17.760 --> 00:01:21.160]  是真實地能夠照耀出來
[00:01:21.160 --> 00:01:23.800]  主如今我們在祢面前再次等候
[00:01:23.800 --> 00:01:25.920]  仰望聖靈的工作
[00:01:25.920 --> 00:01:29.320]  仰望主在我們心中的指教
[00:01:29.320 --> 00:01:32.160]  求祢賜福帶領這段時間
[00:01:32.160 --> 00:01:37.000]  奉耶穌聖名祈禱 阿們
[00:01:55.920 --> 00:02:00.040]  在香港很多人見到警察的時候
[00:02:00.040 --> 00:02:03.440]  都會說「警察啊」
[00:02:03.440 --> 00:02:07.640]  我們叫警察局做「警察局」
[00:02:07.640 --> 00:02:09.520]  但是如果你再想一想的時候
[00:02:09.520 --> 00:02:13.360]  其實焦圖都是警察
[00:02:13.360 --> 00:02:14.880]  當然我們不是做警察
[00:02:14.880 --> 00:02:18.080]  不是做這個行業的工作
[00:02:18.080 --> 00:02:19.680]  但是小心看回聖經的時候
[00:02:19.680 --> 00:02:23.120]  聖經的確說到我們是警察
[00:02:23.120 --> 00:02:26.000]  當主耶穌在《約翰福音》第十七章提及
[00:02:26.000 --> 00:02:27.800]  當祂很快離開世界
[00:02:27.800 --> 00:02:30.600]  祂就向天父祈禱
[00:02:30.600 --> 00:02:31.960]  祂就跟父神說
[00:02:31.960 --> 00:02:36.240]  祂說「你怎樣差遣我到世上
[00:02:36.240 --> 00:02:41.240]  我也照樣差他們到世上」
[00:02:41.240 --> 00:02:42.760]  主多次提及
[00:02:42.760 --> 00:02:47.120]  祂是被神所差遣來到世上成全救恩
[00:02:47.120 --> 00:02:48.600]  但是祂拯救我們之餘
[00:02:48.600 --> 00:02:54.560]  是差遣我們進入世界去繼續祂的見證
[00:02:54.560 --> 00:02:56.600]  我們很多時候容易覺得
[00:02:56.600 --> 00:03:00.040]  我們很想領受神的恩惠
[00:03:00.040 --> 00:03:02.760]  沒錯 神是願意賜恩惠的神
[00:03:02.760 --> 00:03:09.320]  但同時祂是差遣我們進入世界作祂的見證
[00:03:09.320 --> 00:03:11.000]  當然當主耶穌祈禱的時候
[00:03:11.000 --> 00:03:13.400]  《約翰福音》第十七章繼續提及
[00:03:13.400 --> 00:03:15.280]  祂就跟父神說
[00:03:15.280 --> 00:03:21.360]  「他們不屬世界 正如我不屬世界一樣」
[00:03:21.360 --> 00:03:22.880]  主耶穌被差到世界
[00:03:22.880 --> 00:03:25.160]  但是祂不屬於這個世界
[00:03:25.160 --> 00:03:26.360]  同樣祂跟我們說
[00:03:26.360 --> 00:03:30.400]  我們已經進入神給我們永恆的生命裏面
[00:03:30.400 --> 00:03:32.120]  沒錯 我們進入世界
[00:03:32.120 --> 00:03:34.840]  但是不屬於這個世界
[00:03:34.840 --> 00:03:36.640]  好像剛才讀過聖經所說
[00:03:36.640 --> 00:03:42.080]  不要跟這個世界上的人同流合污
[00:03:42.080 --> 00:03:43.760]  但是我們也體會到
[00:03:43.760 --> 00:03:46.360]  基督徒在世上有一個很大的挑戰
[00:03:46.360 --> 00:03:52.840]  就是沒錯 入世 但是又變得屬世
[00:03:52.840 --> 00:03:55.600]  入世是神所差派的
[00:03:55.600 --> 00:03:59.560]  但在裏面竟然是跟這個世界混在一起
[00:03:59.560 --> 00:04:03.240]  變成屬世的一個基督徒
[00:04:03.240 --> 00:04:04.960]  而聖經就純粹地勉勵我們
[00:04:04.960 --> 00:04:08.200]  第一次我們蒙召進入這個世界
[00:04:08.200 --> 00:04:10.960]  在其中 神對我們的呼召就是
[00:04:10.960 --> 00:04:15.440]  在這個世上活出那種真正神兒女
[00:04:15.440 --> 00:04:18.800]  光明生命的那種本質
[00:04:18.800 --> 00:04:22.240]  而你和我今天在跟隨耶穌的路上
[00:04:22.240 --> 00:04:25.800]  同樣每一天都需要如此來向神尋求
[00:04:25.800 --> 00:04:28.520]  神讓我不會屬世
[00:04:28.520 --> 00:04:34.280]  而是真的能夠活出主給我光明的生活
[00:04:34.280 --> 00:04:35.320]  當你這樣思想的時候
[00:04:35.320 --> 00:04:37.880]  你就會明白為甚麼保羅在菲律賓書
[00:04:37.880 --> 00:04:41.960]  二弗所書是重複地講述這方面的真理
[00:04:41.960 --> 00:04:46.680]  提醒我們 我們真的需要在世上活出這種生命
[00:04:46.680 --> 00:04:51.360]  大家再看回剛才讀過的菲律賓書第二章
[00:04:51.360 --> 00:04:53.640]  第十四第十五節是大家會熟悉的
[00:04:53.640 --> 00:04:55.320]  在這個月的金句
[00:04:55.320 --> 00:05:00.280]  以第十五節在聖經新列本這樣說
[00:05:00.280 --> 00:05:04.280]  「很少你們無可指責 純真無邪
[00:05:04.280 --> 00:05:06.800]  在這彎曲歪漠的世代中
[00:05:06.800 --> 00:05:09.800]  作神沒有瑕疵的兒女
[00:05:09.800 --> 00:05:12.480]  你們要在這世代中發光
[00:05:12.480 --> 00:05:16.720]  好像天上的光體一樣」
[00:05:16.720 --> 00:05:20.200]  聖經特別提及有一個對比
[00:05:20.200 --> 00:05:24.920]  第一個對比就是在彎曲歪漠的世代中
[00:05:24.920 --> 00:05:28.280]  是作神無瑕疵的兒女
[00:05:28.280 --> 00:05:33.520]  這個世代是歪漠的 是彎曲的
[00:05:33.520 --> 00:05:39.040]  不僅是在說很多地方是扭曲的一種生活行為
[00:05:39.040 --> 00:05:44.520]  而《乖夢》特別提到一種價值觀扭曲的情況
[00:05:44.520 --> 00:05:49.360]  在這種情況之下 神要祂的兒女做無瑕疵的兒女
[00:05:49.360 --> 00:05:52.400]  活出那種神兒女的生命
[00:05:52.400 --> 00:05:56.360]  同樣 聖經說你們在這個世代當中
[00:05:56.360 --> 00:06:00.400]  在這個世代裏面 但是是發光的
[00:06:00.400 --> 00:06:03.560]  是好像天上的光體一樣
[00:06:03.560 --> 00:06:06.280]  這裏不僅是說我們發光
[00:06:06.280 --> 00:06:10.680]  而是說我們本身是一個光體
[00:06:10.680 --> 00:06:13.400]  或者我們這樣去聽的時候
[00:06:13.400 --> 00:06:15.440]  會覺得好像有點奇怪
[00:06:15.440 --> 00:06:17.680]  我們是光體來的
[00:06:17.680 --> 00:06:20.160]  想起好像天上的星星
[00:06:20.160 --> 00:06:25.480]  它本身是發光 發出光芒出來
[00:06:25.480 --> 00:06:27.480]  上帝將我們的生命改變
[00:06:27.480 --> 00:06:29.480]  讓我們有新生命
[00:06:29.480 --> 00:06:34.000]  而祂定義讓我們的生命成為一個發光的生命
[00:06:34.000 --> 00:06:36.840]  好像一些光體一樣
[00:06:36.840 --> 00:06:39.040]  當我們講述到這種情況的時候
[00:06:39.040 --> 00:06:40.680]  我們就會留意
[00:06:40.680 --> 00:06:44.240]  原來聖經一直在說的是主耶穌給我們的例子
[00:06:44.240 --> 00:06:45.520]  給我們的榜樣
[00:06:45.520 --> 00:06:49.080]  然後接續提出一個很重要對我們的呼籲
[00:06:49.080 --> 00:06:53.240]  所以我們先看回前面第二章第六節
[00:06:53.240 --> 00:06:55.960]  這裏大家會熟悉看到聖經提及的
[00:06:55.960 --> 00:06:59.200]  就是提到主耶穌本有神的形象
[00:06:59.200 --> 00:07:02.640]  但是祂倒空自己成為人的樣式
[00:07:02.640 --> 00:07:03.920]  第八節說
[00:07:03.920 --> 00:07:08.760]  既然有人的樣子就自甘卑微馴服至死
[00:07:08.760 --> 00:07:11.360]  而且死於十字架上
[00:07:11.360 --> 00:07:14.400]  用兩個字去形容主耶穌在地上的生活
[00:07:14.400 --> 00:07:16.800]  就是馴服
[00:07:16.800 --> 00:07:20.880]  祂樂意放下自己的地位身份
[00:07:20.880 --> 00:07:23.040]  祂馴服神對祂的心意
[00:07:23.040 --> 00:07:28.520]  以致能夠將舊恩來承傳在我們生命當中
[00:07:28.520 --> 00:07:29.960]  雖然祂降卑
[00:07:29.960 --> 00:07:32.680]  但是聖經說當祂馴服上帝之後
[00:07:32.680 --> 00:07:34.880]  神就將祂升為至高
[00:07:34.880 --> 00:07:37.960]  超乎萬名之上
[00:07:37.960 --> 00:07:40.640]  當聖經講述到主耶穌的榜樣的時候
