
[00:00:00.000 --> 00:00:03.400]  按照我對「約翰福音」的喜好
[00:00:03.400 --> 00:00:11.700]  本來我的打算是有一個新的「約翰福音」系列
[00:00:11.700 --> 00:00:17.800]  我想講「約翰福音」七個神學主題
[00:00:17.800 --> 00:00:25.700]  但是計算一下 原來我只剩下三次的崇拜正道
[00:00:30.000 --> 00:00:37.500]  其中一次是在十二月的進 促使我要改變題目
[00:00:37.500 --> 00:00:44.500]  最近我在國語主義學教十二小先師書
[00:00:44.500 --> 00:00:58.900]  還有一年我寫了三本先知書的讀後感
[00:01:00.000 --> 00:01:10.200]  包括《以塞亞書》、《耶利米書》、和寫不完的《以色結書》
[00:01:10.200 --> 00:01:15.500]  研讀先知書有一個特色
[00:01:15.500 --> 00:01:23.500]  它就是描述以色人被擄前後 記載他們的光景
[00:01:28.000 --> 00:01:33.500]  坦白說 研究先知書令我陷入一種憂鬱的狀態
[00:01:33.500 --> 00:01:46.000]  開始體會或明白 以色列人為何會淪為國破家亡的光景
[00:01:54.000 --> 00:02:02.500]  從我讀的東西回想在聖經裡有兩篇很著名的臨別正言
[00:02:02.500 --> 00:02:11.500]  有兩篇比較重要的臨別正言
[00:02:11.500 --> 00:02:17.000]  分別是摩西和約書亞所說的
[00:02:17.000 --> 00:02:19.000]  在時間的次序上
[00:02:21.000 --> 00:02:25.000]  摩西的臨別正言是臨越約旦河之前
[00:02:25.000 --> 00:02:29.000]  他將要離世的一篇很著名的臨別正言
[00:02:29.000 --> 00:02:45.000]  然後約書亞進入迦南後得地為業
[00:02:45.000 --> 00:02:50.000]  也在他離世之前提醒以色列人
[00:02:52.000 --> 00:02:57.000]  今天早上我先和大家思想摩西的臨別正言
[00:02:57.000 --> 00:03:07.000]  最近我在台灣新聞學了一個新的名詞
[00:03:07.000 --> 00:03:13.000]  那個名詞叫歷史共業
[00:03:13.000 --> 00:03:18.000]  業這個字是一個繁文
[00:03:20.000 --> 00:03:23.000]  算是一個佛教的宗教術語
[00:03:23.000 --> 00:03:29.000]  他是在說業報
[00:03:29.000 --> 00:03:34.000]  簡單的意思就是可以解釋一個決定或者後果
[00:03:34.000 --> 00:03:42.000]  我在網上就翻譯了他的定義
[00:03:42.000 --> 00:03:47.000]  因為原來他的定義很難看得懂
[00:03:49.000 --> 00:03:53.000]  歷史共業是指在不同的時空環境之下
[00:03:53.000 --> 00:04:01.000]  有不同的人有不同的價值觀的形成
[00:04:01.000 --> 00:04:07.000]  就產生了一些所謂的是非對錯的抉擇
[00:04:07.000 --> 00:04:14.000]  或者對某件事有不同處理的方式和決定
[00:04:18.000 --> 00:04:22.000]  但是因為前人有些不正確或不適當的決定
[00:04:22.000 --> 00:04:31.000]  當時沒有人作出一些更正
[00:04:31.000 --> 00:04:38.000]  後人就必須要為這個抉擇去承擔一些後果
[00:04:38.000 --> 00:04:44.000]  或者付上沉重的代價
[00:04:45.000 --> 00:04:48.000]  更可怕這種所謂的歷史共業
[00:04:48.000 --> 00:04:52.000]  它是會重複演繹下去的
[00:04:52.000 --> 00:04:58.000]  以色列人的歷史正是歷史共業最好的寫照
[00:04:58.000 --> 00:05:09.000]  因為某一代人的犯錯
[00:05:11.000 --> 00:05:15.000]  繼續整個以色列的歷史世世代代承擔這個歷史共業
[00:05:15.000 --> 00:05:25.000]  直到這個國家滅亡
[00:05:25.000 --> 00:05:34.000]  如果從大的圖畫去了解或者研究摩西五經呢
[00:05:39.000 --> 00:05:42.000]  舊約的學者有一派的看法是這樣的
[00:05:42.000 --> 00:05:48.000]  他們認為摩西五經是
[00:05:48.000 --> 00:05:52.000]  以色列人亡國被擄到巴比倫之後
[00:05:52.000 --> 00:06:00.000]  在回歸的過程前後
[00:06:00.000 --> 00:06:05.000]  編輯而成的摩西五經
[00:06:08.000 --> 00:06:10.000]  我說的是其中一派的看法
