
[00:00:00.000 --> 00:00:02.000]  人生
[00:00:02.000 --> 00:00:04.000]  你記得
[00:00:04.000 --> 00:00:06.000]  我們在這個世界上
[00:00:06.000 --> 00:00:08.000]  只有借用權
[00:00:08.000 --> 00:00:10.000]  沒有擁有權
[00:00:10.000 --> 00:00:12.000]  你是借來用的
[00:00:12.000 --> 00:00:14.000]  遲早有一天
[00:00:14.000 --> 00:00:16.000]  你擁有的一切
[00:00:16.000 --> 00:00:18.000]  不是他們離開你
[00:00:18.000 --> 00:00:20.000]  就是你離開他們
[00:00:20.000 --> 00:00:24.000]  同不同意?
[00:00:24.000 --> 00:00:26.000]  舉手 有多少人同意?
[00:00:26.000 --> 00:00:28.000]  全部人都同意
[00:00:30.000 --> 00:00:32.000]  所以你記得你的身分是Keller
[00:00:32.000 --> 00:00:36.000]  我們全部人
[00:00:36.000 --> 00:00:38.000]  都是銀行的貴委員
[00:00:38.000 --> 00:00:40.000]  每天
[00:00:40.000 --> 00:00:42.000]  你數多少億都好
[00:00:42.000 --> 00:00:44.000]  你不需要高興
[00:00:44.000 --> 00:00:46.000]  第二
[00:00:46.000 --> 00:00:48.000]  你只數得幾百元
[00:00:48.000 --> 00:00:50.000]  你又不需要不高興
[00:00:50.000 --> 00:00:52.000]  第三 你更加不需要
[00:00:52.000 --> 00:00:54.000]  跟那些數億幾的比較
[00:00:54.000 --> 00:00:56.000]  然後自卑
[00:00:56.000 --> 00:00:58.000]  原因在哪?
[00:00:58.000 --> 00:01:00.000]  不管你數多少
[00:01:00.000 --> 00:01:02.000]  經過你手的那些
[00:01:02.000 --> 00:01:04.000]  全部都不是你的
[00:01:04.000 --> 00:01:06.000]  你記得這件事
[00:01:06.000 --> 00:01:08.000]  你的人生
[00:01:08.000 --> 00:01:10.000]  完全不同了
[00:01:10.000 --> 00:01:12.000]  你捉住上帝的應許
[00:01:12.000 --> 00:01:14.000]  八十九磅
[00:01:14.000 --> 00:01:16.000]  億窩
[00:01:16.000 --> 00:01:18.000]  都可以改變
[00:01:18.000 --> 00:01:20.000]  對人生
[00:01:20.000 --> 00:01:22.000]  很灰
