
[00:00:00.000 --> 00:00:03.700]  基督教的信仰是改變生命的信仰,
[00:00:03.700 --> 00:00:07.600]  因爲基督教的信仰有那永遠不改變的真理,
[00:00:07.600 --> 00:00:11.900]  真理可以由生命去經歷的,
[00:00:11.900 --> 00:00:15.000]  真理也可以憑信心來領受。
[00:00:15.000 --> 00:00:19.800]  所以耶穌基督在約翰福音20-29節對多疑的多瑪說,
[00:00:19.800 --> 00:00:22.400]  你因爲看見了我纔信,
[00:00:22.400 --> 00:00:26.800]  那沒有看見我就信的人有福了。
[00:00:26.800 --> 00:00:30.100]  我們每個人都有生命中不同的經歷,
[00:00:30.100 --> 00:00:32.200]  有些人的經歷非常地平淡,
[00:00:32.200 --> 00:00:36.100]  有些人的經歷卻是非常地精彩刺激。
[00:00:36.100 --> 00:00:39.300]  有一天老張的太太對他說,
[00:00:39.300 --> 00:00:41.200]  我好無聊啊。
[00:00:41.200 --> 00:00:46.800]  她要她丈夫老張幫她找刺激的事情去做。
[00:00:46.800 --> 00:00:49.200]  然後老張想了一下說,好啊,
[00:00:49.200 --> 00:00:53.000]  那我們去喫肉丸倉怎麼樣?
[00:00:53.000 --> 00:00:56.200]  太太很高興地說,好嘞。
[00:00:56.200 --> 00:00:59.300]  結果他們就到了一間餐館,
[00:00:59.300 --> 00:01:02.000]  找到了靠近門口的座位坐下來,
[00:01:02.000 --> 00:01:04.000]  點了菜以後就開始喫飯。
[00:01:04.000 --> 00:01:05.700]  當太太去洗手間的時候,
[00:01:05.700 --> 00:01:10.000]  老張就偷偷地趕緊把賬結了,付了錢。
[00:01:10.000 --> 00:01:12.200]  太太回來以後他們就喫飯,
[00:01:12.200 --> 00:01:13.500]  喫得差不多以後,
[00:01:13.500 --> 00:01:19.300]  老張就悄悄地問老婆說,準備好了嗎?
[00:01:19.300 --> 00:01:22.500]  他的太太非常激動地點了頭,
[00:01:22.500 --> 00:01:26.700]  老張就拉着她,頭不轉地就衝出去,
[00:01:26.700 --> 00:01:29.800]  直跑,頭都不回來,回頭再看。
[00:01:29.800 --> 00:01:33.100]  一路上太太非常地開心。
[00:01:33.100 --> 00:01:35.300]  在我的老闆看在眼裏,
[00:01:35.300 --> 00:01:42.000]  就心裏想,每天如果碰上這麼浪漫的夫妻就好了,
[00:01:42.000 --> 00:01:46.300]  因爲剛剛他的太太也付了錢結了賬,
[00:01:46.300 --> 00:01:48.300]  兩個人頭也不轉地跑了出去,
[00:01:48.300 --> 00:01:50.500]  怎麼追也追不到。
[00:01:50.500 --> 00:01:55.700]  她的旁邊的人說,不要想喫霸王餐。
[00:01:55.700 --> 00:01:58.500]  今天不是要大家喫霸王餐,
[00:01:58.500 --> 00:02:01.400]  是要跟大家分享,
[00:02:01.400 --> 00:02:03.200]  一個人當他遇到耶穌基督以後,
[00:02:03.200 --> 00:02:06.800]  他的生命就完全被翻轉,被改變。
[00:02:06.800 --> 00:02:09.100]  這個人到底是誰呢?我們一起來看,
[00:02:09.100 --> 00:02:11.400]  《使徒行章》第九章第一節到第六節,
[00:02:11.400 --> 00:02:13.100]  我們非常熟悉的。
[00:02:13.100 --> 00:02:21.700]  《使徒行章》第九章第一到第六節,這裏說,掃羅仍然向諸的門徒口吐威嚇兇殺的話,去見大祭司,
[00:02:21.700 --> 00:02:25.400]  求文書給大馬社或者大馬士革各會堂,
[00:02:25.400 --> 00:02:27.800]  若是找着信奉這道的人,
[00:02:27.800 --> 00:02:32.100]  無論男女都準他捆綁帶到耶路撒冷。
[00:02:32.100 --> 00:02:35.200]  第三節說,掃羅行路將到大馬社,
[00:02:35.200 --> 00:02:38.300]  忽然天上發光,四面照着他,
[00:02:38.300 --> 00:02:40.000]  他就撲倒在地,
