
[00:00:00.000 --> 00:00:02.000]  整理&字幕:三馬兄
[00:00:31.000 --> 00:00:32.000]  結局是怎樣?
[00:00:32.000 --> 00:00:35.000]  但聖經裏面神卻要我們學習
[00:00:35.000 --> 00:00:39.000]  有時有些東西我們抓得太緊
[00:00:39.000 --> 00:00:44.000]  結果最後我們會完全失去了
[00:00:44.000 --> 00:00:46.000]  我不知道你是不是有時
[00:00:46.000 --> 00:00:50.000]  很想各樣的景況、各樣的環境
[00:00:50.000 --> 00:00:56.000]  都在我能夠控制、能夠掌握當中呢?
[00:00:56.000 --> 00:00:59.000]  聖經裏面就記載了一個王
[00:00:59.000 --> 00:01:02.000]  他叫做烏西亞王
[00:01:02.000 --> 00:01:05.000]  他自高自大
[00:01:05.000 --> 00:01:08.000]  他認為自己很了不起
[00:01:08.000 --> 00:01:14.000]  結果他就自己要向神燒香
[00:01:14.000 --> 00:01:18.000]  結果當時的大祭司就制止他
[00:01:18.000 --> 00:01:21.000]  他說:皇帝燒香這些工作
[00:01:21.000 --> 00:01:24.000]  是交給祭司的
[00:01:24.000 --> 00:01:25.000]  你不可以越位
[00:01:25.000 --> 00:01:28.000]  你不可以搶了來做
[00:01:28.000 --> 00:01:29.000]  他不管
[00:01:29.000 --> 00:01:32.000]  他自己堅持自己的意見
[00:01:32.000 --> 00:01:36.000]  結果有八十個很勇敢的祭司
[00:01:36.000 --> 00:01:41.000]  擋住路不讓這個王燒香
[00:01:41.000 --> 00:01:43.000]  但他不聽
[00:01:43.000 --> 00:01:47.000]  他手裏面拿著香爐就衝進去了
[00:01:47.000 --> 00:01:50.000]  誰知道當他衝進去的時候
[00:01:50.000 --> 00:01:54.000]  他的額頭上就長出大麻風
[00:01:54.000 --> 00:01:59.000]  然後他的身上就長出大麻風
[00:01:59.000 --> 00:02:02.000]  結果這個王知道自己出了問題
[00:02:02.000 --> 00:02:05.000]  結果一直到他死
[00:02:05.000 --> 00:02:07.000]  他都要躲起來
[00:02:07.000 --> 00:02:10.000]  全身有大麻風
[00:02:10.000 --> 00:02:13.000]  各位這個事即是介紹我們什麼呢?
[00:02:13.000 --> 00:02:15.000]  就是我們不要硬來
[00:02:15.000 --> 00:02:18.000]  我們不要自己作主
[00:02:18.000 --> 00:02:20.000]  我們不要自己作主
[00:02:20.000 --> 00:02:22.000]  我們需要樣樣尋求
[00:02:22.000 --> 00:02:25.000]  天賦給我們的引導
[00:02:25.000 --> 00:02:27.000]  有時在我的人生裏面
[00:02:27.000 --> 00:02:30.000]  我們很多時候都認為自己很厲害
[00:02:30.000 --> 00:02:32.000]  我累積了這麼多年的經驗
[00:02:32.000 --> 00:02:34.000]  那我可以做決定了
[00:02:34.000 --> 00:02:36.000]  我想怎樣?我想怎樣?
[00:02:36.000 --> 00:02:37.000]  我想去哪裡?我想做什麼?
[00:02:37.000 --> 00:02:39.000]  我想做什麼決定?
[00:02:39.000 --> 00:02:42.000]  但各位讓我們靜下來
[00:02:42.000 --> 00:02:43.000]  靜下來
[00:02:43.000 --> 00:02:45.000]  讓我們來到神的面前
[00:02:45.000 --> 00:02:49.000]  問一下神的旨意是怎樣
[00:02:49.000 --> 00:02:52.000]  我不知道你有沒有每做一件事之前
[00:02:52.000 --> 00:02:55.000]  你都很謙卑來到神的面前
