
[00:00:00.000 --> 00:00:03.880]  由四十個角度看主耶穌去認識祂
[00:00:03.880 --> 00:00:07.080]  主題是「耶穌,我主,我王」
[00:00:07.080 --> 00:00:12.560]  是2025年生命樹宣教網絡預府期零修的主題
[00:00:12.560 --> 00:00:14.480]  今天來到第十一
[00:00:14.480 --> 00:00:17.880]  第十個題目「主耶穌受試探」
[00:00:17.880 --> 00:00:21.520]  現在看的是除了先認識主耶穌
[00:00:21.520 --> 00:00:25.000]  很多個名稱、很多個看法之外
[00:00:25.000 --> 00:00:27.240]  主你是誰之外呢?
[00:00:27.240 --> 00:00:29.840]  現在來到主耶穌生平裏面
[00:00:29.840 --> 00:00:33.040]  很重要的一些事蹟、片段
[00:00:33.040 --> 00:00:37.040]  讓我們一起禱告
[00:00:37.040 --> 00:00:39.360]  讚美主耶穌
[00:00:39.360 --> 00:00:44.440]  多謝祢為我們經歷人生的疾苦
[00:00:44.440 --> 00:00:48.600]  祢也曾受過試探與我們一樣
[00:00:48.600 --> 00:00:51.400]  只是祢沒有犯罪
[00:00:51.400 --> 00:00:57.920]  於是祢能夠救奔每一個在試煉當中、試探當中的人
[00:00:57.920 --> 00:01:01.440]  讚美主耶穌為我們經歷這一些
[00:01:01.440 --> 00:01:03.680]  讚美祢自己得勝
[00:01:03.680 --> 00:01:06.840]  讚美祢自己無所不能
[00:01:06.840 --> 00:01:09.880]  讚美祢有一個很大的忍耐力
[00:01:09.880 --> 00:01:12.520]  叫我們可以有個榜樣
[00:01:12.520 --> 00:01:17.160]  都可以跟從、可以依靠、可以學習和效法
[00:01:17.160 --> 00:01:19.520]  更加求聖靈引領我們
[00:01:19.520 --> 00:01:24.080]  讓我們面對著各樣的試探的時候都可以得勝
[00:01:24.080 --> 00:01:25.920]  主其實真是很軟弱
[00:01:25.920 --> 00:01:29.040]  很多時候自己會偏行己路
[00:01:29.040 --> 00:01:30.560]  會自私自利
[00:01:30.560 --> 00:01:33.520]  很多時候會尋求自己的益處
[00:01:33.520 --> 00:01:37.080]  很多時候會尋求自己的慾望
[00:01:37.080 --> 00:01:41.760]  求主自己親自憐憫、幫助讓我們可以跟隨祢
[00:01:41.760 --> 00:01:46.120]  讚美色在今在、以後永在的上主
[00:01:46.120 --> 00:01:49.400]  讚美三一的救贖真神
[00:01:49.400 --> 00:01:51.600]  願祢得著榮耀稱讚
[00:01:51.600 --> 00:01:55.320]  國度權並榮耀全是祢的直到永遠
[00:01:55.320 --> 00:01:56.120]  阿們
[00:01:56.120 --> 00:02:02.360]  今天和大家看看主耶穌生平一些重要的事情
[00:02:02.360 --> 00:02:05.400]  其中一樣就是受試探
[00:02:05.400 --> 00:02:09.400]  上一集講到主耶穌受浸
[00:02:09.400 --> 00:02:12.440]  今天是受試探
[00:02:12.440 --> 00:02:14.960]  主耶穌受試探我選了
[00:02:14.960 --> 00:02:17.440]  《馬太·馬可·路加》三段經文
[00:02:17.440 --> 00:02:20.480]  三個福音書都有記載
[00:02:20.480 --> 00:02:21.880]  都很短的
[00:02:21.880 --> 00:02:24.280]  當然開頭很短
[00:02:24.280 --> 00:02:28.280]  後面有三個特別的試探
[00:02:28.280 --> 00:02:30.880]  特別想先看《馬可福音》
[00:02:30.880 --> 00:02:32.320]  很重要
[00:02:32.320 --> 00:02:36.160]  原因就是用了三段經文
[00:02:36.160 --> 00:02:39.520]  都是用了三個不同的
[00:02:39.520 --> 00:02:43.440]  聖靈引領耶穌的字
[00:02:43.440 --> 00:02:46.200]  《馬可福音》第一章十二節
[00:02:46.200 --> 00:02:51.480]  聖靈就把耶穌催到曠野裡去
[00:02:51.480 --> 00:02:55.000]  祂在曠野四十天受撒旦的試探
[00:02:55.000 --> 00:02:58.600]  並與野獸同在一處
[00:02:58.600 --> 00:03:02.040]  且有天使來侍候祂
[00:03:02.040 --> 00:03:04.360]  我選《馬可福音》第一章
[00:03:04.360 --> 00:03:07.640]  先講耶穌受試探是有原因的
[00:03:07.640 --> 00:03:14.720]  原因就是如果講關於主耶穌受試探的經文
[00:03:14.720 --> 00:03:19.040]  《馬可福音》這一個前言算是最長的
[00:03:19.040 --> 00:03:22.080]  比較詳細的東西
[00:03:22.080 --> 00:03:24.080]  就給大家看看吧
[00:03:24.080 --> 00:03:25.600]  不要忘記
[00:03:25.600 --> 00:03:33.920]  其實是聖靈把耶穌催到曠野裡去受試探
[00:03:33.920 --> 00:03:37.000]  這不是自己主耶穌走去的
[00:03:37.000 --> 00:03:38.880]  是聖靈催祂
[00:03:38.880 --> 00:03:43.600]  這是在主耶穌受浸之後馬上發生的
[00:03:43.600 --> 00:03:46.680]  聖靈就把耶穌催
[00:03:46.680 --> 00:03:49.640]  即是說把祂馬上
[00:03:49.640 --> 00:03:54.480]  兩段經文都是講馬上的
[00:03:54.480 --> 00:03:58.640]  有一段是講主耶穌回到自己的地方
[00:03:58.640 --> 00:04:00.640]  然後聖靈再催祂
