
[00:00:00.000 --> 00:00:03.600]  我今次的講道 原定是要講《羅馬書》第二講
[00:00:03.600 --> 00:00:07.400]  繼續這個人人有照明 個個做回應的系列
[00:00:07.400 --> 00:00:09.600]  指出猶太人的驕傲
[00:00:09.600 --> 00:00:12.500]  從中來對領受一個謙卑的照明
[00:00:12.500 --> 00:00:16.100]  不過經過近日香港和尼泊爾發生的事件
[00:00:16.100 --> 00:00:19.200]  我決定就將4月1號所寫的默訊
[00:00:19.200 --> 00:00:22.600]  再加上一些新的資料化作講章
[00:00:22.600 --> 00:00:26.400]  內容其實是講耶穌曾經講的一個比喻
[00:00:26.400 --> 00:00:29.800]  就是綿羊和山羊的比喻
[00:00:29.800 --> 00:00:34.600]  近日有很多人問 轉載來的日子是不是很近
[00:00:34.600 --> 00:00:38.800]  為什麼這樣講呢 因為見到災難是頻深
[00:00:38.800 --> 00:00:42.400]  就是經常都有 之前澳洲山火很嚴重
[00:00:42.400 --> 00:00:47.400]  全球肆虐的肺炎令到300萬人受感染
[00:00:47.400 --> 00:00:50.600]  20萬人死亡 其實真的很嚴重
[00:00:50.600 --> 00:00:54.400]  還有很多不公不義的事情是不斷發生
[00:00:54.400 --> 00:01:02.000]  在充滿著災難和不公義的事情的日子裏面
[00:01:02.000 --> 00:01:05.400]  如果主耶穌回來的日子真的近了
[00:01:05.400 --> 00:01:08.200]  你準備好迎接了嗎
[00:01:08.200 --> 00:01:12.200]  今天的講題是人人有照明 個個做回應
[00:01:12.200 --> 00:01:16.600]  外貌是欺恐人的 活世警醒的照明
[00:01:16.600 --> 00:01:20.600]  今天我想透過馬太所記載的這個比喻
[00:01:20.600 --> 00:01:25.400]  來告訴大家 當人子降臨的時候
[00:01:25.400 --> 00:01:28.600]  你和我都要被分別出來
[00:01:28.600 --> 00:01:32.600]  最終怎樣才可以得到主的稱讚
[00:01:32.600 --> 00:01:36.600]  和主為我們預備永恆的國呢
[00:01:36.600 --> 00:01:40.200]  記住 外貌是欺恐人的
[00:01:40.200 --> 00:01:44.800]  唯獨執意行善 或者執意行義
[00:01:44.800 --> 00:01:47.600]  才能夠經得起考驗
[00:01:47.600 --> 00:01:52.600]  綿羊和三羊的比喻其實可以分為四部份
[00:01:52.600 --> 00:01:56.600]  31至33節是比喻的背景和介紹
[00:01:56.600 --> 00:02:00.600]  33至40節是比喻的第一部份
[00:02:00.600 --> 00:02:04.600]  41至45節是比喻的第二部份
[00:02:04.600 --> 00:02:07.600]  最後46節是比喻的結束
[00:02:07.600 --> 00:02:10.600]  很簡單說一下 因為我怕我今天的講道有點長
[00:02:10.600 --> 00:02:13.600]  比喻的背景和介紹
[00:02:13.600 --> 00:02:17.600]  31至33節 比喻的背景提到
[00:02:17.600 --> 00:02:19.600]  人子將要降臨了
[00:02:19.600 --> 00:02:22.600]  他降臨的時候 是聚集萬民
[00:02:22.600 --> 00:02:25.600]  去到他面前 並且將萬民分別出來
[00:02:25.600 --> 00:02:28.600]  怎樣分別呢 比喻就開始了
[00:02:28.600 --> 00:02:32.600]  就好像牧羊人分別綿羊和三羊一樣
[00:02:32.600 --> 00:02:35.600]  他將綿羊安置在右邊
[00:02:35.600 --> 00:02:38.600]  將三羊安置在左邊
[00:02:38.600 --> 00:02:42.600]  31至33節就記載了他們的說話
[00:02:42.600 --> 00:02:45.600]  接著比喻的第二部份
[00:02:45.600 --> 00:02:48.600]  是34節至40節
[00:02:48.600 --> 00:02:51.600]  比喻的第一部份 對不起
[00:02:51.600 --> 00:02:56.600]  耶穌是以王來稱呼坐在寶座的人子
