
[00:00:00.000 --> 00:00:03.000]  今天和大家分享信息的題目是
[00:00:03.000 --> 00:00:05.000]  《神語》,誰有約?
[00:00:05.000 --> 00:00:07.000]  你,都是和我有約
[00:00:07.000 --> 00:00:11.500]  所以今天我們選的經文是出埃及記的2章
[00:00:11.500 --> 00:00:15.500]  23到25節和3章7到8節
[00:00:15.500 --> 00:00:19.000]  開始的時候,我邀請大家和我一起讀的這段經文
[00:00:19.000 --> 00:00:21.000]  我們一起讀吧,1,2,3
[00:00:21.000 --> 00:00:24.500]  過了多年,埃及王死了
[00:00:24.500 --> 00:00:29.000]  以色列人因造苦功,就嘆息哀求
[00:00:29.000 --> 00:00:32.000]  他們的哀聲,達與神
[00:00:32.000 --> 00:00:34.500]  神聽見他們的哀聲
[00:00:34.500 --> 00:00:40.500]  就紀念他與阿巴拉罕、以撒、瓦割所立的約
[00:00:40.500 --> 00:00:46.000]  神看顧以色列人,也知道他們的苦情
[00:00:46.000 --> 00:00:51.000]  耶和華說:我的百姓在埃及所受的困苦
[00:00:51.000 --> 00:00:56.000]  我實在看見了,他們因受苦
[00:00:56.000 --> 00:01:00.000]  所發的哀聲,我也聽見了
[00:01:00.000 --> 00:01:03.500]  我原知道他們的痛苦
[00:01:03.500 --> 00:01:08.500]  我下來,是要救他們脫離埃及人的手
[00:01:08.500 --> 00:01:11.000]  領他們出了那地
[00:01:11.000 --> 00:01:15.000]  到美好、寬闊、流淚與密之地
[00:01:15.000 --> 00:01:21.000]  就是加林人、客人、阿摩利人、比利西人
[00:01:21.000 --> 00:01:24.500]  希美人、耶布斯人之地
[00:01:24.500 --> 00:01:26.500]  剛才大家讀的經文
[00:01:26.500 --> 00:01:30.000]  一開始的時候,有一句說話
[00:01:30.000 --> 00:01:34.000]  過了多年,埃及王死了
[00:01:34.000 --> 00:01:38.500]  我們看聖經的時候,經常看到有一個名字
[00:01:38.500 --> 00:01:40.000]  叫做法老
[00:01:40.000 --> 00:01:46.000]  其實法老是古埃及的年代,對於王的專稱
[00:01:46.000 --> 00:01:50.500]  所以當經文提到,他說:埃及王死了
[00:01:50.500 --> 00:01:55.000]  即是誰死了?法老,大家很聰明,法老死了
[00:01:55.000 --> 00:02:01.500]  大家有沒有留意,在聖經裡出現過多少個法老?
[00:02:01.500 --> 00:02:06.000]  沒有人敢回答,是不是只有一個?
[00:02:06.000 --> 00:02:08.000]  大家都不要這樣回答
[00:02:08.000 --> 00:02:11.500]  我在這裡,因為要預備這篇講章
[00:02:11.500 --> 00:02:15.500]  所以,第一個祝福就臨到我,我就要去找
[00:02:15.500 --> 00:02:19.500]  其實在聖經裡出現過,不是只有一個法老
[00:02:19.500 --> 00:02:21.500]  而是有好幾個法老
[00:02:21.500 --> 00:02:29.500]  而第一個,我們看到在創世紀41章,41節說
[00:02:29.500 --> 00:02:35.000]  我派你治理埃及全地,那個的「我」就是法老
[00:02:35.000 --> 00:02:37.000]  而「你」就是約瑟
[00:02:37.000 --> 00:02:43.000]  當時那個法老去差派約瑟治理埃及全地
[00:02:43.000 --> 00:02:46.500]  這位法老,原來他不是埃及人
[00:02:46.500 --> 00:02:50.500]  他是一個民族,叫做喜剋索人
[00:02:50.500 --> 00:02:57.500]  可能我們會想,喜剋索?沒有,不知道是甚麼民族
[00:02:57.500 --> 00:03:00.500]  其實喜剋索民族,他們的原居地
[00:03:00.500 --> 00:03:05.500]  就是居住在巴勒斯坦敘利亞一帶的地方
[00:03:05.500 --> 00:03:09.500]  而他們所做的,就是牧羊為業
[00:03:09.500 --> 00:03:11.500]  所以跟以色列人很相似
[00:03:11.500 --> 00:03:14.500]  以色列人都是以牧羊為生,是不是?
[00:03:14.500 --> 00:03:20.500]  不單止,原來喜剋索人的始祖
[00:03:20.500 --> 00:03:22.500]  追溯到很遠古之前
[00:03:22.500 --> 00:03:27.500]  他的始祖是羅亞的兒子,閃的後代
[00:03:27.500 --> 00:03:32.500]  即是說,我們看到原來喜剋索人跟以色列人
[00:03:32.500 --> 00:03:36.500]  其實他們兩個民族有很多類同的地方
[00:03:36.500 --> 00:03:38.500]  也可能是這個原因
[00:03:38.500 --> 00:03:42.500]  所以當時的法老就恩待了約瑟
[00:03:42.500 --> 00:03:46.500]  讓約瑟去做埃及的宰相
[00:03:46.500 --> 00:03:49.500]  當時我們知道,做埃及的宰相
[00:03:49.500 --> 00:03:52.500]  其實約瑟那個年代的以色列人都不錯
[00:03:52.500 --> 00:03:55.500]  時間一過,約瑟那一代就過了
[00:03:55.500 --> 00:04:00.500]  聖經又記載,在出埃及記的一章八節說
[00:04:00.500 --> 00:04:05.500]  有不認識約瑟的新王起來,敘利埃及
[00:04:05.500 --> 00:04:10.500]  這個王的名字就叫做瓦克摩斯一世
[00:04:10.500 --> 00:04:15.500]  瓦克摩斯不是喜剋索人,而是埃及人
[00:04:15.500 --> 00:04:18.500]  之後的每一個法老王都是埃及人
[00:04:18.500 --> 00:04:23.500]  當我們明白,這個法老是埃及人的時候
