
[00:00:00.000 --> 00:00:01.740]  好 基隆姐妹大家早安
[00:00:01.740 --> 00:00:04.840]  感謝主 我們今天
[00:00:04.840 --> 00:00:06.960]  沿着我們的成島的進度
[00:00:06.960 --> 00:00:09.720]  我們讀羅馬書第十二章
[00:00:09.720 --> 00:00:12.300]  這個題目
[00:00:12.300 --> 00:00:15.300]  我們在我們當中已經可能傳講了
[00:00:15.300 --> 00:00:16.620]  不知道N遍了
[00:00:16.620 --> 00:00:18.240]  但是我想
[00:00:18.240 --> 00:00:22.200]  我自己在思想這個題目的時候
[00:00:22.200 --> 00:00:24.400]  我覺得神有給我們
[00:00:24.400 --> 00:00:27.460]  可以在當中看見的亮光
[00:00:27.680 --> 00:00:30.500]  然後你會發現 哎呀 這個活跡
[00:00:30.500 --> 00:00:33.120]  不再只是一個模糊的跡
[00:00:33.120 --> 00:00:35.380]  不再只是一個跟我沒有關係的跡
[00:00:35.380 --> 00:00:38.380]  或者只是一個經文而已
[00:00:38.380 --> 00:00:41.160]  我們一同來禱告
[00:00:41.160 --> 00:00:44.640]  親愛的上帝 親愛的主耶穌基督
[00:00:44.640 --> 00:00:46.680]  親愛的父神 親愛的聖靈
[00:00:46.680 --> 00:00:49.000]  愛我們的主 禰在我們當中
[00:00:49.000 --> 00:00:51.520]  祝啊 當我們打開你的話語
[00:00:51.520 --> 00:00:53.960]  就看見你話語的奇妙
[00:00:53.960 --> 00:00:56.120]  就看見你話語的真實
[00:00:56.120 --> 00:00:58.440]  祝啊 你的話語一揭開就帶來生命
[00:00:58.440 --> 00:01:00.840]  就帶來亮光 指引你的教會
[00:01:00.840 --> 00:01:02.360]  走當行的路
[00:01:02.360 --> 00:01:05.220]  願聖靈充滿在我們當中
[00:01:05.220 --> 00:01:08.140]  祝啊 願你的騎士的靈充滿我們
[00:01:08.140 --> 00:01:10.240]  讓我們被你的話語來感動
[00:01:10.240 --> 00:01:13.620]  被你的話語來吸引 快跑來跟隨你
[00:01:13.620 --> 00:01:15.500]  單單爲你而活
[00:01:15.500 --> 00:01:17.800]  謝謝主 垂聽我們的禱告
[00:01:17.800 --> 00:01:20.520]  奉考耶穌基督 保貴的聖靈 Amen
[00:01:24.700 --> 00:01:28.120]  不知道有多少基督徒姐妹喜歡看災難片
[00:01:28.120 --> 00:01:32.720]  如果你發生了重大的災難之後
[00:01:32.720 --> 00:01:36.520]  不小心僅僅就是你存活下來的
[00:01:36.520 --> 00:01:39.240]  你是劫後餘生的倖存者
[00:01:39.240 --> 00:01:41.340]  那你可以想象
[00:01:41.340 --> 00:01:45.080]  接下來你會過什麼不一樣的生活嗎
[00:01:45.080 --> 00:01:47.360]  會因此改變嗎
[00:01:47.360 --> 00:01:51.160]  有人就說他曾經經歷南亞大海嘯
[00:01:51.160 --> 00:01:54.520]  哇 在這個水浪當中他好不容易
[00:01:54.520 --> 00:01:57.000]  好像脫離險境了
[00:01:57.000 --> 00:02:00.720]  結果一看他們一羣人陷落在鱷魚潭中
[00:02:00.720 --> 00:02:02.640]  身邊都是鱷魚
[00:02:02.640 --> 00:02:07.000]  那如果你是這個倖存者
[00:02:07.000 --> 00:02:10.080]  你覺得你的生命會因此不一樣嗎
[00:02:10.080 --> 00:02:13.080]  我想很多世人可能也不會
[00:02:13.080 --> 00:02:16.440]  繼續過自己在世上喜歡過的生活
[00:02:16.440 --> 00:02:20.880]  劫後餘生之後我們會想過什麼樣的生活呢
[00:02:20.880 --> 00:02:24.120]  大家想想看 你會更加註重健康嗎
[00:02:24.600 --> 00:02:26.840]  會嗎 會
[00:02:26.840 --> 00:02:28.960]  大病不死 必有後福
[00:02:28.960 --> 00:02:30.440]  自我提升
[00:02:30.440 --> 00:02:33.600]  會不會想說我人生可以有不一樣的選擇呢
[00:02:33.600 --> 00:02:35.080]  再去進修
[00:02:35.080 --> 00:02:37.840]  或者是我開始想當網紅
[00:02:37.840 --> 00:02:41.240]  過去沒成名
[00:02:41.240 --> 00:02:44.000]  乾脆我們來當網紅
[00:02:44.000 --> 00:02:46.160]  讓大家都認識我的故事
[00:02:46.160 --> 00:02:48.600]  或者是環遊世界
[00:02:48.600 --> 00:02:52.080]  這是很多人的夢想
[00:02:52.580 --> 00:02:55.760]  或者是開始發現家庭很重要
[00:02:55.760 --> 00:02:58.280]  我要好好愛我的家人
[00:02:58.280 --> 00:03:00.240]  或者是勤讀聖經
[00:03:00.240 --> 00:03:03.440]  有沒有人接下來要去讀神學院的 有沒有
[00:03:03.440 --> 00:03:05.200]  有嗎
[00:03:05.200 --> 00:03:07.420]  有嗎
[00:03:07.420 --> 00:03:09.440]  在心裏不敢舉
[00:03:09.440 --> 00:03:12.200]  如果這是你的決定的話
[00:03:12.200 --> 00:03:14.480]  你不用等到劫後餘生
[00:03:14.480 --> 00:03:16.100]  你等一下就可以去禱告報名了
[00:03:16.100 --> 00:03:20.120]  你想參與宣教
[00:03:20.120 --> 00:03:22.840]  但是過去好像做太少了
[00:03:22.840 --> 00:03:26.160]  是不是我還可以趕緊的做該做的事
[00:03:26.160 --> 00:03:29.080]  通常我們發現遇見苦難
