
[00:00:00.000 --> 00:00:08.480]  托洛是一個什麼人物呢 托洛這個人來頭不小
[00:00:08.480 --> 00:00:12.600]  後來他就改了名叫做保羅 這個不是他真是托洛
[00:00:12.600 --> 00:00:16.640]  在那部戲裡面的樣子我拿出來給你看
[00:00:16.640 --> 00:00:22.280]  讓你認得他 他曾經做過很多事 這個人來頭不小
[00:00:22.280 --> 00:00:25.280]  在《史萊恆傳》裡面21章39節
[00:00:25.280 --> 00:00:31.920]  說我是猶太人 生在基里加的大掃名門
[00:00:31.920 --> 00:00:37.760]  如果你是李嘉誠的親戚 即是名門
[00:00:37.760 --> 00:00:43.280]  並不是無名小成的人 他是一個大有來頭的人
[00:00:43.280 --> 00:00:47.440]  第二 俾書講 他說我出生第八日就受割禮
[00:00:47.440 --> 00:00:50.200]  很重要的 第八日受割禮是因為上帝
[00:00:50.200 --> 00:00:53.840]  是不允許猶太人做這件事 他第八日受割禮
[00:00:53.840 --> 00:00:59.560]  我生來是以色列人 還要是屬於變雅敏之派
[00:00:59.560 --> 00:01:03.280]  如果你熟悉猶太 舊約慢慢你就知道這個人來頭
[00:01:03.280 --> 00:01:07.720]  他的血統純正度是希伯來人
[00:01:07.720 --> 00:01:11.680]  誰是希伯來人的始祖 阿布拉罕
[00:01:11.680 --> 00:01:15.200]  由那麼多年前他下來的始祖
[00:01:15.200 --> 00:01:19.560]  他遵守猶太的規條一點都遵守
[00:01:19.560 --> 00:01:26.320]  我屬於法尼塞派 在熱心上來說 我是迫不及待的
[00:01:26.320 --> 00:01:30.280]  即是以迫不及待為榮
[00:01:30.280 --> 00:01:34.080]  就律法上 我是無可指責
[00:01:34.080 --> 00:01:38.760]  所以保羅或索羅這個人完全是一個
[00:01:38.760 --> 00:01:45.560]  在他自己來說 無論在學識 學歷 在他的背景
[00:01:45.560 --> 00:01:51.360]  在他的父母 在他的族裏都是一個來頭不小的人
[00:01:51.360 --> 00:01:55.880]  但他迫不及待教會 迫不及待教會為榮
[00:01:55.880 --> 00:02:02.720]  即是他屬於在猶太人裏面的 法尼塞人裏面的英雄人物
[00:02:02.720 --> 00:02:05.880]  所以你一路看他前面 如果你留意我的電影
[00:02:05.880 --> 00:02:10.240]  頭九章的電影 八章裏面 你見到索羅出來的時候
[00:02:10.240 --> 00:02:16.120]  樣子就是這樣 你記得他這個樣子 其實就是在他第七章的時候
[00:02:16.120 --> 00:02:22.240]  記不記得是誰死了 當時是士提反殉道的時候
[00:02:22.240 --> 00:02:29.040]  最後就是旁邊這個人用石頭扔死士提反殉道
[00:02:29.040 --> 00:02:35.120]  保羅當時的心情 第七節 如果你有看 七章的六十節
[00:02:35.120 --> 00:02:41.040]  這裏沒有寫出來 索羅喜悅這件事 即是他很開心
[00:02:41.040 --> 00:02:45.000]  見到這個士提反死 因為他能夠迫不及待教會為榮
[00:02:45.000 --> 00:02:48.400]  所以索羅是一個極端的基督徒
[00:02:48.400 --> 00:02:52.560]  亦都是一個極端反對基督教的一個猶太人
[00:02:52.560 --> 00:02:57.880]  他到處去殺害 而且帶領這些基督徒去策劃
[00:02:57.880 --> 00:03:04.520]  親自捉他們去坐牢 甚至策劃迫不及待他們
[00:03:04.520 --> 00:03:12.400]  殺死他們 當時他不覺得自己有什麼錯
[00:03:12.400 --> 00:03:15.360]  他覺得自己是對的 應該是這樣做的
[00:03:15.360 --> 00:03:24.240]  為了自己所相信的東西 然後奮身下去做
[00:03:24.240 --> 00:03:28.280]  其實沒有什麼不對的 我記得有一段時間
[00:03:28.280 --> 00:03:35.280]  我奮身下去賺錢 香港人 我記得以前有個宣教士
[00:03:35.280 --> 00:03:39.800]  他講了一個香港人的現象
[00:03:39.800 --> 00:03:42.440]  他說你要鼓勵香港人 很有趣 你把銀紙放在桌子上
[00:03:42.440 --> 00:03:44.440]  那些人就全部走過來
[00:03:44.440 --> 00:03:48.720]  所以我覺得我做三份工 我覺得我引以為榮
[00:03:48.720 --> 00:03:52.040]  因為我作為基督徒 但我努力賺錢有什麼問題
[00:03:52.040 --> 00:03:56.480]  所以有時候你去奮身在一些事情裏面
[00:03:56.480 --> 00:03:59.520]  你會覺得我奮身在那件事裏面是沒有錯的
[00:03:59.520 --> 00:04:04.040]  包括你的愛情 你的婚姻 你也可以奮身下去
[00:04:04.040 --> 00:04:05.720]  你的學業也可以奮身下去
[00:04:05.720 --> 00:04:09.520]  你的工作 所有的東西都可以奮身下去 是沒有錯的
[00:04:09.520 --> 00:04:14.400]  素羅當時以逼迫教會為榮
[00:04:14.400 --> 00:04:18.280]  在當中越殺得基督徒越多 他就是一個英雄人物
[00:04:18.280 --> 00:04:23.480]  這是他當時的心態
[00:04:23.480 --> 00:04:30.320]  可惜人生往往是當你去面對一些事情的時候
[00:04:30.320 --> 00:04:34.680]  和上帝有敵對的時候
[00:04:34.680 --> 00:04:41.200]  你就會遇到一些不對的事情在裏面
[00:04:41.200 --> 00:04:48.520]  我們要明白傳統以來 猶太人是相信上帝的
[00:04:48.520 --> 00:04:51.560]  我們知道 因為上帝開始是猶太人開始的
[00:04:51.560 --> 00:04:53.560]  但是為什麼後期他要逼迫教會呢
[00:04:53.560 --> 00:05:01.080]  因為他不相信上帝將耶穌基督來到這個世界
[00:05:01.080 --> 00:05:02.600]  將祂拯救出來
[00:05:02.600 --> 00:05:05.360]  他們希望的一個救世主
[00:05:05.360 --> 00:05:07.960]  就不是像耶穌基督那麼懦弱
[00:05:07.960 --> 00:05:09.440]  以為人家死在十字架上
[00:05:09.440 --> 00:05:13.840]  他希望這個救世主能夠推翻當時的羅馬政權
[00:05:13.840 --> 00:05:16.280]  能夠令他們復興以色列國
[00:05:16.280 --> 00:05:20.960]  這是他們看到希望神要做的事情
[00:05:20.960 --> 00:05:24.800]  卻是看不到神是透過耶穌
[00:05:24.800 --> 00:05:30.720]  將他們原本以為這種宗教形式去追求的
[00:05:30.720 --> 00:05:32.640]  是剛剛相反
[00:05:32.640 --> 00:05:36.320]  所以他們犯了一個很大的錯誤
[00:05:36.320 --> 00:05:40.760]  就是將耶穌基督釘在十字架上
[00:05:40.760 --> 00:05:44.440]  保羅有沒有份呢
[00:05:44.440 --> 00:05:47.040]  我相信他可能還是很年輕的
[00:05:47.040 --> 00:05:50.160]  未必是其中一員將耶穌釘在十字架上
[00:05:50.160 --> 00:05:54.360]  但他肯定是同意將耶穌釘在十字架上
[00:05:54.360 --> 00:05:56.400]  很大件事
[00:05:56.400 --> 00:06:00.040]  你將上帝釘在十字架上
[00:06:00.040 --> 00:06:03.960]  這是保羅所犯的錯誤
[00:06:03.960 --> 00:06:06.760]  保羅不是說他自己一個人物
[00:06:06.760 --> 00:06:10.200]  保羅是代表著整個猶太人
[00:06:10.200 --> 00:06:14.920]  相信只是舊約的這種信徒的心態
[00:06:14.920 --> 00:06:18.960]  將神釘在十字架上
[00:06:18.960 --> 00:06:20.760]  我不知道我們在人生裏
[00:06:20.760 --> 00:06:23.120]  有時來到這裏問問大家
[00:06:23.120 --> 00:06:25.560]  有沒有試過我們有時做了一些事情
[00:06:25.560 --> 00:06:28.080]  我們以為自己是很對的
[00:06:28.080 --> 00:06:30.280]  沒有錯的
[00:06:30.280 --> 00:06:31.760]  特別是問小朋友
[00:06:31.760 --> 00:06:35.640]  那天我和一班小朋友玩
[00:06:35.640 --> 00:06:39.240]  那班小朋友突然和媽媽說
[00:06:39.240 --> 00:06:41.600]  I want to do what I want
[00:06:41.600 --> 00:06:42.760]  怎樣說呢
[00:06:42.760 --> 00:06:46.440]  他說I can do whatever I want to do
[00:06:46.440 --> 00:06:50.240]  小時候我喜歡做甚麼就做甚麼
[00:06:50.240 --> 00:06:52.240]  我自己成長也是這樣
[00:06:52.240 --> 00:06:55.080]  我是一個家裏最小的成員
[00:06:55.080 --> 00:06:56.880]  所以我從小到大
[00:06:56.880 --> 00:06:59.560]  哥哥姐姐爸爸媽媽都是做的
[00:06:59.560 --> 00:07:03.000]  所以我覺得發脾氣是很正常的事
[00:07:03.000 --> 00:07:05.040]  有甚麼錯呢
[00:07:05.040 --> 00:07:07.040]  我喜歡做甚麼就做甚麼
[00:07:07.040 --> 00:07:09.160]  我們人生裏往往有很多事情
[00:07:09.160 --> 00:07:10.760]  我們以為是很對
[00:07:10.760 --> 00:07:13.880]  但往往我們背後不知道
[00:07:13.880 --> 00:07:19.640]  我們正在走一條錯誤的路
[00:07:19.640 --> 00:07:24.400]  蘇羅正正在這個環境裏
[00:07:24.400 --> 00:07:27.080]  遇見了上帝
[00:07:27.080 --> 00:07:30.000]  上帝也駕馭在他的生命裏
[00:07:30.000 --> 00:07:34.720]  剛才我說蘇羅本身的生命是逼迫基督徒
[00:07:34.720 --> 00:07:37.480]  逼迫基督徒等於逼迫上帝
[00:07:37.480 --> 00:07:38.800]  和上帝是反對的
[00:07:38.800 --> 00:07:42.760]  但神居然在一個這樣的人的生命裏
[00:07:42.760 --> 00:07:44.880]  開始駕馭他的生命
[00:07:44.880 --> 00:07:47.520]  將他的生命扭轉過來
[00:07:47.520 --> 00:07:49.440]  叫他回頭
[00:07:49.440 --> 00:07:52.840]  剛才我的經文裏也有說
[00:07:52.840 --> 00:07:58.720]  他有一天要去大馬塞
[00:07:58.720 --> 00:08:00.160]  準備繼續逼迫基督徒
[00:08:00.160 --> 00:08:02.480]  誰知他遇到上帝
[00:08:02.480 --> 00:08:03.840]  上帝就在那裏說
[00:08:03.840 --> 00:08:06.200]  蘇羅 蘇羅利韋羅逼迫我
[00:08:06.200 --> 00:08:08.880]  蘇羅也不知道你是誰
[00:08:08.880 --> 00:08:10.280]  他當時也不知道
[00:08:10.280 --> 00:08:11.280]  他就跌在地上
[00:08:11.280 --> 00:08:13.280]  一會兒我們說一下他的細節
[00:08:13.280 --> 00:08:15.440]  但有一樣東西很重要
[00:08:15.440 --> 00:08:21.760]  就是上帝不單止要蘇羅遇到這個衝擊
[00:08:21.760 --> 00:08:24.040]  最重要
[00:08:24.040 --> 00:08:28.520]  上帝是要蘇羅有一個人生目標的改變
[00:08:28.520 --> 00:08:30.000]  或者可以這樣說
[00:08:30.000 --> 00:08:31.840]  其實他的人生目標
[00:08:31.840 --> 00:08:39.440]  已經一早被上帝定位了他要做的一件事
[00:08:39.440 --> 00:08:41.320]  《士郎行傳》的九章十六節這樣說
[00:08:41.320 --> 00:08:44.280]  他是我所揀選的器皿
[00:08:44.280 --> 00:08:45.840]  揀出來的
[00:08:45.840 --> 00:08:48.520]  他要去到外邦的人和君王裏面
[00:08:48.520 --> 00:08:51.440]  和以色列人的面前宣揚我的名
[00:08:51.440 --> 00:08:53.400]  我也要指示他為我的名
[00:08:53.400 --> 00:08:57.600]  必須受很多苦難
[00:08:57.600 --> 00:09:02.400]  然後上帝要將這個人抓出來
[00:09:02.400 --> 00:09:06.040]  然後給一個計劃
[00:09:06.040 --> 00:09:08.680]  這個人是以前走錯路的人
[00:09:08.680 --> 00:09:10.920]  上帝揀一個走錯路的人
[00:09:10.920 --> 00:09:12.040]  然後將他抓出來
[00:09:12.040 --> 00:09:13.280]  然後將他回轉
[00:09:13.280 --> 00:09:16.080]  告訴他你有一個這麼大的計劃在你的生命裏面
[00:09:16.080 --> 00:09:19.400]  然後你要跟著這個計劃向前走
[00:09:19.400 --> 00:09:20.600]  所以這一天
[00:09:20.600 --> 00:09:24.320]  蘇羅正正在大密西路上繼續逼迫信徒的時候
[00:09:24.320 --> 00:09:26.520]  上帝就在那裏和他相遇
[00:09:26.520 --> 00:09:30.240]  於是他就跌在地上
[00:09:30.240 --> 00:09:31.600]  突然聽到有聲音跟他說
[00:09:31.600 --> 00:09:35.160]  蘇羅 蘇羅 你為何逼迫我
[00:09:35.160 --> 00:09:36.600]  蘇羅也不知道在做甚麼
[00:09:36.600 --> 00:09:38.720]  他說你是誰 主啊
[00:09:38.720 --> 00:09:42.040]  他只知道這可能是神蹟或是甚麼事
[00:09:42.040 --> 00:09:43.560]  突然這樣說
[00:09:43.560 --> 00:09:49.640]  主就說我就是你所逼迫的耶穌
[00:09:49.640 --> 00:09:52.120]  神往往就是用一些方法
[00:09:52.120 --> 00:09:55.760]  在人生裏面提醒人走回頭
