
[00:00:00.000 --> 00:00:02.000]  各位靜音姐妹午安
[00:00:02.000 --> 00:00:06.000]  今日我們要繼續思想上帝的說話
[00:00:06.000 --> 00:00:13.000]  要看的經文就在《使徒行傳》第十章44-48節
[00:00:13.000 --> 00:00:19.000]  上一次的經文就講到彼得和哥尼留的事件
[00:00:19.000 --> 00:00:21.000]  在這裡再簡單講一講
[00:00:21.000 --> 00:00:24.000]  其實由《使徒行傳》第十章
[00:00:24.000 --> 00:00:29.000]  我們見到上帝就在哥尼留
[00:00:29.000 --> 00:00:33.000]  哥尼留是一個羅馬的白夫長
[00:00:33.000 --> 00:00:35.000]  一個軍官
[00:00:35.000 --> 00:00:40.000]  他在凱撒尼亞住在一個外邦的地方
[00:00:40.000 --> 00:00:43.000]  他是一個敬畏神的人
[00:00:43.000 --> 00:00:45.000]  當他祈禱的時候
[00:00:45.000 --> 00:00:53.000]  上帝就指示他要差派人去邀請彼得去那裡
[00:00:53.000 --> 00:00:56.000]  於是他就派人去邀請彼得
[00:00:56.000 --> 00:00:59.000]  路程大概是走一天
[00:00:59.000 --> 00:01:01.000]  在一天之後
[00:01:01.000 --> 00:01:06.000]  當彼得在約柏這個地方去祈禱的時候
[00:01:06.000 --> 00:01:08.000]  祈禱肚子餓
[00:01:08.000 --> 00:01:10.000]  好像大家現在這樣的情況
[00:01:10.000 --> 00:01:12.000]  他就見到義將
[00:01:12.000 --> 00:01:14.000]  在義將裡面有很多東西吃
[00:01:14.000 --> 00:01:19.000]  不過就是他不能吃那些不潔的食物
[00:01:19.000 --> 00:01:22.000]  他聽到上帝的聲音叫他
[00:01:22.000 --> 00:01:27.000]  改來吃,即是宰了來吃,吃一些不潔的食物
[00:01:27.000 --> 00:01:30.000]  彼得就說這些不能吃的,他不敢吃
[00:01:30.000 --> 00:01:33.000]  三次見到一個義將
[00:01:33.000 --> 00:01:36.000]  他也不明白那個意思
[00:01:36.000 --> 00:01:38.000]  當三次之後
[00:01:38.000 --> 00:01:44.000]  那一班哥尼留派來的人就來到彼得的地方
[00:01:44.000 --> 00:01:48.000]  聖靈就指示彼得,叫彼得跟他們去
[00:01:48.000 --> 00:01:51.000]  就去到哥尼留的家
[00:01:51.000 --> 00:01:53.000]  去到哥尼留家的時候
[00:01:53.000 --> 00:01:58.000]  哥尼留邀請他的親友已經坐定聽他講道
[00:01:58.000 --> 00:02:01.000]  第34節開始就是彼得的講道
[00:02:01.000 --> 00:02:04.000]  然後來到今天這一段經文
[00:02:04.000 --> 00:02:09.000]  請我們一起來讀第44至48節
[00:02:09.000 --> 00:02:12.000]  彼得還在說這些話的時候
[00:02:12.000 --> 00:02:16.000]  聖靈降在一切聽道的人身上
[00:02:16.000 --> 00:02:20.000]  那些奉國禮的信徒和彼得同來
[00:02:20.000 --> 00:02:24.000]  見聖靈的恩賜也囂在外邦人身上
[00:02:24.000 --> 00:02:26.000]  就都驚奇
[00:02:26.000 --> 00:02:30.000]  因聽見他們說謊言,稱讚神為大
[00:02:30.000 --> 00:02:32.000]  於是彼得回答
[00:02:32.000 --> 00:02:36.000]  這些人既受了聖靈,跟我們一樣
[00:02:36.000 --> 00:02:40.000]  誰能阻止用水給他們施洗呢?
[00:02:40.000 --> 00:02:44.000]  他就吩咐奉耶穌基督的名給他們施洗
[00:02:44.000 --> 00:02:48.000]  於是他們請彼得住了幾天
[00:02:48.000 --> 00:02:51.000]  這一段經文其實還有下文
[00:02:51.000 --> 00:02:57.000]  因為第11章記載彼得回到耶路撒冷
[00:02:57.000 --> 00:03:02.000]  向教會報告這件事
[00:03:02.000 --> 00:03:05.000]  我們再讀多一段
[00:03:05.000 --> 00:03:08.000]  第11章15至18節
[00:03:08.000 --> 00:03:12.000]  從另外一個角度彼得說回這件事
[00:03:12.000 --> 00:03:15.000]  第11章15至18節
[00:03:15.000 --> 00:03:20.000]  我一開始說話,聖靈就降在他們身上
[00:03:20.000 --> 00:03:23.000]  正像當初降在我們身上一樣
[00:03:23.000 --> 00:03:26.000]  我就想起主的話如何說
[00:03:26.000 --> 00:03:31.000]  若看用水施洗,但你們要在聖靈裡受洗
[00:03:31.000 --> 00:03:33.000]  既然神給他們恩賜
[00:03:33.000 --> 00:03:38.000]  正在我們信主耶穌基督的時候給了我們一樣
[00:03:38.000 --> 00:03:41.000]  我是誰?能難阻上帝嗎?
[00:03:41.000 --> 00:03:44.000]  眾人聽見這些話,就不說話了
[00:03:44.000 --> 00:03:46.000]  只歸榮耀及常
[00:03:46.000 --> 00:03:51.000]  說,這樣看來,神也一次恩給外邦人
[00:03:51.000 --> 00:03:54.000]  使他們悔改得生命了
[00:03:54.000 --> 00:03:59.000]  從整段經文,我們可以很簡單看到
[00:03:59.000 --> 00:04:02.000]  神藉著聖靈工作
[00:04:02.000 --> 00:04:09.000]  而彼得上帝的僕人信服回應
[00:04:09.000 --> 00:04:15.000]  於是就成就了神的心意,神的計劃
[00:04:15.000 --> 00:04:20.000]  這個道理2000年前是這樣
[00:04:20.000 --> 00:04:23.000]  到今天也是一樣
[00:04:23.000 --> 00:04:25.000]  上帝在這裡工作
[00:04:25.000 --> 00:04:30.000]  如果人信服回應上帝的心意
[00:04:30.000 --> 00:04:34.000]  上帝就要成就大事
[00:04:34.000 --> 00:04:39.000]  在第十章,我們看到彼得還在說道
[00:04:39.000 --> 00:04:41.000]  其實他還沒說完
[00:04:41.000 --> 00:04:43.000]  聖靈已經不讓他說了
[00:04:43.000 --> 00:04:45.000]  因為當他在說道
[00:04:45.000 --> 00:04:49.000]  聖靈降臨在那些聽道的人
[00:04:49.000 --> 00:04:54.000]  就是哥尼留和他的親友,親戚朋友身上
[00:04:54.000 --> 00:04:57.000]  那個聖靈降臨
[00:04:57.000 --> 00:05:01.000]  就好像《使徒行傳》第二章
[00:05:01.000 --> 00:05:06.000]  聖靈降臨在那些等候聖靈來的人身上
[00:05:06.000 --> 00:05:10.000]  在第十一章,彼得自己也這樣說
[00:05:10.000 --> 00:05:14.000]  所以有些人說這段經文所說的
[00:05:14.000 --> 00:05:18.000]  就是一個外邦人的聖靈降臨節
[00:05:18.000 --> 00:05:22.000]  因為和《使徒行傳》第二章差不多
[00:05:22.000 --> 00:05:24.000]  大家知不知道什麼叫聖靈降臨節?
[00:05:24.000 --> 00:05:27.000]  聖靈降臨節就是耶穌復活之後
[00:05:27.000 --> 00:05:30.000]  五十天,五重節的時候
[00:05:30.000 --> 00:05:32.000]  有七個星期
[00:05:32.000 --> 00:05:35.000]  距離現在還有兩個星期
[00:05:35.000 --> 00:05:38.000]  復活節之後的七個星期
[00:05:38.000 --> 00:05:40.000]  就是我們開會友大會那天
[00:05:40.000 --> 00:05:42.000]  就是聖靈降臨節
[00:05:42.000 --> 00:05:45.000]  我們要看聖靈的工作了
[00:05:45.000 --> 00:05:49.000]  彼得看到聖靈的工作
[00:05:49.000 --> 00:05:54.000]  其實和彼得一起去第四十五節
[00:05:54.000 --> 00:05:57.000]  那些奉國禮的信徒
[00:05:57.000 --> 00:06:00.000]  有六個人和他一起
[00:06:00.000 --> 00:06:02.000]  從約柏這個地方
[00:06:02.000 --> 00:06:05.000]  去到哥尼留家的
[00:06:05.000 --> 00:06:08.000]  這六個奉國禮的信徒
[00:06:08.000 --> 00:06:11.000]  看到聖靈的恩賜
[00:06:11.000 --> 00:06:14.000]  也都囂在外邦人的身上
[00:06:14.000 --> 00:06:17.000]  就都驚奇
[00:06:17.000 --> 00:06:21.000]  因為聖靈的工作很神奇
[00:06:21.000 --> 00:06:23.000]  很偉大,不可思議
[00:06:23.000 --> 00:06:25.000]  他們想都沒想過
[00:06:25.000 --> 00:06:28.000]  聖靈會這樣降臨在
[00:06:28.000 --> 00:06:31.000]  哥尼留和一群人的身上
[00:06:31.000 --> 00:06:32.000]  什麼原因呢?
[00:06:32.000 --> 00:06:33.000]  《史萊恆傳》第二章
[00:06:33.000 --> 00:06:35.000]  聖靈都有降臨了
[00:06:35.000 --> 00:06:39.000]  降臨在使徒和那群猶太人的身上
[00:06:39.000 --> 00:06:42.000]  但是他們沒想過
[00:06:42.000 --> 00:06:45.000]  聖靈會降臨在
[00:06:45.000 --> 00:06:49.000]  這一群外邦人的身上
[00:06:49.000 --> 00:06:53.000]  彼得再一次有新的體會
[00:06:53.000 --> 00:06:56.000]  第十章三十四,三十五節
[00:06:56.000 --> 00:06:58.000]  上次我們講的經文
[00:06:58.000 --> 00:07:00.000]  其實那裡彼得已經有一個
[00:07:00.000 --> 00:07:02.000]  對他來說是新的體會
[00:07:02.000 --> 00:07:04.000]  這個新的體會是什麼呢?
[00:07:04.000 --> 00:07:09.000]  我真的看出上帝是不偏待人的
