
[00:00:00.000 --> 00:00:05.000]  《聖經》
[00:00:05.000 --> 00:00:10.000]  此錄音或錄影的版權是屬於基督教宣導會不各堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意未經授權請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:29.000]  甚願好像《使徒行傳》二十章三十二節下所說
[00:00:29.000 --> 00:00:31.000]  這道能建立你們
[00:00:31.000 --> 00:00:35.000]  叫你們和一切誠誠的人同得基業
[00:00:35.000 --> 00:00:43.000]  各位弟兄姊妹平安
[00:00:43.000 --> 00:00:47.000]  感謝神我們又可以一起跟弟兄姊妹們來敬拜
[00:00:47.000 --> 00:00:50.000]  剛才大家見證了很多新受浸
[00:00:50.000 --> 00:00:53.000]  新的弟兄姊妹進入我們當中
[00:00:53.000 --> 00:00:57.000]  我也希望你們有機會跟你旁邊的人說說
[00:00:57.000 --> 00:00:59.000]  你什麼時候受浸的
[00:00:59.000 --> 00:01:01.000]  你什麼時候過會的
[00:01:01.000 --> 00:01:02.000]  你什麼時候信主的
[00:01:02.000 --> 00:01:04.000]  大家聊兩句
[00:01:24.000 --> 00:01:26.000]  我們感謝神
[00:01:26.000 --> 00:01:28.000]  聖經清楚說
[00:01:28.000 --> 00:01:31.000]  教會是基督的身體
[00:01:31.000 --> 00:01:34.000]  我們是互為之體
[00:01:34.000 --> 00:01:36.000]  我們在不同的時代
[00:01:36.000 --> 00:01:37.000]  信了主
[00:01:37.000 --> 00:01:38.000]  加入了教會
[00:01:38.000 --> 00:01:40.000]  進入了神的身體
[00:01:40.000 --> 00:01:43.000]  我們是互為之體
[00:01:43.000 --> 00:01:45.000]  我們在不同的時代
[00:01:45.000 --> 00:01:46.000]  信了主
[00:01:46.000 --> 00:01:47.000]  加入了教會
[00:01:47.000 --> 00:01:49.000]  進入了神的身體
[00:01:49.000 --> 00:01:51.000]  我們是互為之體
[00:01:51.000 --> 00:01:53.000]  進入了神的身體
[00:01:53.000 --> 00:01:56.000]  我們有很多弟兄姊妹
[00:01:56.000 --> 00:01:58.000]  我們一起來敬拜上帝
[00:01:58.000 --> 00:01:59.000]  大家再一起祈禱
[00:01:59.000 --> 00:02:01.000]  我們仰望主
[00:02:01.000 --> 00:02:06.000]  我們所侍奉的主
[00:02:06.000 --> 00:02:08.000]  我們敬拜你
[00:02:08.000 --> 00:02:11.000]  主我們何等不配
[00:02:11.000 --> 00:02:14.000]  我們只不過是塵土所造
[00:02:14.000 --> 00:02:16.000]  在罪的當中
[00:02:16.000 --> 00:02:18.000]  被罪所捆綁
[00:02:18.000 --> 00:02:21.000]  但是主耶穌你的大能
[00:02:21.000 --> 00:02:24.000]  叫我們從死亡當中
[00:02:24.000 --> 00:02:26.000]  我們復生過來
[00:02:26.000 --> 00:02:28.000]  你自己的救贖
[00:02:28.000 --> 00:02:31.000]  顯出你自己莫大的慈愛
[00:02:31.000 --> 00:02:34.000]  叫我們這一群
[00:02:34.000 --> 00:02:36.000]  被自我所捆綁
[00:02:36.000 --> 00:02:38.000]  被罪所捆綁的人
[00:02:38.000 --> 00:02:39.000]  因為你的愛
[00:02:39.000 --> 00:02:42.000]  我們重新有盼望
[00:02:42.000 --> 00:02:43.000]  我們感謝你
[00:02:43.000 --> 00:02:45.000]  不僅拯救我們一個人
[00:02:45.000 --> 00:02:48.000]  你又拯救了一個群體
[00:02:48.000 --> 00:02:50.000]  你賜給我們弟兄姊妹
[00:02:50.000 --> 00:02:52.000]  在我們身邊
