
[00:00:00.000 --> 00:00:03.360]  經過幾張聖經,我們看到約伯的安靜
[00:00:03.360 --> 00:00:06.760]  透過他的安靜,我們看到上帝要我們在安靜當中
[00:00:06.760 --> 00:00:09.760]  去重整我們自己的優先次序
[00:00:09.760 --> 00:00:13.120]  究竟什麼是我們人生裏面最重要
[00:00:13.120 --> 00:00:16.280]  但另一方面,去到第32章,去到第37章的時候
[00:00:16.280 --> 00:00:19.280]  我們忽然間會發現出現了一個人物
[00:00:19.280 --> 00:00:21.240]  這個人物叫做「以利戶」
[00:00:21.240 --> 00:00:22.960]  這個人物其實很奇怪的
[00:00:22.960 --> 00:00:24.600]  他忽然之間出來說話
[00:00:24.600 --> 00:00:26.680]  但是從他第32章裏面
[00:00:26.680 --> 00:00:30.640]  我們的確看到這個「以利戶」是當時
[00:00:30.640 --> 00:00:33.880]  當約伯和他的三個朋友聊天的時候
[00:00:33.880 --> 00:00:36.040]  這個「以利戶」在旁邊的
[00:00:36.040 --> 00:00:38.520]  但是由第1章到第31章
[00:00:38.520 --> 00:00:42.360]  從來沒有出現過人說過有一個「以利戶」在旁邊
[00:00:42.360 --> 00:00:43.640]  就當他隱形那樣
[00:00:43.640 --> 00:00:44.640]  但是他在那裏
[00:00:44.640 --> 00:00:45.840]  因為第32章裏他說
[00:00:45.840 --> 00:00:48.320]  你們所說的話,你們所爭論的事情
[00:00:48.320 --> 00:00:50.560]  我完全聽了
[00:00:50.560 --> 00:00:52.960]  一個這樣的人物忽然之間出現
[00:00:52.960 --> 00:00:55.680]  但另一方面,也有很多學者說
[00:00:55.680 --> 00:00:57.880]  32章到37章
[00:00:57.880 --> 00:01:00.640]  究竟是不是約伯記的作者所寫的呢?
[00:01:00.640 --> 00:01:04.320]  第一,如果真是約伯記的作者所寫的
[00:01:04.320 --> 00:01:07.080]  他沒有理由在第1章到第31章
[00:01:07.080 --> 00:01:10.600]  連這個名字提都不提一次
[00:01:10.600 --> 00:01:12.960]  如果是同一個作者,沒有理由不提的
[00:01:12.960 --> 00:01:15.200]  去到結尾也不提,開始也不提
[00:01:15.200 --> 00:01:16.960]  所以有些學者就說
[00:01:16.960 --> 00:01:19.080]  會不會32章到37章
[00:01:19.080 --> 00:01:22.760]  是他的手筆來自另一個作者
[00:01:22.760 --> 00:01:25.200]  而是後人加進去
[00:01:25.200 --> 00:01:27.080]  甚至你看他的文法
[00:01:27.080 --> 00:01:29.040]  看他寫的寫法
[00:01:29.040 --> 00:01:30.120]  也有少許不同
[00:01:30.120 --> 00:01:32.080]  特別第32章一開始的時候
[00:01:32.080 --> 00:01:34.000]  當這個以利會一出現的時候
[00:01:34.000 --> 00:01:37.120]  你會發覺他會介紹這個以利會的
[00:01:37.120 --> 00:01:39.240]  用金文來說,他的直貫
[00:01:39.240 --> 00:01:42.000]  他是屬於蘭族布西人
[00:01:42.000 --> 00:01:44.440]  而他爸爸的名字也出現了
[00:01:44.440 --> 00:01:45.680]  但是在前面
[00:01:45.680 --> 00:01:48.800]  我們卻不知道約伯記生的朋友
[00:01:48.800 --> 00:01:50.160]  究竟他的直貫是什麼
[00:01:50.160 --> 00:01:52.400]  也不知道他的爸爸是誰
[00:01:52.400 --> 00:01:53.320]  完全沒有提
[00:01:53.320 --> 00:01:55.320]  所以他的寫法也有少許不同
[00:01:55.320 --> 00:01:56.480]  於是有些學者就說
[00:01:56.480 --> 00:01:59.200]  會不會32章到37章
[00:01:59.200 --> 00:02:01.520]  根本不是同一個作者
[00:02:01.520 --> 00:02:04.800]  而是後人將他放進去
[00:02:04.800 --> 00:02:06.600]  當然作為我一個傳統的目者
[00:02:06.600 --> 00:02:08.400]  我不會作為一個真論
[00:02:08.400 --> 00:02:11.120]  我仍然深信這六章的聖經
[00:02:11.120 --> 00:02:14.320]  都是來自約伯記的同一個作者
[00:02:14.320 --> 00:02:16.440]  你知道我覺得這六章的聖經
[00:02:16.440 --> 00:02:18.040]  放在這個位置裡面
[00:02:18.040 --> 00:02:21.000]  正正是一個很重要的轉捩點
[00:02:21.000 --> 00:02:22.000]  而這個轉捩點
[00:02:22.000 --> 00:02:24.320]  是帶我們下一次回來的時候
[00:02:24.320 --> 00:02:25.840]  去看到38章
[00:02:25.840 --> 00:02:29.120]  神開始說話的一個很重要的轉捩點
[00:02:29.120 --> 00:02:32.320]  當然今天要說完六章聖經
[00:02:32.320 --> 00:02:35.240]  用35分鐘來說完六章聖經
[00:02:35.240 --> 00:02:38.400]  現在才開始計算
[00:02:38.400 --> 00:02:39.520]  35分鐘
[00:02:39.520 --> 00:02:42.240]  我覺得真的不可能直接說
[00:02:42.240 --> 00:02:46.000]  不過當我自己去研究這六篇講章的時候
[00:02:46.000 --> 00:02:49.360]  我發覺我們必須要先有兩個
[00:02:49.360 --> 00:02:52.720]  很重要的基本觀點要知道
[00:02:52.720 --> 00:02:54.560]  我們從這六章聖經那邊
[00:02:54.560 --> 00:02:59.040]  我們發現有兩個很重要的基本觀點
[00:02:59.040 --> 00:03:00.560]  我們要先知道
[00:03:00.560 --> 00:03:01.560]  放在腦袋那邊
[00:03:01.560 --> 00:03:03.680]  所以當你們從來沒有看過這六章
[00:03:03.680 --> 00:03:06.280]  你先記得這兩個基本的觀點
[00:03:06.280 --> 00:03:07.960]  然後再回去看這六章聖經
[00:03:07.960 --> 00:03:09.880]  你會覺得很有味道
[00:03:09.880 --> 00:03:11.240]  第一個觀點就是
[00:03:11.240 --> 00:03:12.760]  在以利會的觀點當中
[00:03:12.760 --> 00:03:16.960]  第一 他說神一定不會以有罪為無罪
[00:03:16.960 --> 00:03:19.640]  他說他懲罰的唯一目的
[00:03:19.640 --> 00:03:22.000]  就是要罪人回轉
[00:03:22.000 --> 00:03:23.240]  這是第一個觀點
[00:03:23.240 --> 00:03:27.640]  這是以利會一個很重要的基本觀點之一
[00:03:27.640 --> 00:03:31.200]  他說神絕對不會以有罪為無罪
