
[00:00:00.000 --> 00:00:03.600]  跟你旁邊說 跟你在一起 聚會真好
[00:00:03.600 --> 00:00:15.360]  剛才她跟你講的時候 有沒有笑一下
[00:00:15.360 --> 00:00:19.920]  沒有的話 你說再來一次吧
[00:00:19.920 --> 00:00:21.280]  劉姊妹 你知道嗎
[00:00:21.280 --> 00:00:28.440]  很多時候 其實我們人生當中有很多東西是要操練的
[00:00:28.440 --> 00:00:35.000]  是吧 我們受到我們自己的文化的影響
[00:00:35.000 --> 00:00:39.240]  受到我們的整個教育背景的影響
[00:00:39.240 --> 00:00:43.560]  其實深到一個地步你都不知道
[00:00:43.560 --> 00:00:49.000]  但是你信主之後 你需要把神的話不斷的操練
[00:00:49.000 --> 00:00:51.400]  這個叫做操練
[00:00:51.400 --> 00:00:53.240]  我們不是一個感恩的人
[00:00:53.240 --> 00:00:57.480]  坦白講 特別在我們中國文化 對不對
[00:00:57.480 --> 00:01:01.400]  所以 好像我們常常到了感恩節的時候
[00:01:01.400 --> 00:01:05.160]  我們才想到 啊 唱唱這首歌 感謝神 有沒有
[00:01:05.160 --> 00:01:08.440]  或者是到感恩節的時候 我們才想到說
[00:01:08.440 --> 00:01:10.840]  哎呀 有火雞可吃了
[00:01:10.840 --> 00:01:13.080]  就開始想到有感恩的事情
[00:01:13.080 --> 00:01:15.880]  但是其實不應該是這樣子的 對不對
[00:01:15.880 --> 00:01:19.560]  保羅在講到歌羅西書的時候
[00:01:19.560 --> 00:01:23.800]  你看見 他無論是在歌羅西教會或者什麼樣子
[00:01:23.800 --> 00:01:27.080]  哥林多教會 一開始的時候
[00:01:27.080 --> 00:01:29.800]  保羅一定做一件事情
[00:01:29.800 --> 00:01:31.880]  什麼事情
[00:01:31.880 --> 00:01:34.920]  保羅一定做一件事情 他說我為你們感謝
[00:01:34.920 --> 00:01:37.960]  即使是哥林多教會這個問題教會
[00:01:37.960 --> 00:01:42.600]  保羅說當我想到你們的時候 我為你們感謝
[00:01:42.600 --> 00:01:46.360]  所以歌羅西書 當保羅在寫歌羅西書的時候
[00:01:46.360 --> 00:01:50.600]  當時候保羅所面對的這個歌羅西的教會
[00:01:50.600 --> 00:01:55.480]  他們有一端有這個洛斯底主義在他們當中矯揉
[00:01:55.480 --> 00:01:58.520]  所以保羅就提醒他們很多的事情
[00:01:58.520 --> 00:02:01.720]  他講了很多 我們在前面的訊息稍微複習一下
[00:02:01.720 --> 00:02:04.440]  我們在前面講到說 保羅告訴他們說
[00:02:04.440 --> 00:02:07.400]  基督是我們信仰的中心
[00:02:07.400 --> 00:02:10.680]  整個歌羅西書的主題就是在講基督論
[00:02:10.680 --> 00:02:13.160]  所以基督是我們的信仰的中心
[00:02:13.160 --> 00:02:15.960]  所以我們認識了這位基督之後
[00:02:15.960 --> 00:02:20.600]  保羅就提醒我們 我們要棄絕救人 對不對
[00:02:20.600 --> 00:02:25.320]  我們要脫去救人 我們要穿上信仰 還記得嗎
[00:02:25.320 --> 00:02:27.080]  救人是怎麼樣的情形呢
[00:02:27.080 --> 00:02:30.600]  救人是那些嫉妒 紛爭 苦讀等等這些的
[00:02:30.600 --> 00:02:33.960]  新的人是什麼 是新的人是充滿了溫柔
[00:02:33.960 --> 00:02:38.600]  充滿了慈愛 充滿了謙卑 充滿了這些的美德
[00:02:38.600 --> 00:02:40.920]  所以保羅講完這些之後
[00:02:40.920 --> 00:02:48.200]  然後就開始講到夫妻關係應該是怎麼樣
[00:02:48.200 --> 00:02:51.000]  講到主僕之間關係應該是怎麼樣
[00:02:51.000 --> 00:02:53.240]  講到親子關係應該是怎麼樣
[00:02:53.240 --> 00:02:56.200]  保羅就開始在生活上面的教導了
[00:02:56.200 --> 00:02:58.760]  他講完神學 講完這個理論
[00:02:58.760 --> 00:03:00.360]  他一定帶入實際
[00:03:00.360 --> 00:03:03.480]  這是整個保羅書信的一個特色
[00:03:03.480 --> 00:03:07.000]  但是到了第四章呢
[00:03:07.000 --> 00:03:11.000]  剛才我們讀聖經 突然話鋒一轉
[00:03:11.000 --> 00:03:16.200]  保羅又開始講什麼呢
[00:03:16.200 --> 00:03:19.000]  講什麼
[00:03:19.000 --> 00:03:22.040]  來 我們再來唸好不好 來 預備 請
[00:03:22.040 --> 00:03:27.960]  你們要恆切禱告 在此謹行感恩
[00:03:27.960 --> 00:03:33.080]  也要為我們禱告 求神給我們開傳道的門
[00:03:33.080 --> 00:03:38.040]  仍以講基督的奧秘 我為此被捆鎖
[00:03:38.040 --> 00:03:45.240]  叫我按著所該說的話 將這奧秘發明出來
[00:03:45.240 --> 00:03:49.160]  丟這邊 保羅講完這些之後
[00:03:49.160 --> 00:03:51.160]  第四章已經到了末了
[00:03:51.160 --> 00:03:53.720]  後面我們會再繼續的看第四章
[00:03:53.720 --> 00:03:58.040]  第四章後面開始就是講了一堆的人
[00:03:58.040 --> 00:04:01.400]  然後講的問安 講這些事情
[00:04:01.400 --> 00:04:03.480]  可是就在結束之前
[00:04:03.480 --> 00:04:07.000]  他突然冒出了這一段聖經
[00:04:07.000 --> 00:04:09.080]  使得我們思考
[00:04:09.080 --> 00:04:10.840]  第一個 這段聖經裡面提到說
[00:04:10.840 --> 00:04:15.480]  你們要恆切禱告
[00:04:15.480 --> 00:04:20.280]  表明一件事情 保羅真是一個禱告的人
