
[00:00:00.000 --> 00:00:03.780]  基本上是聽神的道理 才能夠重新祈禱
[00:00:03.780 --> 00:00:06.060]  請讓我們聽到神的道理 才能夠重新祈禱
[00:00:06.060 --> 00:00:10.580]  吹下呼聲的聲音 讓我們能夠有生命
[00:00:10.580 --> 00:00:12.580]  也能夠有機會
[00:00:12.580 --> 00:00:14.580]  打開你的說話
[00:00:14.580 --> 00:00:16.580]  一起來到思想
[00:00:16.580 --> 00:00:18.580]  並且讓我們有機會
[00:00:18.580 --> 00:00:20.580]  能夠
[00:00:20.580 --> 00:00:22.580]  能夠接受
[00:00:22.580 --> 00:00:24.580]  夢想當中的意義
[00:00:24.580 --> 00:00:28.260]  當我們在思想的過程裏面
[00:00:28.260 --> 00:00:30.260]  也讓我們帶著一份
[00:00:30.260 --> 00:00:32.260]  感恩的心
[00:00:32.260 --> 00:00:35.260]  認為能夠有這樣的
[00:00:35.260 --> 00:00:37.260]  機會的
[00:00:37.260 --> 00:00:39.260]  其實上面
[00:00:39.260 --> 00:00:41.260]  並不多
[00:00:41.260 --> 00:00:43.260]  讓我們能夠把握時機
[00:00:43.260 --> 00:00:45.260]  來到
[00:00:45.260 --> 00:00:48.260]  趕緊來到
[00:00:48.260 --> 00:00:50.260]  領受當中的教訓
[00:00:50.260 --> 00:00:52.260]  求你的幫助
[00:00:52.260 --> 00:00:54.260]  所以求性靈現在
[00:00:54.260 --> 00:00:57.260]  站在我們每一個人的身上
[00:00:57.260 --> 00:00:59.260]  求你的幫助
[00:00:59.260 --> 00:01:01.260]  先主多謝你給了我們
[00:01:01.260 --> 00:01:03.260]  能夠有生命再次打開你的說話
[00:01:03.260 --> 00:01:05.260]  一起去思想
[00:01:05.260 --> 00:01:07.260]  讓我們也能夠有所
[00:01:07.260 --> 00:01:09.260]  夢想領受
[00:01:09.260 --> 00:01:11.260]  求你讓我們有一份
[00:01:11.260 --> 00:01:13.260]  甘心樂意領受的心志
[00:01:13.260 --> 00:01:15.260]  求性靈與我們同在
[00:01:15.260 --> 00:01:17.260]  好使我們能夠
[00:01:17.260 --> 00:01:19.260]  趕快地去接受
[00:01:19.260 --> 00:01:21.260]  當中的教訓
[00:01:21.260 --> 00:01:23.260]  因為能夠有這樣的機會
[00:01:23.260 --> 00:01:25.260]  可以將主你的道理
[00:01:25.260 --> 00:01:27.260]  明白並且消化
[00:01:27.260 --> 00:01:29.260]  這樣的機會並不多
[00:01:29.260 --> 00:01:31.260]  求你讓我們
[00:01:31.260 --> 00:01:33.260]  把握時機
[00:01:33.260 --> 00:01:35.260]  領受當中的教訓
[00:01:35.260 --> 00:01:37.260]  全然衛生在這裏
[00:01:37.260 --> 00:01:39.260]  祈禱奉主耶穌基督
[00:01:39.260 --> 00:01:41.260]  得性靈至今
[00:01:41.260 --> 00:01:45.260]  不知道大家是不是一個精明的消費者
[00:01:45.260 --> 00:01:51.260]  不過無論你是否精明的消費者
[00:01:53.260 --> 00:01:55.260]  我都希望大家去想一想
[00:01:55.260 --> 00:01:57.260]  究竟怎樣才能夠成為一個
[00:01:57.260 --> 00:01:59.260]  可以學習到
[00:01:59.260 --> 00:02:01.260]  去作為一個精明的消費者
[00:02:01.260 --> 00:02:03.260]  無論你是否是一個精明的消費者
