
[00:00:00.000 --> 00:00:01.840]  好,弟兄姊妹,主內平安
[00:00:01.840 --> 00:00:07.460]  我們很高興這一次回來教會裡一起去敬拜
[00:00:07.460 --> 00:00:09.880]  讓家中的弟兄姊妹都可以藉著網絡
[00:00:09.880 --> 00:00:12.800]  我們一起去領受上帝的說話
[00:00:12.800 --> 00:00:15.420]  我們一起先去祈禱
[00:00:15.420 --> 00:00:19.000]  親愛的主,願意將我們都交在你面前
[00:00:19.000 --> 00:00:21.920]  幫助我們闖開我們的心懷
[00:00:21.920 --> 00:00:24.680]  讓我們有清晰的眼睛
[00:00:24.680 --> 00:00:26.420]  有一個聆聽的耳朵
[00:00:26.420 --> 00:00:29.560]  以致我們能夠透過你的說話
[00:00:29.560 --> 00:00:31.500]  我們的生命被建立
[00:00:31.500 --> 00:00:35.320]  以致我們能夠更加向著你
[00:00:35.320 --> 00:00:36.800]  更加順服著你
[00:00:36.800 --> 00:00:38.840]  更加願意跟從著你
[00:00:38.840 --> 00:00:40.780]  幫助我們,聽我們祈禱
[00:00:40.780 --> 00:00:42.820]  奉耶穌名字而求
[00:00:42.820 --> 00:00:44.080]  阿們
[00:00:44.080 --> 00:00:47.320]  好,今天跟大家分享一個題目
[00:00:47.320 --> 00:00:49.680]  就是不一樣的榜樣
[00:00:49.680 --> 00:00:52.380]  在未看到題目之前
[00:00:52.380 --> 00:00:54.820]  我們先去回答一條問題
[00:00:54.820 --> 00:00:57.520]  我們看看我們的隱形的問題是什麼
[00:00:57.520 --> 00:01:00.960]  好,假如要你為一個品牌
[00:01:00.960 --> 00:01:03.360]  或者一個產品做一個代言
[00:01:03.360 --> 00:01:05.000]  你覺得你自己適合
[00:01:05.000 --> 00:01:08.320]  為什麼產品做一個代言人呢
[00:01:08.320 --> 00:01:11.980]  我自己適合為什麼產品做代言人呢
[00:01:11.980 --> 00:01:14.240]  為一些車
[00:01:14.240 --> 00:01:15.920]  即是你駕駛這輛車
[00:01:15.920 --> 00:01:18.320]  人家一定看到都想買
[00:01:18.320 --> 00:01:19.960]  會不會這樣呢
[00:01:19.960 --> 00:01:23.440]  又或者你為你的手機
[00:01:23.440 --> 00:01:24.800]  你駕駛這張手機
[00:01:24.800 --> 00:01:26.600]  每個人看到你駕駛覺得
[00:01:26.600 --> 00:01:28.240]  自然就會想到
[00:01:28.240 --> 00:01:30.480]  跟你買就沒問題了
[00:01:30.480 --> 00:01:31.920]  會不會這樣呢
[00:01:31.920 --> 00:01:33.640]  你可不可以想想你自己可以
[00:01:33.640 --> 00:01:37.920]  為什麼產品或者什麼品牌做一個代言呢
[00:01:37.920 --> 00:01:40.240]  我自己也想想有些
[00:01:40.240 --> 00:01:41.440]  很多不同的產品
[00:01:41.440 --> 00:01:44.080]  其中有些產品
[00:01:44.080 --> 00:01:45.800]  即是原來
[00:01:45.800 --> 00:01:49.160]  找那些代言人做那些產品的代言
[00:01:49.160 --> 00:01:50.600]  本來應該是很成功的
[00:01:50.600 --> 00:01:53.280]  不過最後又不太行
[00:01:53.280 --> 00:01:55.160]  看看這一個產品
[00:01:55.160 --> 00:01:57.760]  你猜一下這個是什麼來的
[00:01:57.760 --> 00:01:59.720]  這個產品我不知道你有沒有見過
[00:01:59.720 --> 00:02:01.480]  你知不知道這個產品是什麼來的呢
[00:02:01.480 --> 00:02:03.560]  有什麼用的呢
[00:02:03.560 --> 00:02:04.840]  做運動的
[00:02:04.840 --> 00:02:05.960]  怎樣做呢
[00:02:05.960 --> 00:02:07.480]  如果是做運動
[00:02:07.480 --> 00:02:10.920]  咬在嘴巴裡面
[00:02:10.920 --> 00:02:11.920]  揮的
[00:02:11.920 --> 00:02:13.160]  美心說這樣揮的
[00:02:13.160 --> 00:02:14.640]  好像撥線那樣揮的
[00:02:14.640 --> 00:02:15.840]  好
[00:02:15.840 --> 00:02:17.640]  我們一齊看看影片
[00:02:17.640 --> 00:02:18.600]  就知道
[00:02:18.600 --> 00:02:21.160]  究竟這個產品是怎麼用的呢
[00:02:21.160 --> 00:02:24.320]  我們看看吧
[00:02:25.160 --> 00:02:29.720]  就是這樣
[00:02:29.720 --> 00:02:31.520]  你試一下想像一下
[00:02:31.520 --> 00:02:34.040]  你咬著這東西搖搖晃晃
[00:02:34.040 --> 00:02:36.360]  這個產品就是幫助你
[00:02:36.360 --> 00:02:41.240]  你的口部肌肉放鬆的
[00:02:41.240 --> 00:02:43.320]  當我預備這個訊息的時候
[00:02:43.320 --> 00:02:44.280]  一看這個訊息
[00:02:44.280 --> 00:02:45.360]  我看到這個訊息
[00:02:45.360 --> 00:02:46.480]  我馬上就想到
[00:02:46.480 --> 00:02:48.280]  這個東西是怎麼用的呢
[00:02:48.280 --> 00:02:49.480]  我看到這個訊息
[00:02:49.480 --> 00:02:50.400]  我馬上就想到
[00:02:50.400 --> 00:02:51.880]  這個東西是怎麼用的呢
[00:02:51.880 --> 00:02:53.280]  這個東西是怎麼用的呢
[00:02:53.280 --> 00:02:54.760]  這個東西是怎麼用的呢
[00:02:54.760 --> 00:02:55.960]  一看這個廣告
[00:02:55.960 --> 00:02:59.760]  我就為這個女孩子慘不忍睹
[00:02:59.760 --> 00:03:01.240]  所以你再想一想
[00:03:01.240 --> 00:03:02.960]  剛才那個畫面
[00:03:02.960 --> 00:03:05.160]  誰是賣這個廣告的呢
[00:03:05.160 --> 00:03:06.240]  斯朗娜杜就是一個
[00:03:06.240 --> 00:03:08.280]  足球中很有名的明星
