
[00:00:00.000 --> 00:00:03.320]  我這一篇信息有什麼目的
[00:00:03.320 --> 00:00:07.160]  一篇信息不是讓大家聽了之後很高興
[00:00:07.160 --> 00:00:09.220]  讓大家聽了之後有
[00:00:09.220 --> 00:00:11.260]  各樣的資訊
[00:00:11.260 --> 00:00:13.820]  那這資訊的背後
[00:00:13.820 --> 00:00:15.360]  有什麼目的
[00:00:15.360 --> 00:00:18.180]  那目的這我就打出來
[00:00:18.180 --> 00:00:19.720]  請打一下目的
[00:00:19.720 --> 00:00:25.600]  這目的也就是使你
[00:00:25.600 --> 00:00:29.700]  使我明白在教會裡面服事
[00:00:30.220 --> 00:00:32.520]  富有永恆的責任
[00:00:32.520 --> 00:00:37.380]  這對信徒來說
[00:00:37.380 --> 00:00:40.960]  可以慢慢體會這永恆的價值
[00:00:40.960 --> 00:00:44.020]  對木道的朋友來說
[00:00:44.020 --> 00:00:45.560]  我們的服事
[00:00:45.560 --> 00:00:47.860]  不但是為弟兄姊妹
[00:00:47.860 --> 00:00:52.440]  也為眾木道朋友在那裡服事
[00:00:52.440 --> 00:00:55.800]  所以為神為弟兄姊妹
[00:00:55.800 --> 00:00:56.820]  為
[00:00:56.820 --> 00:00:58.840]  木道的朋友服事
[00:00:59.340 --> 00:01:03.180]  所以我們的服事是有永恆的責任
[00:01:03.180 --> 00:01:04.960]  多少時候
[00:01:04.960 --> 00:01:08.300]  我們看到弟兄姊妹的服事
[00:01:08.300 --> 00:01:11.360]  把神家裡面的服事
[00:01:11.360 --> 00:01:13.420]  當作一個
[00:01:13.420 --> 00:01:16.240]  很親看的一件事情
[00:01:16.240 --> 00:01:19.040]  很親率的一件事情
[00:01:19.040 --> 00:01:22.880]  我們在公司單位我們工作的時候
[00:01:22.880 --> 00:01:24.940]  我們可以敬敬業業
[00:01:24.940 --> 00:01:28.780]  我們在公司單位做事的時候我們可以
[00:01:29.280 --> 00:01:31.080]  花上很大的工夫
[00:01:31.080 --> 00:01:33.900]  可是當我們來到教會的時候
[00:01:33.900 --> 00:01:37.740]  好像有我也可以沒我也無所謂
[00:01:37.740 --> 00:01:39.780]  或是排我負責什麼
[00:01:39.780 --> 00:01:40.800]  事情
[00:01:40.800 --> 00:01:43.360]  沒我的話別人總被代替
[00:01:43.360 --> 00:01:47.200]  當我們有這樣的態度的時候我就列出
[00:01:47.200 --> 00:01:51.300]  使你我明白在教會裡面的服事
[00:01:51.300 --> 00:01:54.880]  富有永恆的責任
[00:01:54.880 --> 00:01:57.440]  你的重生得救是如何
[00:01:57.960 --> 00:01:59.740]  你的服事也是如何
[00:01:59.740 --> 00:02:04.360]  常常師母跟我說你的講道
[00:02:04.360 --> 00:02:05.640]  輕鬆一點
[00:02:05.640 --> 00:02:06.920]  你的講道
[00:02:06.920 --> 00:02:08.440]  多一點這個
[00:02:08.440 --> 00:02:10.500]  可是我的個性就是那樣
[00:02:10.500 --> 00:02:13.820]  我願意把我心裡面的話跟你們講
[00:02:13.820 --> 00:02:16.380]  假如我講一些大家喜歡聽的
[00:02:16.380 --> 00:02:19.460]  說老師我在這個教會
[00:02:19.460 --> 00:02:21.760]  會不會超過十年服事
[00:02:21.760 --> 00:02:26.880]  我在這十年裡面你的靈魂沒有長進的話
[00:02:27.140 --> 00:02:29.960]  你的靈魂沒有受到造就的話
[00:02:29.960 --> 00:02:31.500]  我對誰要交代
[00:02:31.500 --> 00:02:37.120]  神若說不是你的責任是他本人的責任的時候
[00:02:37.120 --> 00:02:38.400]  我就放心了
[00:02:38.400 --> 00:02:40.700]  說我為什麼願意這樣
[00:02:40.700 --> 00:02:43.780]  我願意這樣我把我心裡面覺得
[00:02:43.780 --> 00:02:45.060]  我所準備的
[00:02:45.060 --> 00:02:48.640]  我認為重要的我認為我看見的
[00:02:48.640 --> 00:02:49.920]  我們跟各位講
[00:02:49.920 --> 00:02:51.980]  外地來的牧者
[00:02:51.980 --> 00:02:54.540]  他不曉得我們的情形是如何
[00:02:54.540 --> 00:02:57.100]  他不曉得我們教會情形如何
[00:02:57.340 --> 00:02:57.860]  他就
[00:02:57.860 --> 00:03:00.920]  我也不會限制你一定要講什麼道
[00:03:00.920 --> 00:03:02.980]  他按照他的感動怎麼講
[00:03:02.980 --> 00:03:06.820]  可是弟兄姐妹可以看出
[00:03:06.820 --> 00:03:08.860]  每次我講的時候可能
[00:03:08.860 --> 00:03:10.660]  會有些嚴厲
[00:03:10.660 --> 00:03:13.980]  可是這嚴厲我不是故意要講嚴厲
[00:03:13.980 --> 00:03:16.040]  講真心話的時候
[00:03:16.040 --> 00:03:20.900]  從另外一個角度會覺得比較嚴厲那我們今天來看一下
[00:03:20.900 --> 00:03:23.460]  大綱第一項
[00:03:26.020 --> 00:03:28.580]  大綱第一項我用雅各書
[00:03:28.580 --> 00:03:31.660]  這第一章二十四二十五節
[00:03:31.660 --> 00:03:33.960]  那這裡面的背景是什麼
[00:03:33.960 --> 00:03:35.240]  這裡面的背景
[00:03:35.240 --> 00:03:36.260]  講到
[00:03:36.260 --> 00:03:37.300]  律法
[00:03:37.300 --> 00:03:39.340]  神的話語神的律法
[00:03:39.340 --> 00:03:41.380]  就如同一面鏡子
[00:03:41.380 --> 00:03:43.180]  可以照亮我們
[00:03:43.180 --> 00:03:46.000]  當我們把律法
[00:03:46.000 --> 00:03:47.780]  這意義
[00:03:47.780 --> 00:03:49.320]  看得清楚的時候
[00:03:49.320 --> 00:03:51.620]  藉助雅各講到律法
[00:03:51.620 --> 00:03:54.180]  就如同一面鏡子照我們
[00:03:54.440 --> 00:03:55.980]  我們可以看見知己
[00:03:55.980 --> 00:03:59.040]  不單聽到而且可以去行
[00:03:59.040 --> 00:04:04.680]  當我們講到鏡子的時候我們就應該很清楚了
[00:04:04.680 --> 00:04:09.280]  古時候的時候沒有像我們現在這樣的一個
[00:04:09.280 --> 00:04:10.820]  iPhone也有鏡子
[00:04:10.820 --> 00:04:14.160]  現在甚至iPhone都有鏡子
[00:04:14.160 --> 00:04:15.940]  以前我們
[00:04:15.940 --> 00:04:17.480]  是要特別有個鏡子
[00:04:17.480 --> 00:04:20.040]  那以前的時候是用銅做的
[00:04:20.040 --> 00:04:21.580]  那銅應該怎麼樣
[00:04:21.580 --> 00:04:22.860]  擦得很亮
[00:04:22.860 --> 00:04:24.140]  才看得清楚
[00:04:24.400 --> 00:04:25.680]  聖經是如何
[00:04:25.680 --> 00:04:27.220]  就如同鏡子
[00:04:27.220 --> 00:04:31.820]  當你對神的話語擦得亮的時候就越看清楚自己
[00:04:31.820 --> 00:04:34.120]  律法的功用就是如此
[00:04:34.120 --> 00:04:36.680]  律法的功用也就是
[00:04:36.680 --> 00:04:39.000]  讓我們明白我們自己
[00:04:39.000 --> 00:04:40.280]  的立場
[00:04:40.280 --> 00:04:44.620]  讓我們明白我們在神面前的光景是怎麼樣
[00:04:44.620 --> 00:04:48.460]  恩典來的時候我們才會覺得恩典的
[00:04:48.460 --> 00:04:49.480]  可貴
[00:04:49.480 --> 00:04:51.020]  若我們
[00:04:51.020 --> 00:04:52.820]  沒有看清律法
[00:04:53.840 --> 00:04:55.880]  那我們就不會看重恩典
[00:04:55.880 --> 00:04:57.420]  你懂我的意思嗎
[00:04:57.420 --> 00:05:00.500]  我們覺得律法就幾條嘛
[00:05:00.500 --> 00:05:03.820]  就幾條而已
[00:05:03.820 --> 00:05:07.400]  假如你看清律法的話
[00:05:07.400 --> 00:05:09.460]  你恩典你也覺得
[00:05:09.460 --> 00:05:11.000]  拜拜了
[00:05:11.000 --> 00:05:13.040]  神要給我就給我
[00:05:13.040 --> 00:05:16.360]  可你對律法越看重的話
[00:05:16.360 --> 00:05:18.680]  明白律法是神的
