
[00:00:00.000 --> 00:00:02.000]  請回眾站立
[00:00:02.000 --> 00:00:06.060]  今日讀的經文是在
[00:00:06.060 --> 00:00:09.800]  《已忽所書》三章一至十三節
[00:00:09.800 --> 00:00:13.220]  《已忽所書》三章一至十三節
[00:00:13.220 --> 00:00:15.220]  好 我們一起
[00:00:15.220 --> 00:00:21.100]  因此我保羅為你們愛邦人作了基督耶穌被囚的
[00:00:21.100 --> 00:00:23.100]  替你們祈禱
[00:00:23.100 --> 00:00:27.980]  月亮必你們曾聽見神賜恩給我
[00:00:27.980 --> 00:00:31.660]  將關切你們的積分託付我
[00:00:31.660 --> 00:00:35.580]  用啟示使我知道福音的奧秘
[00:00:35.580 --> 00:00:38.860]  正如我以前略略寫過的
[00:00:38.860 --> 00:00:44.300]  你們念了就能曉得我心知基督的奧秘
[00:00:44.300 --> 00:00:49.100]  這奧秘在以前的世代沒有叫人知道
[00:00:49.100 --> 00:00:55.700]  像如今藉著聖靈啟示他的聖徒和先知一樣
[00:00:55.700 --> 00:01:00.120]  這奧秘就是愛邦人在基督耶穌裡
[00:01:00.120 --> 00:01:03.420]  藉著福音得以同為後製
[00:01:03.420 --> 00:01:06.500]  同為一體同蒙應許
[00:01:06.500 --> 00:01:09.500]  我作了這福音的執事
[00:01:09.500 --> 00:01:11.500]  是照神的恩賜
[00:01:11.500 --> 00:01:16.300]  這恩賜兆照他運行的大能賜給我的
[00:01:16.300 --> 00:01:21.620]  我本來比眾聖徒中最少的還少
[00:01:21.620 --> 00:01:24.820]  然而他還賜我這恩典
[00:01:24.820 --> 00:01:30.500]  叫我把基督拿測不透的豐富傳給愛邦人
[00:01:30.500 --> 00:01:33.140]  由始眾人都明白
[00:01:33.140 --> 00:01:38.820]  這歷代以來隱藏在創世萬物之神裡的奧秘
[00:01:38.820 --> 00:01:41.300]  是如何安排的
[00:01:41.300 --> 00:01:45.380]  為要藉著教會使天上執政的
[00:01:45.380 --> 00:01:46.660]  掌權的
[00:01:46.660 --> 00:01:50.220]  現在得知神百般的智慧
[00:01:50.220 --> 00:01:53.620]  這是照神從萬世以前
[00:01:53.620 --> 00:01:58.180]  在我們主基督耶穌裡所定的旨意
[00:01:58.180 --> 00:02:00.660]  我們因信耶穌
[00:02:00.660 --> 00:02:03.780]  就在他裡面放膽無懼
[00:02:03.780 --> 00:02:06.980]  篤信不疑地來到神面前
[00:02:06.980 --> 00:02:13.620]  所以我求你們不要因我為你們所受的患難喪膽
[00:02:13.620 --> 00:02:16.900]  這原是你們的榮耀
[00:02:16.900 --> 00:02:18.900]  大家請坐
[00:02:18.900 --> 00:02:26.180]  今天李傳道為我們傳講的訊息題目是「福音的執事」
[00:02:48.900 --> 00:03:06.100]  我們在疫情當中
[00:03:06.100 --> 00:03:08.820]  很多弟兄姊妹都可能會回香港
[00:03:08.820 --> 00:03:11.220]  可能會要受隔離的時候
[00:03:11.220 --> 00:03:14.740]  我在網上看到有些評論說
[00:03:14.740 --> 00:03:17.620]  住隔離酒店的時候
[00:03:17.620 --> 00:03:19.700]  他們是一個人生很脆弱的時候
[00:03:19.700 --> 00:03:20.980]  因為被困
[00:03:20.980 --> 00:03:22.500]  我自己也被隔離過
[00:03:22.500 --> 00:03:26.260]  我自己年初染病的時候也有隔離
[00:03:26.260 --> 00:03:28.580]  很多弟兄姊妹主要是弟兄姊妹
[00:03:28.580 --> 00:03:31.300]  我就不用吃這些隔離餐
[00:03:31.300 --> 00:03:34.740]  但是就算在現在
[00:03:34.740 --> 00:03:37.140]  就算上個月九月的期間
[00:03:37.140 --> 00:03:40.020]  如果有些學生入大學
[00:03:40.020 --> 00:03:43.300]  這張圖是在TikTok翻印出來
[00:03:43.300 --> 00:03:44.500]  分享給大家
[00:03:44.500 --> 00:03:46.580]  這個在大學New York U那裡
[00:03:46.580 --> 00:03:50.100]  有些學生就說要吃這些東西
[00:03:50.100 --> 00:03:52.260]  然後在TikTok上瘋傳
[00:03:52.260 --> 00:03:54.500]  就說原來是這樣的
[00:03:54.500 --> 00:03:57.060]  但是這個時候
[00:03:57.060 --> 00:03:58.740]  我們被隔離的時候
[00:03:58.740 --> 00:04:02.100]  剛才大家聽到保羅在書信上所說的
[00:04:02.100 --> 00:04:06.180]  他隔離的時候他們會怎樣做呢
[00:04:06.180 --> 00:04:07.380]  他隔離的時候
[00:04:07.380 --> 00:04:14.100]  他的心態和我們分享隔離餐的心態是不同
[00:04:14.100 --> 00:04:16.100]  他們在患難當中
[00:04:16.100 --> 00:04:18.340]  我們人生上有很多的患難
[00:04:18.340 --> 00:04:22.340]  我們很多時候就算是為了自己的壓力
