
[00:00:00.000 --> 00:00:04.440]  不知道大家是否相信這個世界是有末日的呢?
[00:00:04.440 --> 00:00:07.260]  如果你相信的話,
[00:00:07.260 --> 00:00:14.060]  你覺得這個世界的末日會不會在你有生之年發生呢?
[00:00:14.060 --> 00:00:15.300]  不如做一個互動吧,
[00:00:15.300 --> 00:00:21.300]  哪一個相信這個世界的末日會在你有生之年發生呢?
[00:00:21.300 --> 00:00:22.500]  一個都沒有。
[00:00:22.500 --> 00:00:30.840]  早大概十年左右,曾經做過全球性的調查,
[00:00:30.840 --> 00:00:35.240]  就是調查大家是否相信會在你有生之年看到這個世界的末日。
[00:00:35.240 --> 00:00:38.640]  大家猜猜有多少人相信呢?
[00:00:38.640 --> 00:00:41.340]  七個人當中有一個人相信,
[00:00:41.340 --> 00:00:45.580]  在有生之年世界就會終結。
[00:00:45.580 --> 00:00:50.040]  你說,可能都與我無關,我都不相信世界的末日。
[00:00:50.040 --> 00:00:52.760]  如果你相信的話,
[00:00:52.760 --> 00:00:54.660]  對不起,聖經說得很清楚,
[00:00:54.660 --> 00:00:57.140]  這個世界是會有終結的一天,
[00:00:57.140 --> 00:00:59.440]  不單止有終結的一天,
[00:00:59.440 --> 00:01:02.500]  這個世界的末日可能很快就會來到。
[00:01:02.500 --> 00:01:05.900]  今天我們所讀的,剛才的經文,
[00:01:05.900 --> 00:01:09.800]  就是講到使徒約翰在拔摩島見到一個異象。
[00:01:09.800 --> 00:01:14.440]  這個異象,上個星期楊牧師跟我們分享過,
[00:01:14.440 --> 00:01:16.860]  是講到一個七個人的異象。
[00:01:16.860 --> 00:01:20.200]  這個七個人,沒有一個人能夠打開,
[00:01:20.200 --> 00:01:23.900]  為此使徒約翰就大哭。
[00:01:23.900 --> 00:01:24.600]  為什麼呢?
[00:01:24.600 --> 00:01:28.240]  因為這個書卷裡面記載了末後會發生的事情,
[00:01:28.240 --> 00:01:32.600]  沒有人打開,沒有人知道這個世界將要發生的事情。
[00:01:32.600 --> 00:01:34.260]  所以使徒約翰就大哭。
[00:01:34.260 --> 00:01:37.140]  在那個時候高揚就站出來。
[00:01:37.140 --> 00:01:37.640]  為什麼呢?
[00:01:37.640 --> 00:01:42.100]  因為他就是唯一能夠打開這七人的那個。
[00:01:42.100 --> 00:01:42.840]  為什麼他可以呢?
[00:01:42.840 --> 00:01:45.240]  因為他是死而復活,
[00:01:45.240 --> 00:01:51.860]  領受了天上與地上的一切權並與能力的那個。
