
[00:00:00.000 --> 00:00:02.000]  姊妹早
[00:00:02.000 --> 00:00:12.000]  我們剛才老中青都已經向我們的父親表示父親節快樂
[00:00:12.000 --> 00:00:14.000]  那我們再一次
[00:00:14.000 --> 00:00:16.000]  今天是父親節
[00:00:16.000 --> 00:00:20.000]  我們祝每位爸爸們父親節快樂
[00:00:20.000 --> 00:00:22.000]  一般來說呢
[00:00:22.000 --> 00:00:24.000]  在家裡面
[00:00:24.000 --> 00:00:26.000]  父母親有不同的功能
[00:00:26.000 --> 00:00:29.000]  媽媽呢都是照顧小孩
[00:00:29.000 --> 00:00:31.000]  一切的生活起居
[00:00:31.000 --> 00:00:34.000]  爸爸呢是負責賺錢養家的
[00:00:34.000 --> 00:00:39.000]  所以一般孩子們都跟媽媽比較親
[00:00:39.000 --> 00:00:41.000]  因為媽媽是那個天天在家裡面
[00:00:41.000 --> 00:00:45.000]  為他們照管他們吃喝拉撒睡的媽媽
[00:00:45.000 --> 00:00:50.000]  但是在這個新的時代裡面
[00:00:50.000 --> 00:00:53.000]  其實又有一點不太一樣了
[00:00:53.000 --> 00:00:56.000]  我記得我們前幾年上過一個課
[00:00:56.000 --> 00:00:58.000]  裡面有一個問題
[00:00:58.000 --> 00:01:00.000]  他們就問
[00:01:00.000 --> 00:01:03.000]  一個好爸爸
[00:01:03.000 --> 00:01:07.000]  下班以後第一件事情做什麼
[00:01:07.000 --> 00:01:10.000]  那有的人說
[00:01:10.000 --> 00:01:16.000]  先去陪小孩玩啊做功課
[00:01:16.000 --> 00:01:20.000]  還是到廚房裡面去親親媽媽
[00:01:20.000 --> 00:01:24.000]  告訴媽媽謝謝他一天在家裡面的辛勞
[00:01:24.000 --> 00:01:30.000]  你們猜這個好爸爸應該是先做什麼事情
[00:01:30.000 --> 00:01:33.000]  那我們其實當然知道啦
[00:01:33.000 --> 00:01:36.000]  要先親親媽媽謝謝媽媽
[00:01:36.000 --> 00:01:37.000]  那為什麼呢
[00:01:37.000 --> 00:01:39.000]  我們思考大聲的說阿們喔
[00:01:39.000 --> 00:01:42.000]  但是為什麼
[00:01:42.000 --> 00:01:43.000]  為什麼是這樣子
[00:01:43.000 --> 00:01:46.000]  因為第一個我們教養兒女
[00:01:46.000 --> 00:01:51.000]  要讓孩子們看到爸爸是愛媽媽的
[00:01:51.000 --> 00:01:54.000]  而且爸爸是敬重尊重媽媽的
[00:01:54.000 --> 00:02:01.000]  所以這是一個為父當給孩子有的榜樣
[00:02:01.000 --> 00:02:04.000]  而且也讓孩子看到爸爸媽媽之間
[00:02:04.000 --> 00:02:06.000]  彼此親密的關係
[00:02:06.000 --> 00:02:09.000]  他們就會有一種安全感
[00:02:09.000 --> 00:02:14.000]  對什麼事情他們就比較能夠信任有安全感
[00:02:14.000 --> 00:02:16.000]  而且不只如此
[00:02:16.000 --> 00:02:18.000]  現在的父親啊
[00:02:18.000 --> 00:02:23.000]  他們晚上也要起來
[00:02:23.000 --> 00:02:25.000]  有小孩的話有baby的話
[00:02:25.000 --> 00:02:28.000]  這些父親也會起來幫忙換尿片餵奶
[00:02:28.000 --> 00:02:30.000]  夜裡頭也會起來幫忙的
[00:02:30.000 --> 00:02:33.000]  而且小孩再大一點
[00:02:33.000 --> 00:02:35.000]  你就要幫忙接送小孩
[00:02:35.000 --> 00:02:37.000]  還要陪男孩子打soccer
