
[00:00:00.000 --> 00:00:02.340]  所謂恩主,我們要獻上感恩
[00:00:02.340 --> 00:00:05.380]  讓我們今天可以很安靜
[00:00:05.380 --> 00:00:08.640]  很平安地在祢的殿中去崇拜祢
[00:00:08.640 --> 00:00:10.820]  願祢讓我們今天
[00:00:10.820 --> 00:00:13.260]  好好的享受,同樣好好的反省
[00:00:13.260 --> 00:00:16.240]  開我們的眼睛,讓我們看見祢的榮美
[00:00:16.240 --> 00:00:18.760]  開我們的耳朵,讓我們專心的聆聽
[00:00:18.760 --> 00:00:21.020]  開我們的心,讓我們好好的感受
[00:00:21.020 --> 00:00:22.820]  以致我們用行動去回應祢
[00:00:22.820 --> 00:00:25.760]  由願僕人口中的言語,頂至每天的心思意念
[00:00:25.760 --> 00:00:27.760]  蒙聖靈的啟迪,蒙主的月立
[00:00:27.760 --> 00:00:29.760]  禱告奉耶穌基督的名
[00:00:30.840 --> 00:00:35.580]  各位頂智妹,今天是普世聖餐主日崇拜
[00:00:35.580 --> 00:00:40.400]  聖餐崇拜,不知對你來說有甚麼意義
[00:00:40.400 --> 00:00:42.400]  或者對你來說有甚麼感受
[00:00:42.400 --> 00:00:45.000]  不知當說起聖餐,你會想起甚麼
[00:00:45.000 --> 00:00:50.520]  可能你會想起我們教會每個月第一個星期日的崇拜
[00:00:50.520 --> 00:00:53.480]  又或者周末敬拜的第三個星期六的崇拜
[00:00:53.480 --> 00:00:57.960]  又或者你會想起聖餐就是洗禮之後就可以領
[00:00:57.960 --> 00:01:01.040]  有個餅,有杯葡萄汁
[00:01:01.040 --> 00:01:07.460]  不知聖餐對你來說是很熟悉還是很陌生
[00:01:07.460 --> 00:01:10.200]  可能當中有頂智妹或者年青朋友
[00:01:10.200 --> 00:01:12.760]  你未洗禮,你說我沒機會領聖餐
[00:01:12.760 --> 00:01:15.160]  曾經試過有些青年人經常問我
[00:01:15.160 --> 00:01:19.840]  那個餅是甚麼味道?那個杯是甚麼來的?甜不甜的?
[00:01:19.840 --> 00:01:25.560]  可能對他來說覺得很有趣,很羨慕,不知是甚麼
[00:01:25.560 --> 00:01:28.960]  可能當中有回教會很久的頂智妹或年長的頂智妹
[00:01:28.960 --> 00:01:31.720]  可能你說我領了聖餐幾十年
[00:01:31.720 --> 00:01:34.160]  由十多歲開始一直到現在
[00:01:34.160 --> 00:01:37.880]  每年我都很乖,每年我每個月都會回來領聖餐
[00:01:37.880 --> 00:01:41.400]  每年都領十次聖餐以上
[00:01:41.400 --> 00:01:43.840]  我記得當我剛剛信耶穌的時候
[00:01:43.840 --> 00:01:47.480]  我見到崇拜人領聖餐,我就覺得很新奇
[00:01:47.480 --> 00:01:49.040]  到底是甚麼來的?
[00:01:49.040 --> 00:01:53.280]  我經常想偷偷試試吃下,偷偷試試飲下
[00:01:53.280 --> 00:01:56.320]  當時我教會的傳達人跟我說
[00:01:56.320 --> 00:02:00.640]  這些你不能碰的,到你洗禮之後你就知道是甚麼來的
[00:02:00.640 --> 00:02:03.800]  好像很神奇,好像很特別
[00:02:03.800 --> 00:02:09.120]  當然我絕對是有偷偷試試的一個,我都不是很聽話的人
[00:02:09.120 --> 00:02:14.200]  我覺得沒甚麼,又是餅的塊,又是葡萄汁一杯
[00:02:14.200 --> 00:02:18.000]  當我開始回教會,洗禮,開始有機會領聖餐
[00:02:18.000 --> 00:02:20.600]  我就開始慢慢明白聖餐的意義
[00:02:20.600 --> 00:02:23.920]  但漸漸過了一段時間,十多年之後就習慣了
[00:02:23.920 --> 00:02:25.560]  每個月就一次聖餐
[00:02:25.560 --> 00:02:30.360]  一年就很乖地領十二次聖餐,就是這樣
[00:02:30.360 --> 00:02:34.360]  當我來到梁佛堂當中,成為大家的目者的時候
[00:02:34.360 --> 00:02:36.960]  剛剛來的時候,只有我和黃牧師兩個
[00:02:36.960 --> 00:02:39.920]  那一年我算一算,第一次問我
[00:02:39.920 --> 00:02:43.800]  第一年你在梁佛堂的時候,你領了多少次聖餐?
[00:02:43.800 --> 00:02:48.040]  我就數了,主日崇拜是一個月一次
[00:02:48.040 --> 00:02:49.840]  週末敬拜是一個月一次
[00:02:49.840 --> 00:02:53.320]  其實我們每個月都會去順利宿舍的老人院
[00:02:53.320 --> 00:02:55.520]  那裏又有聖餐,一個月一次
[00:02:55.520 --> 00:02:59.200]  原來還有的,有時候我和黃牧師去探訪
[00:02:59.200 --> 00:03:03.280]  有些長者,我們去探他,因為他來不了教會,我們又會施餐
[00:03:03.280 --> 00:03:06.400]  然後區會有一些活動,又會有聖餐
[00:03:06.400 --> 00:03:11.520]  數著數著,原來那一年我領了差不多有五十次以上的聖餐
[00:03:11.520 --> 00:03:15.040]  嘩,有頂尖就覺得,嘩,領這麼多聖餐的
[00:03:15.040 --> 00:03:16.640]  那時候我都覺得很奇怪,想想
[00:03:16.640 --> 00:03:22.280]  聖餐究竟領多一點好,還是一個月一次好,還是怎樣呢?
[00:03:22.280 --> 00:03:25.200]  當我去研究多一些和聖餐有關的歷史
[00:03:25.200 --> 00:03:28.240]  或者很多教會的傳統的時候
[00:03:28.240 --> 00:03:29.960]  聖餐代表著甚麼呢?
[00:03:29.960 --> 00:03:32.840]  聖餐有很多不同的代表
[00:03:32.840 --> 00:03:37.480]  聖餐是赦罪、和好、盼望、合一等等的標記
[00:03:37.480 --> 00:03:42.680]  更重要,原來聖餐是指人藉著一個耶穌基督設立的禮儀
[00:03:42.680 --> 00:03:45.560]  可以再一次走在一起,再一次和基督聯合
[00:03:45.560 --> 00:03:47.920]  再一次和弟兄姊妹聯合
[00:03:47.920 --> 00:03:50.640]  今天是普世聖餐主日
[00:03:50.640 --> 00:03:56.120]  不知道普世聖餐對他來說有甚麼意義,或者有多少認識
[00:03:56.120 --> 00:04:01.160]  原來普世聖餐的發生源頭在大約七十多年前
[00:04:01.160 --> 00:04:03.080]  1933年其實開始
[00:04:03.080 --> 00:04:06.920]  當時美國經濟大蕭條,經濟很差
