
[00:00:00.000 --> 00:00:03.560]  今日和大家分享的經文是
[00:00:03.560 --> 00:00:06.680]  提摩太前書三章十六節
[00:00:06.680 --> 00:00:09.320]  大哉敬乾的傲臂
[00:00:09.320 --> 00:00:11.080]  無人不以為賢
[00:00:11.080 --> 00:00:14.120]  就是上帝在肉身顯現
[00:00:14.120 --> 00:00:15.920]  被聖靈清儀
[00:00:15.920 --> 00:00:17.880]  被天使看見
[00:00:17.880 --> 00:00:19.520]  被傳於外邦
[00:00:19.520 --> 00:00:21.120]  被世人信服
[00:00:21.120 --> 00:00:23.120]  被接載榮耀裡
[00:00:23.120 --> 00:00:27.000]  不過因為題目的艱鉅性
[00:00:27.000 --> 00:00:32.160]  恐怕我只能說頭那一節
[00:00:32.160 --> 00:00:35.240]  大哉敬乾的傲臂
[00:00:35.240 --> 00:00:36.640]  無人不以為賢
[00:00:36.640 --> 00:00:41.640]  就是上帝在肉身顯現
[00:00:41.640 --> 00:00:46.040]  傳統上聖誕是一個比較感性的節日
[00:00:46.040 --> 00:00:48.840]  甚至對非基督徒來說
[00:00:48.840 --> 00:00:51.800]  聖誕的詩歌、聖誕的音樂
[00:00:51.800 --> 00:00:54.640]  聖誕燈飾和聖誕氣氛
[00:00:54.640 --> 00:00:57.800]  都很容易給人產生一種
[00:00:57.800 --> 00:01:01.840]  很愉快和親密的感覺
[00:01:01.840 --> 00:01:03.920]  希望和家人和朋友
[00:01:03.920 --> 00:01:09.080]  一起來分享生命的美好
[00:01:09.080 --> 00:01:11.720]  但正如聖誕對一般人來說
[00:01:11.720 --> 00:01:15.600]  只不過是一種感覺、一種氣氛
[00:01:15.600 --> 00:01:17.200]  故此聖誕過後
[00:01:17.200 --> 00:01:21.440]  自然生活依舊工作如常
[00:01:21.440 --> 00:01:22.840]  當我們還小的時候
[00:01:22.840 --> 00:01:26.480]  或許都會期待下一個聖誕的來臨
[00:01:26.480 --> 00:01:28.000]  就好像我們期待
[00:01:28.000 --> 00:01:31.360]  即是緊接下來的舊曆新年一樣
[00:01:31.360 --> 00:01:34.240]  可以交換禮物、可以抖一下利是
[00:01:34.240 --> 00:01:36.880]  可以去買一些自己
[00:01:36.880 --> 00:01:41.160]  已經看了很久的玩具
[00:01:41.160 --> 00:01:43.320]  但當我們慢慢年紀大的時候
[00:01:43.320 --> 00:01:44.520]  我們就發覺
[00:01:44.520 --> 00:01:49.040]  聖誕只不過是一個比較長的假期
[00:01:49.040 --> 00:01:53.600]  實際上美國最近才是撥亂反正
[00:01:53.600 --> 00:01:56.080]  由「祝你聖誕快樂」
[00:01:56.080 --> 00:02:02.160]  可以說回「聖誕快樂」
[00:02:02.160 --> 00:02:05.320]  實際上不單是聖誕
[00:02:05.320 --> 00:02:08.320]  現代社會似乎把所有傳統的節日
[00:02:08.320 --> 00:02:10.400]  都壓平了
[00:02:10.400 --> 00:02:13.680]  前幾天如果我們有智能電話的話
[00:02:13.680 --> 00:02:16.160]  我們就會收到很多WhatsApp
[00:02:16.160 --> 00:02:18.920]  就是「冬至快樂」
[00:02:18.920 --> 00:02:22.360]  這幾天我會收到「聖誕快樂」
[00:02:22.360 --> 00:02:26.160]  時幾天會收到「新年快樂」
[00:02:26.160 --> 00:02:27.920]  甚麼都快樂的
[00:02:27.920 --> 00:02:29.480]  甚至中秋節的時候
[00:02:29.480 --> 00:02:33.720]  我們都只能夠說「中秋節快樂」
[00:02:33.720 --> 00:02:35.840]  幾乎在清明節的時候
[00:02:35.840 --> 00:02:41.040]  我們都說要「清明快樂」
[00:02:41.040 --> 00:02:42.640]  我想除了農曆年
