
[00:00:00.000 --> 00:00:06.600]  今晚呢去到分享信息呢係Love is all around
[00:00:06.600 --> 00:00:10.700]  咁你講緊即係我哋點樣去點講呀
[00:00:10.700 --> 00:00:14.200]  由之前講緊喺個群體裏面一齊學彼此相愛啦
[00:00:14.200 --> 00:00:19.700]  又講緊喺衝突當中點樣去互相嘅相處啦
[00:00:19.700 --> 00:00:23.700]  咁而家講緊群體外面啦咁
[00:00:23.700 --> 00:00:26.200]  仍然係喺試路行轉啦咁
[00:00:26.200 --> 00:00:34.200]  今日講到個題目呢我畀咗個題目佢呢就係
[00:00:34.200 --> 00:00:36.200]  Small step big change
[00:00:36.200 --> 00:00:42.200]  你有冇印象即係好經典嘅一個名句呢
[00:00:42.200 --> 00:00:46.200]  即係講探人呀即係想月球呢咩岩石堂呢
[00:00:46.200 --> 00:00:48.200]  佢講咗一句嘢你記唔記得㗎
[00:00:48.200 --> 00:00:50.200]  即係大概啦其實exact word都唔記得㗎啦
[00:00:50.200 --> 00:00:52.200]  係咪即係個power point可以出出呀唔使
[00:00:52.200 --> 00:00:54.200]  即係我cap咗
[00:00:54.200 --> 00:00:56.200]  佢講咗一句咁嘅說話
[00:00:56.200 --> 00:00:59.200]  可以出個power point啦唔使出我
[00:00:59.200 --> 00:01:01.200]  唔該唔該唔該
[00:01:01.200 --> 00:01:04.200]  佢講咗咁嘅說話
[00:01:04.200 --> 00:01:06.200]  即係當佢登陸月球嘅時候
[00:01:06.200 --> 00:01:09.200]  即係我呢幾日專程走上去NASA睇返嗰條片
[00:01:09.200 --> 00:01:12.200]  佢話there is one small step for man
[00:01:12.200 --> 00:01:14.200]  即係當佢行落去個月球嘅時候
[00:01:14.200 --> 00:01:16.200]  one giant leap for mankind
[00:01:16.200 --> 00:01:19.200]  即係好多時候喺我哋嘅生活嘅裏面呢
[00:01:19.200 --> 00:01:21.200]  都有時係你我唔知你冇經歷過
[00:01:21.200 --> 00:01:24.200]  即係好多唔同嘅一小步
[00:01:24.200 --> 00:01:27.200]  對你嚟講呢原來一個好大嘅影響
[00:01:27.200 --> 00:01:30.200]  即係你讀大學嘅時候你揀邊科呀
[00:01:30.200 --> 00:01:32.200]  你揀完個科就你揀諗住
[00:01:32.200 --> 00:01:34.200]  啱啱夠分就讀個科囉
[00:01:34.200 --> 00:01:37.200]  不過原來發覺你跟住你一世就做嗰樣嘢
[00:01:37.200 --> 00:01:40.200]  跟住你揀邊間嘅學校讀書啦
[00:01:40.200 --> 00:01:42.200]  可能你同邊個拍拖啦
[00:01:42.200 --> 00:01:44.200]  結婚啦生小朋友
[00:01:44.200 --> 00:01:46.200]  你可能嗰下係做一個普通嘅決定
[00:01:46.200 --> 00:01:49.200]  但係好大影響
[00:01:49.200 --> 00:01:53.200]  有好多嘢係喺我哋嘅腦裏面
[00:01:53.200 --> 00:01:56.200]  好多既有嘅觀念對我哋好大嘅影響
[00:01:56.200 --> 00:01:58.200]  但係你breakthrough緊佢嘅
[00:01:58.200 --> 00:02:00.200]  我預備嘅時候我諗緊咩呢
[00:02:00.200 --> 00:02:03.200]  你冇聽過以前曾經有人咁講過
[00:02:03.200 --> 00:02:06.200]  每日只可以最多食幾隻雞蛋
[00:02:06.200 --> 00:02:08.200]  你冇聽過
[00:02:08.200 --> 00:02:11.200]  兩隻你冇聽過有兩隻
[00:02:11.200 --> 00:02:14.200]  我以前係一路聽兩隻係max嘅
[00:02:14.200 --> 00:02:17.200]  即係佢話咩呢佢話一個人吸收嘅膽固醇係有限嘅
[00:02:17.200 --> 00:02:19.200]  咁樣多就咩生命危險
[00:02:19.200 --> 00:02:21.200]  即係嗰啲咁嘅friend啦
[00:02:21.200 --> 00:02:23.200]  係唔可以食得多過兩隻蛋嘅
[00:02:23.200 --> 00:02:25.200]  咁但係有時你知唔知點解
[00:02:25.200 --> 00:02:27.200]  食完早餐之後晏之後再嗌
[00:02:27.200 --> 00:02:29.200]  我試過有日食咗六隻蛋
[00:02:29.200 --> 00:02:32.200]  心慌都好嘅就死啦
[00:02:32.200 --> 00:02:34.200]  咁我話膽固醇係咪過高呢
[00:02:34.200 --> 00:02:37.200]  跟住你冇你冇唯意最近呢幾年呢十年八年呢
[00:02:37.200 --> 00:02:39.200]  其實有個新嘅一個嘅講法
[00:02:39.200 --> 00:02:41.200]  唔怕啦
[00:02:41.200 --> 00:02:43.200]  雞蛋嘅膽固醇係健康嘛
[00:02:43.200 --> 00:02:45.200]  咁食多啲都唔怕啦係咪你冇
[00:02:45.200 --> 00:02:47.200]  跟住我成日同我啲嘅朋友
[00:02:47.200 --> 00:02:49.200]  傾開計時佢話
[00:02:49.200 --> 00:02:51.200]  你冇睇以前啲人
[00:02:51.200 --> 00:02:53.200]  點樣粗肌肉㗎
[00:02:53.200 --> 00:02:57.200]  成桶
[00:02:57.200 --> 00:02:59.200]  雞生雞蛋對落去㗎嘛
[00:02:59.200 --> 00:03:01.200]  如果係你係咁樣就死死曬啦
[00:03:01.200 --> 00:03:03.200]  個班即係你明唔明
[00:03:03.200 --> 00:03:05.200]  即係嗰陣時我哋好多嘅啲既友嘅
[00:03:05.200 --> 00:03:07.200]  觀念呢就一路
[00:03:07.200 --> 00:03:09.200]  即係原來one small step
[00:03:09.200 --> 00:03:11.200]  冇嘢㗎喎嗰樣嘢係
[00:03:11.200 --> 00:03:13.200]  食囉咁當然你唔會叫你一日
[00:03:13.200 --> 00:03:15.200]  食十隻煞蛋你都食唔落啦係咪先
[00:03:15.200 --> 00:03:17.200]  但係好多時候一啲嘅諗法
[00:03:17.200 --> 00:03:19.200]  佢可能本身佢個出發點可能係好
[00:03:19.200 --> 00:03:21.200]  但係其實對你嚟講好大嘅影響
[00:03:21.200 --> 00:03:23.200]  其實有時
[00:03:23.200 --> 00:03:25.200]  其實我哋信耶穌一樣
