
[00:00:00.000 --> 00:00:03.840]  今天講題是「情與義,值千金」
[00:00:03.840 --> 00:00:07.880]  可能會令我們想起武俠小說那些
[00:00:07.880 --> 00:00:10.640]  很重情重義的英雄
[00:00:10.640 --> 00:00:12.740]  他們如何彼此惺惺相惜
[00:00:12.740 --> 00:00:15.040]  如何互相欣賞
[00:00:15.040 --> 00:00:18.500]  為了對方甚至連性命都不要
[00:00:18.500 --> 00:00:24.520]  這幅圖畫是約拿丹和大衛的一幕
[00:00:24.520 --> 00:00:29.600]  正是剛才讀經第十八章一至五節的一幕
[00:00:29.600 --> 00:00:31.720]  如果還記得在上星期
[00:00:31.720 --> 00:00:33.000]  應該是這段時間
[00:00:33.000 --> 00:00:37.120]  我都用薩姆爾記上去看大衛的生平
[00:00:37.120 --> 00:00:39.400]  裡面會牽涉到很多不同的人物
[00:00:39.400 --> 00:00:44.160]  在四月五號的講題我用「你看重神,神就看重你」
[00:00:44.160 --> 00:00:49.240]  我們看到大衛如何戰勝巨人哥利亞
[00:00:49.240 --> 00:00:51.100]  但重點不是在哥利亞那裡
[00:00:51.100 --> 00:00:54.640]  我們要將重點放在上帝的榮耀裡面
[00:00:54.640 --> 00:00:56.660]  大衛就是為了榮耀上帝的名
[00:00:56.660 --> 00:00:57.760]  所以出戰
[00:00:57.760 --> 00:01:02.900]  上帝透過大衛使他競爭得著最大的榮耀
[00:01:02.900 --> 00:01:04.420]  而在兩個星期之前
[00:01:04.420 --> 00:01:06.480]  在薩姆爾記上十八十九章
[00:01:06.480 --> 00:01:10.080]  我們就看到大衛和蘇羅人物
[00:01:10.080 --> 00:01:16.700]  好像在向上升 向下落的情況
[00:01:16.700 --> 00:01:19.160]  蘇羅很嫉妒大衛
[00:01:19.160 --> 00:01:20.880]  他妒忌大衛
[00:01:20.880 --> 00:01:23.140]  因為蘇羅殺死千千
[00:01:23.140 --> 00:01:25.440]  大衛殺死萬萬這句話
[00:01:25.440 --> 00:01:29.060]  蘇羅由嫉妒大衛到想殺害大衛
[00:01:29.060 --> 00:01:35.880]  這個嫉妒的心扭曲了原本屬於上帝僕人蘇羅的生命
[00:01:35.880 --> 00:01:39.060]  以致他和他自己
[00:01:39.060 --> 00:01:41.500]  和他身邊的家人、朋友
[00:01:41.500 --> 00:01:44.480]  甚至乎和上帝的關係都破裂了
[00:01:44.480 --> 00:01:46.340]  扭曲了他的生命
[00:01:46.340 --> 00:01:49.000]  我們如何能夠避過嫉妒呢?
[00:01:49.000 --> 00:01:51.040]  我們要找回上帝給我們的恩典
[00:01:51.040 --> 00:01:52.360]  上帝給我們的一份
[00:01:52.360 --> 00:01:54.120]  我們要靠他知足的心
[00:01:54.120 --> 00:01:57.700]  感恩的心和守好上帝給我們的一份
[00:01:57.700 --> 00:02:00.920]  我們就能夠距離、遠離嫉妒
[00:02:00.920 --> 00:02:04.200]  成為一個合神心意的人
[00:02:04.200 --> 00:02:09.000]  我們繼續透過今天約拿丹和大衛之間的文藥
[00:02:09.000 --> 00:02:12.360]  去學習如何成為一個使人得見的僕人
[00:02:12.360 --> 00:02:13.500]  而今天很明顯
[00:02:13.500 --> 00:02:17.140]  重點將會在約拿丹的身上
[00:02:17.140 --> 00:02:18.780]  多謝今天的領會
[00:02:18.780 --> 00:02:20.360]  是我們的神學生
[00:02:20.360 --> 00:02:22.620]  浸信會神學院的同學
[00:02:22.620 --> 00:02:25.660]  羅宇禾和我們讀了剛才的經文
[00:02:25.660 --> 00:02:28.520]  所以我不再重複一次了
[00:02:28.520 --> 00:02:29.580]  在十八章裡面
[00:02:29.580 --> 00:02:32.580]  你會看到我highlight了黃色的經文
[00:02:32.580 --> 00:02:37.000]  這就是約拿丹和大衛正式第一次見面
[00:02:37.000 --> 00:02:40.300]  大家已經是心相契合
[00:02:40.300 --> 00:02:42.740]  什麼叫做心心相契合呢?
[00:02:42.740 --> 00:02:44.900]  很多人會有很多不同的聯想
[00:02:44.900 --> 00:02:47.180]  特別是在同治神學的《釋經》裡面
[00:02:47.180 --> 00:02:50.720]  往往都會將這些東西形容為一種同性戀
[00:02:50.720 --> 00:02:53.260]  男與男之間的相愛
[00:02:53.260 --> 00:02:54.220]  我們看回原文
[00:02:54.220 --> 00:02:55.260]  或者看回《上文下理》
[00:02:55.260 --> 00:02:57.640]  看回整本《聖經》的教導
[00:02:57.640 --> 00:03:00.300]  我們知道其實這個心相契合
[00:03:00.300 --> 00:03:02.140]  是綁在一起的意思
[00:03:02.140 --> 00:03:07.040]  在舊約希伯來文裡面用了44次
[00:03:07.040 --> 00:03:09.600]  但大部分都是用在結黨
[00:03:09.600 --> 00:03:11.400]  同盟 合謀的意思
[00:03:11.400 --> 00:03:16.700]  和婚姻 和男女 和愛情之間是絕無關係
[00:03:16.700 --> 00:03:18.320]  是一個同盟
[00:03:18.320 --> 00:03:22.360]  接著說「約拿丹愛大衛如同愛自己的聖名」
[00:03:22.360 --> 00:03:24.120]  這個「愛」其實在舊約希伯裡面
[00:03:24.120 --> 00:03:28.440]  都是代表一種揀選 一種結盟的意思
[00:03:28.440 --> 00:03:31.100]  就好像聖經裡曾經說過
[00:03:31.100 --> 00:03:36.400]  耶和華愛雅各恨以素
[00:03:36.400 --> 00:03:38.800]  意思就是耶和華揀選了雅各
[00:03:38.800 --> 00:03:42.320]  去繼續接受上帝的應許之約
[00:03:42.320 --> 00:03:46.360]  但上帝仍然眷顧以素 眷顧雅各
[00:03:46.360 --> 00:03:49.560]  所以我們看到這不是一個情感上的「愛」
[00:03:49.560 --> 00:03:52.100]  而是一個同盟揀選的「愛」
[00:03:52.100 --> 00:03:55.440]  而你繼續看第十八章 一路發展下去
[00:03:55.440 --> 00:03:59.100]  你就會看到在我每記上十八章三節
[00:03:59.100 --> 00:04:01.560]  素羅迦開始沒落了
