
[00:00:00.000 --> 00:00:02.160]  各位師父好,大家早晨
[00:00:02.160 --> 00:00:02.980]  我是黃牧師
[00:00:02.980 --> 00:00:05.720]  我們再次回到去崇拜的時間
[00:00:05.720 --> 00:00:08.220]  同心去研讀上帝的說話
[00:00:08.220 --> 00:00:11.980]  今日會和大家一起分享的經文仍然在《老德記》
[00:00:11.980 --> 00:00:15.960]  我們會看第二章,第十八節至第二十三節
[00:00:15.960 --> 00:00:18.440]  今日所講的主題是
[00:00:18.440 --> 00:00:24.280]  「砥礪抗衡被扭曲的信仰籠罩之下的世界」
[00:00:24.280 --> 00:00:30.040]  一起再次以禱告打開我們今日同心去敬拜靈聽主道的時間
[00:00:30.040 --> 00:00:32.340]  我們一起同心去禱告
[00:00:32.340 --> 00:00:34.920]  親愛的師父多謝您讓我們能夠再次回來
[00:00:34.920 --> 00:00:37.720]  同心地去學習主理的道理
[00:00:37.720 --> 00:00:40.320]  求父神您的靈與我們同在
[00:00:40.320 --> 00:00:43.000]  讓我們所聽到的是上帝您的訊息
[00:00:43.000 --> 00:00:46.520]  讓我們能夠一起被上帝您的說話去觸動
[00:00:46.520 --> 00:00:48.280]  求您與我們同在
[00:00:48.280 --> 00:00:52.360]  讓我們能夠繼續在上帝您面前專心仰望
[00:00:52.360 --> 00:00:57.960]  我們親愛的師父感謝您讓我們再次回到上帝您的話語的當中
[00:00:57.960 --> 00:01:02.200]  讓我們一起來到靈聽主理要我們所聽的說話
[00:01:02.200 --> 00:01:03.980]  求您與我們同在
[00:01:03.980 --> 00:01:06.880]  讓您的教訓藏在我們生命當中
[00:01:06.880 --> 00:01:10.560]  永遠地來到成為我們生命的驅動力
[00:01:10.560 --> 00:01:14.640]  也能夠使我們能夠在平常的每一天的生活裡面
[00:01:14.640 --> 00:01:17.920]  能夠見證出我們是屬於主理的僕人
[00:01:17.920 --> 00:01:19.820]  是屬於您的兒女
[00:01:19.820 --> 00:01:22.760]  我們把這段時間恭敬教授
[00:01:22.760 --> 00:01:27.280]  親愛的師父感謝您再次讓我們有機會
[00:01:27.280 --> 00:01:28.680]  回到您的話語
[00:01:28.680 --> 00:01:29.800]  然後去學習
[00:01:29.800 --> 00:01:32.640]  讓我們了解您是誰
[00:01:32.640 --> 00:01:35.320]  所以請指導我們通過您的聖靈
[00:01:35.320 --> 00:01:39.680]  讓我們聽聽您想讓我們聽到什麼
[00:01:39.680 --> 00:01:42.360]  幫助我們了解您的話語
[00:01:42.360 --> 00:01:44.320]  也了解您是誰
[00:01:44.320 --> 00:01:50.040]  讓我們能夠在我們每天的活動中了解自己的生命
[00:01:50.040 --> 00:01:53.640]  如何證明我們是屬於您的
[00:01:53.640 --> 00:01:56.160]  我們在名義上向主耶穌基督祈禱
[00:01:56.160 --> 00:01:57.660]  阿們
[00:01:57.660 --> 00:02:02.400]  好,今天我們一起去看的經文是剛才我所說的
[00:02:02.400 --> 00:02:06.320]  《路德記》第二章第十八節至第二十三節
[00:02:06.320 --> 00:02:08.200]  讓我們再次打開神的說話
[00:02:08.200 --> 00:02:11.400]  我會為大家先讀出中文和合本的一次
[00:02:11.400 --> 00:02:15.520]  然後我會用NRSV的版本去讀一次
[00:02:15.520 --> 00:02:17.520]  好,如果大家有聖經的
[00:02:17.520 --> 00:02:20.820]  也都和我一起打開這段經文
[00:02:20.820 --> 00:02:24.640]  《路德記》第二章從第十八節開始
[00:02:24.640 --> 00:02:31.760]  「他就把所拾取的帶進城去給婆婆看
[00:02:31.760 --> 00:02:33.560]  又把他吃飽了
[00:02:33.560 --> 00:02:35.800]  所剩的給了婆婆
[00:02:35.800 --> 00:02:37.400]  婆婆問他說
[00:02:37.400 --> 00:02:40.440]  你今日在那裡拾取墨水
[00:02:40.440 --> 00:02:42.440]  在那裡做工呢?
[00:02:42.440 --> 00:02:45.400]  願那顧摔你的得福
[00:02:45.400 --> 00:02:47.720]  路德就告訴婆婆說
[00:02:47.720 --> 00:02:52.240]  我今日在一個名叫波亞斯的人那裡做工
[00:02:52.240 --> 00:02:54.400]  拿我米對兒婦說
[00:02:54.400 --> 00:02:57.400]  願那人夢夜禍華賜福
[00:02:57.400 --> 00:03:01.640]  因為他不斷地因待活人死人
[00:03:01.640 --> 00:03:02.880]  拿我米又說
[00:03:02.880 --> 00:03:05.040]  那是我們本族的人
[00:03:05.040 --> 00:03:08.040]  是一個至親的親屬
[00:03:08.040 --> 00:03:11.520]  波亞女子路德說:他對我說
[00:03:11.520 --> 00:03:15.040]  你要緊隨我的僕人拾取墨水
[00:03:15.040 --> 00:03:18.360]  直等他們收完了我的莊稼
[00:03:18.360 --> 00:03:21.760]  又二節:拿我米對兒婦路德說
[00:03:21.760 --> 00:03:25.040]  女兒啊,你跟著他的侍女出去
[00:03:25.040 --> 00:03:28.680]  不叫人預見你在別人的田間
[00:03:28.680 --> 00:03:30.480]  這才為好
[00:03:30.480 --> 00:03:33.440]  於是路德與波亞斯的侍女
[00:03:33.440 --> 00:03:36.360]  常在一處拾取墨水
[00:03:36.360 --> 00:03:39.680]  直到收完了大麥和小麥
[00:03:39.680 --> 00:03:42.600]  路德仍與婆婆同住
[00:03:42.600 --> 00:03:47.280]  Ruth 2:18
[00:03:47.280 --> 00:03:51.720]  She picked it up and came into the town
[00:03:51.720 --> 00:03:55.840]  and her mother-in-law saw how much she had gleaned
[00:03:55.840 --> 00:04:00.480]  then she took out and gave her what was left over
[00:04:00.480 --> 00:04:04.400]  after she herself had been satisfied
[00:04:04.400 --> 00:04:06.760]  her mother-in-law said to her
[00:04:06.760 --> 00:04:08.840]  where did you glean today?
[00:04:08.840 --> 00:04:10.880]  and where have you worked?
[00:04:10.880 --> 00:04:14.440]  Blessed be the man who took notice of you
[00:04:14.440 --> 00:04:17.000]  So she told her mother-in-law
[00:04:17.000 --> 00:04:19.240]  with whom she had worked it
[00:04:19.240 --> 00:04:20.760]  and said
[00:04:20.760 --> 00:04:25.080]  the name of the man was whom I worked today is Boaz
[00:04:25.080 --> 00:04:29.360]  Then Naomi said to her daughter-in-law
[00:04:29.360 --> 00:04:32.160]  Blessed be he by the Lord
[00:04:32.160 --> 00:04:38.240]  whose kindness has not forsaken the living or the dead
[00:04:38.240 --> 00:04:41.040]  Naomi also said to her
[00:04:41.040 --> 00:04:43.640]  the man is a relative of ours
[00:04:43.640 --> 00:04:46.440]  one of our nearest kin
[00:04:46.440 --> 00:04:49.960]  Then Ruth the Moabite said
[00:04:49.960 --> 00:04:52.000]  He even said to me
[00:04:52.000 --> 00:04:54.800]  stay close by my servants
[00:04:54.800 --> 00:04:58.880]  until they have finished all my harvest
