
[00:00:00.000 --> 00:00:03.720]  頂姐妹今天又再封鎖
[00:00:03.720 --> 00:00:08.680]  感覺上今年全年都好像原地踏步那樣
[00:00:08.680 --> 00:00:10.360]  其實教會是一個群體
[00:00:10.360 --> 00:00:12.560]  經常都不可以聚會
[00:00:12.560 --> 00:00:15.200]  其實是影響很大的
[00:00:15.200 --> 00:00:18.580]  美南浸信會在去年一年
[00:00:18.580 --> 00:00:21.880]  流失了40萬的會眾
[00:00:21.880 --> 00:00:24.920]  可見那個嚴重的程度
[00:00:24.920 --> 00:00:27.980]  今天我們要思想、思圖、行轉
[00:00:27.980 --> 00:00:31.600]  當教會來到面對很大的困難的時候
[00:00:31.600 --> 00:00:36.800]  他們怎樣靠主仍然來兼顧呢?
[00:00:36.800 --> 00:00:40.560]  《少林寺傳》第三章第一節至到第十節
[00:00:40.560 --> 00:00:49.420]  這個剛剛是五旬節過了之後的神蹟
[00:00:49.420 --> 00:00:53.540]  那天三點鐘下午祈禱的時間
[00:00:53.540 --> 00:00:57.600]  彼得和約翰就去到聖殿去禱告
[00:00:57.600 --> 00:00:59.760]  去到尾門的時候
[00:00:59.760 --> 00:01:03.820]  這個尾門其實解經家都不知道是哪一道門
[00:01:03.820 --> 00:01:07.000]  相信是很多人經過的地方
[00:01:07.000 --> 00:01:11.520]  這個瘸腿的人天生就是瘸腿的
[00:01:11.520 --> 00:01:15.900]  被人抬來行乞其實很淒涼
[00:01:15.900 --> 00:01:22.240]  他希望進殿的人來給他施捨
[00:01:22.240 --> 00:01:27.580]  大家留意這段經文是有四個看見的
[00:01:27.580 --> 00:01:32.820]  第一個看見就是這個人看見彼得和約翰去聖殿
[00:01:32.820 --> 00:01:35.220]  求他們施捨
[00:01:35.220 --> 00:01:39.840]  第二個看見是彼得和約翰定睛去看他
[00:01:39.840 --> 00:01:42.200]  路加醫生用這個字
[00:01:42.200 --> 00:01:46.260]  定睛這個字其實在《少林寺傳》出現了七次
