
[00:00:00.000 --> 00:00:03.020]  大家好,轉眼又有一天
[00:00:03.020 --> 00:00:06.260]  又讀聖經,讀聖經真的不錯
[00:00:06.260 --> 00:00:09.060]  你的靈性會慢慢進步
[00:00:09.060 --> 00:00:12.060]  和神的關係漸漸變好
[00:00:12.060 --> 00:00:13.300]  你是不知道的
[00:00:13.300 --> 00:00:16.160]  生命樹和大家再看聖經人
[00:00:16.160 --> 00:00:19.000]  聖經時,最重要是在聖經裡面的神
[00:00:19.000 --> 00:00:23.300]  耶和華,請說,獨人敬聽
[00:00:23.300 --> 00:00:27.000]  耶和華,請說,獨人敬聽
[00:00:27.540 --> 00:00:30.000]  撒慕爾的上帝三章
[00:00:30.000 --> 00:00:32.740]  在這裡,聖經人物
[00:00:32.740 --> 00:00:35.620]  當然是撒慕爾
[00:00:35.620 --> 00:00:38.400]  和他的師父
[00:00:38.400 --> 00:00:41.300]  以利魯濟斯,要加個魯字
[00:00:41.300 --> 00:00:43.620]  因為以利已經很老了
[00:00:43.620 --> 00:00:46.160]  那就看看怎樣發生
[00:00:46.160 --> 00:00:48.800]  三章第一節
[00:00:48.800 --> 00:00:51.560]  童子撒慕爾
[00:00:51.560 --> 00:00:55.880]  在以利面前侍奉耶和華
[00:00:56.080 --> 00:00:58.540]  這一句話也挺感恩的
[00:00:58.540 --> 00:01:02.940]  童子撒慕爾在以利面前侍奉耶和華
[00:01:02.940 --> 00:01:05.660]  當那些日子
[00:01:05.660 --> 00:01:09.360]  耶和華的言語稀少
[00:01:09.360 --> 00:01:11.980]  不常有默示
[00:01:11.980 --> 00:01:14.540]  留意一下
[00:01:14.540 --> 00:01:19.140]  這一節聖經裡面有很豐富的信息含量
[00:01:19.140 --> 00:01:22.380]  不過在一次裡面不說這麼多
[00:01:22.940 --> 00:01:26.520]  撒慕爾還是小孩,拉瓦的時候
[00:01:26.520 --> 00:01:28.740]  拉瓦就是少年人,童子
[00:01:28.740 --> 00:01:31.640]  應該是小孩,童子就是少年都還沒到
[00:01:31.640 --> 00:01:32.980]  在我們來說
[00:01:32.980 --> 00:01:34.640]  以利亞很老了
[00:01:34.640 --> 00:01:37.300]  童子的時候
[00:01:37.300 --> 00:01:43.780]  從小就在魯濟斯以利的面前侍奉耶和華
[00:01:43.780 --> 00:01:45.220]  簡單說
[00:01:45.220 --> 00:01:50.560]  童子撒慕爾或者撒慕爾在孩童時代
[00:01:50.560 --> 00:01:53.040]  已經侍奉耶和華
[00:01:53.040 --> 00:01:56.780]  這是一個很大的福氣
[00:01:56.780 --> 00:01:59.660]  而他侍奉的時候
