
[00:00:00.000 --> 00:00:02.880]  我們回到剛才《沙漠遇記》上19章
[00:00:02.880 --> 00:00:03.880]  大家可不可以重溫一下
[00:00:03.880 --> 00:00:10.680]  剛才我們讀了
[00:00:10.680 --> 00:00:14.560]  或者整件事中焦點所在的其中一個環節
[00:00:14.560 --> 00:00:16.720]  18至24節
[00:00:16.720 --> 00:00:18.560]  我們繼續說之前
[00:00:18.560 --> 00:00:20.320]  我想大家留意一些事情
[00:00:20.320 --> 00:00:23.680]  或者回到一些聖經背景的小常識
[00:00:23.680 --> 00:00:26.800]  這裡說到素羅和大衛
[00:00:26.800 --> 00:00:28.400]  他們兩個人有什麼關係
[00:00:30.960 --> 00:00:33.280]  素羅是大衛的誰呢?
[00:00:33.280 --> 00:00:35.160]  聽不到
[00:00:35.160 --> 00:00:38.720]  岳父
[00:00:38.720 --> 00:00:40.400]  OK,他們兩個都是王
[00:00:40.400 --> 00:00:42.480]  素羅是以色列的第一個王
[00:00:42.480 --> 00:00:43.600]  然後是大衛
[00:00:43.600 --> 00:00:45.840]  素羅是他岳父
[00:00:45.840 --> 00:00:46.640]  OK,行不行?
[00:00:46.640 --> 00:00:47.520]  但是呢
[00:00:47.520 --> 00:00:48.720]  如果你回到第19章
[00:00:48.720 --> 00:00:49.920]  你會發現這件事情就是
[00:00:49.920 --> 00:00:50.720]  咦?
[00:00:50.720 --> 00:00:54.640]  女婿和岳父之間的關係好不好?
[00:00:54.640 --> 00:00:56.880]  當然不僅不好
[00:00:56.880 --> 00:00:57.760]  因為實際上
[00:00:57.760 --> 00:00:59.760]  素羅正在做一件事
[00:00:59.760 --> 00:01:00.720]  是要怎樣對待大衛?
[00:01:00.720 --> 00:01:02.720]  追殺他
[00:01:02.720 --> 00:01:04.640]  是要追殺他的
[00:01:04.640 --> 00:01:08.000]  素羅作為岳父是要追殺他的
[00:01:08.000 --> 00:01:08.960]  OK,行不行?
[00:01:08.960 --> 00:01:10.480]  當然如果你看回聖經背景
[00:01:10.480 --> 00:01:12.800]  這段故事是很長的
[00:01:12.800 --> 00:01:14.560]  在《十務二記》
[00:01:14.560 --> 00:01:16.000]  起碼第十章
[00:01:16.000 --> 00:01:16.800]  它說起
[00:01:16.800 --> 00:01:18.560]  已經有很多事情正在發生
[00:01:18.560 --> 00:01:22.560]  素羅正在追殺大衛
[00:01:22.560 --> 00:01:23.760]  到了第19章
[00:01:23.760 --> 00:01:24.800]  你會看到一件事情
[00:01:24.800 --> 00:01:25.840]  換言之
[00:01:25.840 --> 00:01:26.640]  叫女婿
[00:01:26.640 --> 00:01:28.480]  就是素羅的女兒嫁給了大衛
[00:01:28.480 --> 00:01:30.720]  所以在19章我們讀聖經之前那一段
[00:01:30.720 --> 00:01:32.480]  你只要看一看大約
[00:01:32.480 --> 00:01:33.920]  11節左右的時候
[00:01:33.920 --> 00:01:35.440]  當時已經動手了
[00:01:35.440 --> 00:01:36.480]  動手的時候
