
[00:00:00.000 --> 00:00:07.000]  福音書有四本,《馬太·馬可·魯加》(Matthew, Mark, Luke)
[00:00:07.000 --> 00:00:11.000]  這三本叫做《Synoptic》,叫做「符類」的福音。
[00:00:11.000 --> 00:00:18.000]  還有《約翰》的福音。
[00:00:18.000 --> 00:00:20.000]  今日讀那一段。
[00:00:20.000 --> 00:00:26.000]  四本福音書是關乎耶穌基督的一件事。
[00:00:29.000 --> 00:00:31.000]  但四本福音書都有些不同的。
[00:00:31.000 --> 00:00:37.000]  特別今日讀的那個叫做「寒色章」第一章。
[00:00:37.000 --> 00:00:41.000]  它講述耶穌的誕生。
[00:00:41.000 --> 00:00:49.000]  和《馬太·馬可·馬可·魯加》的福音,第一章那裡不同的。
[00:00:49.000 --> 00:00:55.000]  《馬太·馬可·馬可·魯加》又不同。
[00:00:57.000 --> 00:00:59.000]  《馬太》又講天使報夢。
[00:00:59.000 --> 00:01:07.000]  講三博士。
[00:01:07.000 --> 00:01:13.000]  《馬太·馬可·馬可·魯加》講馬槽放生鷹孩。
[00:01:13.000 --> 00:01:18.000]  《馬太·馬可·馬可·魯加》講人。
[00:01:18.000 --> 00:01:23.000]  《馬太·馬可·馬可·魯加》講太初領導。
[00:01:28.000 --> 00:01:29.000]  甚至在時間之潮。
[00:01:29.000 --> 00:01:37.000]  如何來到這個人生。
[00:01:37.000 --> 00:01:43.000]  還有《馬可》福音,它講耶穌基督的來源。
[00:01:43.000 --> 00:01:50.000]  好像我說耶穌福音的起源、起頭。
[00:01:54.000 --> 00:01:57.000]  因為《馬太》福音是用主耶穌受浸做開始的。
[00:01:57.000 --> 00:02:03.000]  如果將四本福經書放在一起看。
[00:02:03.000 --> 00:02:07.000]  你見到一件事情。
[00:02:07.000 --> 00:02:10.000]  可以叫道成肉身。
[00:02:10.000 --> 00:02:15.000]  你忘記了馬槽也好。
[00:02:15.000 --> 00:02:22.000]  你認為那些三博士是何時來見耶穌的也好。
[00:02:25.000 --> 00:02:32.000]  但是你一定要知道,耶穌是神的道,成肉身,是在我們當中。
[00:02:32.000 --> 00:02:41.000]  耶穌受浸過。
