
[00:00:00.000 --> 00:00:03.300]  迪生姊妹,現在是信息分享的時間
[00:00:03.300 --> 00:00:10.400]  今天和大家看馬太福音十一章二十八到三十節
[00:00:10.400 --> 00:00:14.500]  主題是負惡卻安息
[00:00:14.500 --> 00:00:18.400]  談到惡字,你有什麼聯想呢?
[00:00:18.400 --> 00:00:21.000]  腦海出現什麼圖像?
[00:00:21.000 --> 00:00:24.600]  可能你像我一樣是一個城市人
[00:00:24.600 --> 00:00:26.800]  如果是這樣的話
[00:00:26.800 --> 00:00:31.800]  現在應該我猜大概腦海一片空白,對不對?
[00:00:31.800 --> 00:00:35.600]  但我曾經在農村教會就問過弟兄姊妹
[00:00:35.600 --> 00:00:36.500]  惡是什麼?
[00:00:36.500 --> 00:00:38.400]  他們覺得很驚訝
[00:00:38.400 --> 00:00:41.100]  驚訝是我居然問這個問題
[00:00:41.100 --> 00:00:44.800]  不是人人都懂嗎?
[00:00:44.800 --> 00:00:50.000]  惡其實就是一個木框或者是一條木架子
[00:00:50.000 --> 00:00:53.500]  套住通常是兩條傷口
[00:00:53.500 --> 00:00:56.700]  把它們綁在一起方便拖拉重物
[00:00:56.700 --> 00:01:00.000]  就後面拖拉或者拉車或者是種地等等
[00:01:00.000 --> 00:01:02.300]  這叫惡
[00:01:02.300 --> 00:01:03.800]  其實呢
[00:01:03.800 --> 00:01:07.100]  惡也可以放在一個人的脖子上
[00:01:07.100 --> 00:01:11.700]  方便平衡兩肩膀的用來負重的
[00:01:11.700 --> 00:01:15.500]  就方便拖拉重物或者自己呢
[00:01:15.500 --> 00:01:17.100]  被拖拉到別的地方
[00:01:17.100 --> 00:01:20.900]  所以你想這樣裝上惡的人呢
[00:01:20.900 --> 00:01:24.800]  一般多半是奴隸或者是戰敗
[00:01:24.800 --> 00:01:29.000]  就是打仗時候戰敗國的一些俘虜
[00:01:29.000 --> 00:01:31.700]  這是惡的基本意義
[00:01:31.700 --> 00:01:33.100]  隱身來說
[00:01:33.100 --> 00:01:35.500]  你想到這麼一個惡
[00:01:35.500 --> 00:01:38.100]  就代表着約束掌控
[00:01:38.100 --> 00:01:42.900]  也代表着跟着拖拉重物就代表着那個勞苦
[00:01:42.900 --> 00:01:43.900]  談完惡
[00:01:43.900 --> 00:01:45.100]  我又問大家
[00:01:45.100 --> 00:01:48.000]  如果想到安息
[00:01:48.000 --> 00:01:50.600]  你會想到什麼呢?
[00:01:50.600 --> 00:01:54.900]  香港人多半包括我自己肯定馬上想到這種畫面
[00:01:54.900 --> 00:01:58.900]  就是在殯儀館的靈堂的恆兒
[00:01:58.900 --> 00:02:01.800]  我們一般想到安息
[00:02:01.800 --> 00:02:04.000]  就會想到失去世上的勞苦
[00:02:04.000 --> 00:02:05.800]  回到天家
[00:02:05.800 --> 00:02:08.900]  其實安息希臘文的原意呢
[00:02:08.900 --> 00:02:13.200]  是休息放鬆舒暢的意思
[00:02:13.200 --> 00:02:17.900]  我做一個這個很舒暢的動作
[00:02:17.900 --> 00:02:20.800]  不知道你的動作如果想到安息
[00:02:20.800 --> 00:02:22.900]  是我跟我一樣
[00:02:22.900 --> 00:02:25.400]  但是我這麼做一個動作
[00:02:25.400 --> 00:02:28.900]  你可能就會馬上發現有點不對勁
[00:02:28.900 --> 00:02:32.300]  負惡就是掌控被疏忽
[00:02:32.300 --> 00:02:35.800]  然後去幹活幹粗活
[00:02:35.800 --> 00:02:39.800]  那麼怎麼又說惡是代表着一種一種安息
[00:02:39.800 --> 00:02:41.300]  一種舒暢呢
[00:02:41.300 --> 00:02:44.600]  這就是耶穌講話有趣的地方
[00:02:44.600 --> 00:02:46.900]  他常常講話都是這樣弔詭
[00:02:46.900 --> 00:02:50.500]  我們說要的就是要抓住我們的注意力
[00:02:50.500 --> 00:02:54.900]  我們覺得奇怪就會去思考
[00:02:54.900 --> 00:02:59.100]  可能你都期待我們馬上就去看經文
[00:02:59.100 --> 00:03:02.000]  可是慢着我們在明白
[00:03:02.000 --> 00:03:04.200]  要明白耶穌在馬太福音
[00:03:04.200 --> 00:03:07.200]  談到惡與安息的關係的時候
