
[00:00:00.000 --> 00:00:03.000]  福等前輩,讓我們在聆聽主導而生而為一齊
[00:00:03.000 --> 00:00:07.000]  再次低頭同心禱告養望愛主,愛你神
[00:00:07.000 --> 00:00:14.000]  父神多謝你,讓我們能夠再次打開你的啟示
[00:00:14.000 --> 00:00:18.000]  讓我們在當中去明白上主你怎樣積著
[00:00:18.000 --> 00:00:25.000]  但以你來去引導你的僕人彌布教尼撒王
[00:00:25.000 --> 00:00:28.000]  一步一步越來越靠近你
[00:00:28.000 --> 00:00:30.000]  讓你作為信徒的
[00:00:30.000 --> 00:00:33.000]  特別在今天這個時代的當中
[00:00:33.000 --> 00:00:39.000]  藉此也學習怎樣去面對一個這樣的角色
[00:00:39.000 --> 00:00:44.000]  為上上將全福音掛在口邊
[00:00:44.000 --> 00:00:50.000]  究竟福音怎樣真正能夠去到人的生命裡面
[00:00:50.000 --> 00:00:55.000]  能夠去將上帝你要請的那個人更新過來
[00:00:55.000 --> 00:00:59.000]  我們為此祈求主你透過這段聖經
[00:00:59.000 --> 00:01:02.000]  給我們一個更精準的學習
[00:01:02.000 --> 00:01:06.000]  求你的帶領無論先上先下
[00:01:06.000 --> 00:01:10.000]  聽的講的都同盟主你的隱福
[00:01:10.000 --> 00:01:14.000]  禱告奉靠主耶穌基督得聖名自求
[00:01:14.000 --> 00:01:15.000]  阿們
[00:01:22.000 --> 00:01:28.000]  當一個人處於人生的如日方中的時候
[00:01:28.000 --> 00:01:34.000]  不知你對未來還會有什麼想法呢
[00:01:34.000 --> 00:01:38.000]  倘若你在一個這樣的情況之下
[00:01:38.000 --> 00:01:44.000]  有一個人來告訴你
[00:01:44.000 --> 00:01:49.000]  說你將會逐漸步入一個墮落的階段
[00:01:49.000 --> 00:01:53.000]  甚至全盤會失去的話
[00:01:53.000 --> 00:01:58.000]  你的發展前途已經到了盡頭了
[00:01:58.000 --> 00:02:03.000]  你又會有什麼回應呢
[00:02:03.000 --> 00:02:06.000]  尤其是在這樣的情況之下
[00:02:06.000 --> 00:02:09.000]  當你知道自己的盡頭已經到了
[00:02:09.000 --> 00:02:11.000]  而這個傳遞這個信息
[00:02:11.000 --> 00:02:14.000]  或者告訴你這個人
[00:02:14.000 --> 00:02:19.000]  將這樣的惡信帶到你身邊的時候
[00:02:19.000 --> 00:02:22.000]  你對他的態度又會怎樣呢
[00:02:22.000 --> 00:02:26.000]  你會恨之於入骨
[00:02:26.000 --> 00:02:32.000]  還是你嘗試去聽他所講的東西
[00:02:32.000 --> 00:02:34.000]  看看還有什麼地方
[00:02:34.000 --> 00:02:37.000]  你可以去實施實行的呢
[00:02:37.000 --> 00:02:39.000]  這個就是今天我們一起去看
[00:02:39.000 --> 00:02:44.000]  《彈耳你書》第二章從第36節的下半節
[00:02:44.000 --> 00:02:46.000]  至第45節裡面
[00:02:46.000 --> 00:02:49.000]  我們要去學習的一個題目
[00:02:49.000 --> 00:02:51.000]  我相信這個題目
[00:02:51.000 --> 00:02:53.000]  也在這個時代裡面
[00:02:53.000 --> 00:02:55.000]  甚至在你的生活當中
[00:02:55.000 --> 00:02:57.000]  在你的工作場所裡面
[00:02:57.000 --> 00:02:59.000]  都可能用得到的
[00:02:59.000 --> 00:03:01.000]  特別是我們看到現在這個世界
[00:03:01.000 --> 00:03:07.000]  逐漸走入到一個經濟衰退的步伐
[00:03:07.000 --> 00:03:12.000]  減薪、裁員、公司倒閉
[00:03:12.000 --> 00:03:14.000]  已經是一路一路地
[00:03:14.000 --> 00:03:18.000]  一浪接一浪地流傳在這個世界裡面
[00:03:18.000 --> 00:03:23.000]  傳在我們的社群之間
[00:03:23.000 --> 00:03:26.000]  我們不需要很大的能耐
[00:03:26.000 --> 00:03:28.000]  已經可以預知到這個世界
[00:03:28.000 --> 00:03:32.000]  將來會有一個怎樣類似的發展
[00:03:32.000 --> 00:03:37.000]  但是如果你就是那個知道這個事實的人
[00:03:37.000 --> 00:03:38.000]  特別在你公司裡面
[00:03:38.000 --> 00:03:44.000]  你知道你在服務的這間公司
[00:03:44.000 --> 00:03:49.000]  它走入這個破產甚至倒閉的邊緣的時候
[00:03:49.000 --> 00:03:56.000]  你會怎樣去向你公司的位高權重的人
[00:03:56.000 --> 00:04:00.000]  去傳達這個信息呢
[00:04:00.000 --> 00:04:02.000]  最近我想大家最喜歡的
[00:04:02.000 --> 00:04:04.000]  就是去探訪的一間公司
[00:04:04.000 --> 00:04:06.000]  就叫做「黑心碑」
[00:04:06.000 --> 00:04:11.000]  很多東西因為倒閉都便宜了
[00:04:11.000 --> 00:04:13.000]  我原本都走了去
[00:04:13.000 --> 00:04:15.000]  看見有幾張椅子的
[00:04:15.000 --> 00:04:16.000]  我家裡有幾張椅子破了
[00:04:16.000 --> 00:04:19.000]  所以打算去看看有沒有椅子賣
[00:04:19.000 --> 00:04:22.000]  哇!不去就為了事可
[00:04:22.000 --> 00:04:25.000]  一去見到那些人惡形惡相的
[00:04:25.000 --> 00:04:27.000]  我見到一張椅子
[00:04:27.000 --> 00:04:28.000]  我準備想買
[00:04:28.000 --> 00:04:31.000]  誰知道那個人立刻從老遠跳出來
[00:04:31.000 --> 00:04:32.000]  罵了我一頓
[00:04:32.000 --> 00:04:33.000]  不讓我買
[00:04:33.000 --> 00:04:35.000]  因為他說那張椅子是他的
[00:04:35.000 --> 00:04:38.000]  不過我懶得跟別人吵
[00:04:38.000 --> 00:04:40.000]  就是為了那張椅子
[00:04:40.000 --> 00:04:41.000]  就給他
[00:04:41.000 --> 00:04:44.000]  他真是很惡
[00:04:44.000 --> 00:04:47.000]  這個世界的人走向這樣的局面
[00:04:47.000 --> 00:04:49.000]  我就算想買一張椅子
[00:04:49.000 --> 00:04:50.000]  都有這樣的情況
[00:04:50.000 --> 00:04:53.000]  經濟走到這樣的地步
[00:04:53.000 --> 00:04:57.000]  等於直接會對你有影響
[00:04:57.000 --> 00:04:59.000]  如果你在那個位份
[00:04:59.000 --> 00:05:01.000]  要去進行一些決策性的事情
[00:05:01.000 --> 00:05:03.000]  甚至報告消息的時候
[00:05:03.000 --> 00:05:05.000]  你會怎樣去處理呢
[00:05:05.000 --> 00:05:06.000]  所以今天
[00:05:06.000 --> 00:05:09.000]  我們講到的題目叫做
[00:05:09.000 --> 00:05:12.000]  如何處理惡信
[00:05:12.000 --> 00:05:14.000]  將會透過這段聖經
[00:05:14.000 --> 00:05:16.000]  一起去看一下
[00:05:16.000 --> 00:05:18.000]  無論你是那個
[00:05:18.000 --> 00:05:21.000]  將要傳這個惡信的人
[00:05:21.000 --> 00:05:24.000]  或者你是那個會收聽
[00:05:24.000 --> 00:05:26.000]  接收這個惡信的人
[00:05:26.000 --> 00:05:28.000]  你是怎樣去參與
[00:05:28.000 --> 00:05:30.000]  在上帝設計的
[00:05:30.000 --> 00:05:32.000]  在這個時代的裏面
[00:05:32.000 --> 00:05:33.000]  而我們希望
[00:05:33.000 --> 00:05:34.000]  透過彈耳利
