
[00:00:00.000 --> 00:00:02.400]  上星期我們說過殺種的比喻
[00:00:02.400 --> 00:00:06.120]  種子是神的道
[00:00:06.120 --> 00:00:08.360]  我們說土壤代表甚麼?
[00:00:08.360 --> 00:00:11.320]  是我們的心 我們的心沒有預備
[00:00:11.320 --> 00:00:15.280]  所以我們說我們的心要預備成為一個好的土壤
[00:00:15.280 --> 00:00:22.000]  以致種子掉落時便會生長
[00:00:22.000 --> 00:00:25.440]  這個土壤如何證明是好的呢?
[00:00:25.440 --> 00:00:28.800]  我不會在此解釋 上星期已經解釋了
[00:00:28.800 --> 00:00:32.720]  如果你聽少於三分鐘 你可能會忘記
[00:00:32.720 --> 00:00:35.720]  那就沒有辦法了
[00:00:35.720 --> 00:00:40.080]  我今次是說道如何結出果子
[00:00:40.080 --> 00:00:42.840]  這是下集來的 上集已經說了
[00:00:42.840 --> 00:00:44.080]  今次說下集
[00:00:44.080 --> 00:00:47.600]  下集其實少說了很多經文 如果你有留意
[00:00:47.600 --> 00:00:51.360]  只有幾節 《打國書》的一章二十二至二十七節
[00:00:51.360 --> 00:00:53.720]  我們不如一起讀一次可以嗎?
[00:00:53.720 --> 00:00:56.360]  我們用廣東話讀可以大聲一點
[00:00:56.360 --> 00:01:01.000]  我們真的很累 剛才唱一首歌很辛苦
[00:01:01.000 --> 00:01:04.000]  你看人家那個撐不住的站在那裡唱到死
[00:01:04.000 --> 00:01:06.560]  你真的要精神一點
[00:01:06.560 --> 00:01:08.880]  好 我們一起大聲讀這段經文
[00:01:08.880 --> 00:01:12.400]  是《打國書》的一章二十二節 讀到二十五節
[00:01:12.400 --> 00:01:13.520]  一二三
[00:01:13.520 --> 00:01:17.560]  但是你們要行道 不要單單聽道
[00:01:17.560 --> 00:01:19.560]  自己欺騙自己
[00:01:19.560 --> 00:01:22.520]  因為人若聽道而不行道
[00:01:22.520 --> 00:01:27.360]  就將人對著鏡子察看自己天生的容貌
[00:01:27.360 --> 00:01:30.600]  他把自己察看一番後走開
[00:01:30.600 --> 00:01:34.480]  立刻忘掉了自己是怎麼樣子
[00:01:34.480 --> 00:01:40.520]  相反人詳細察看那完全的使人自由的律法
[00:01:40.520 --> 00:01:42.960]  而且常常都是這樣
[00:01:42.960 --> 00:01:45.200]  不是聽過就忘掉
[00:01:45.200 --> 00:01:47.280]  而是身體力行
[00:01:47.280 --> 00:01:53.920]  這樣的人在他所行的事上仍無福
[00:01:53.920 --> 00:01:56.760]  有沒有人今天沒有照鏡的?
[00:01:56.760 --> 00:01:58.440]  每個人都有照鏡是不是?
[00:01:58.440 --> 00:02:02.240]  好 我想問你對上一次照鏡是什麼時候?
[00:02:02.240 --> 00:02:03.880]  問個男生
[00:02:03.880 --> 00:02:08.000]  上一次對照鏡是什麼時候?
[00:02:08.000 --> 00:02:12.120]  三四個小時前 有沒有人是比三四個小時少的?
[00:02:12.120 --> 00:02:13.600]  這麼少?
[00:02:13.600 --> 00:02:15.360]  舉高一點
[00:02:15.360 --> 00:02:19.640]  好 你對上一次是什麼時候?
[00:02:19.640 --> 00:02:22.600]  大部分崇拜前照一照自己
[00:02:22.600 --> 00:02:25.840]  特別要出來見大家
[00:02:25.840 --> 00:02:27.360]  照一照自己
[00:02:27.360 --> 00:02:29.720]  我想問剛剛照完的人
[00:02:29.720 --> 00:02:33.320]  你認不認得 記不記得你的樣子是怎樣的?
[00:02:33.320 --> 00:02:35.160]  記得的 是不是?
[00:02:35.160 --> 00:02:36.240]  記得的
[00:02:36.240 --> 00:02:40.800]  有沒有人今早照完之後就已經沒有再照?
[00:02:40.800 --> 00:02:41.920]  都有
[00:02:41.920 --> 00:02:45.040]  你記不記得你的樣子?
[00:02:45.040 --> 00:02:45.880]  記不記得?
[00:02:45.880 --> 00:02:48.320]  已經動搖了
[00:02:48.320 --> 00:02:51.000]  只是不夠二十四小時已經動搖了
[00:02:51.000 --> 00:02:53.000]  我們說
[00:02:53.000 --> 00:02:55.560]  如果我們選擇聽到而不去實踐
[00:02:55.560 --> 00:02:57.280]  就像我們大部分人一樣
[00:02:57.280 --> 00:02:59.280]  我不是 我也是 有時候
[00:02:59.280 --> 00:03:01.080]  我們聽到而不去實踐
[00:03:01.080 --> 00:03:02.160]  阿哥怎樣形容他呢?
[00:03:02.160 --> 00:03:04.680]  就是照完鏡之後就離開了
[00:03:04.680 --> 00:03:06.920]  忘記自己的樣子是怎樣的
[00:03:06.920 --> 00:03:10.000]  二十二節這裡說你們要行動
[00:03:10.000 --> 00:03:11.600]  不要單單聽到
[00:03:11.600 --> 00:03:16.480]  「但是你們要行動」這個「要」是一個命令
[00:03:16.480 --> 00:03:18.480]  不是可以選擇的
[00:03:18.480 --> 00:03:20.240]  現在重振自由你可以選擇
[00:03:20.240 --> 00:03:22.280]  這個不能選擇的 是一個命令
[00:03:22.280 --> 00:03:24.520]  還不是說我今次聽完之後
[00:03:24.520 --> 00:03:26.240]  Pastor Phoebe都說OK
[00:03:26.240 --> 00:03:28.480]  那我就聽一聽 做一個星期
[00:03:28.480 --> 00:03:30.280]  下個星期Pastor Jim說
[00:03:30.280 --> 00:03:32.200]  OK 都做吧
[00:03:32.200 --> 00:03:34.920]  給點面子他吧
[00:03:34.920 --> 00:03:37.480]  但是說完之後我不認識的
[00:03:37.480 --> 00:03:39.280]  聽完就覺得不錯 不悶的
[00:03:39.280 --> 00:03:41.760]  不過沒有跟著做的話 他不是這個意思
[00:03:41.760 --> 00:03:43.840]  他說你要持續去做
[00:03:43.840 --> 00:03:45.240]  你聽完就去做
[00:03:45.240 --> 00:03:47.040]  不停地去聽 不停地去做
[00:03:47.040 --> 00:03:49.440]  是一個持續性的
[00:03:49.440 --> 00:03:51.360]  如果你看二十三至二十五節
[00:03:51.360 --> 00:03:53.600]  你會看到有三個察漢
[00:03:53.600 --> 00:03:54.880]  乘了三
[00:03:54.880 --> 00:03:57.840]  這三個察漢都好像同一樣是察漢這個字
[00:03:57.840 --> 00:04:00.480]  但如果你看《和合本》的修訂版
[00:04:00.480 --> 00:04:03.160]  二十三節的察漢其實是觀漢
[00:04:03.160 --> 00:04:04.560]  即是看一看
[00:04:04.560 --> 00:04:07.680]  先看一看 觀漢
[00:04:07.680 --> 00:04:10.920]  第二個察漢只是用了注釋
[00:04:10.920 --> 00:04:11.920]  即是留心地看
[00:04:11.920 --> 00:04:14.200]  我有著班
[00:04:14.200 --> 00:04:16.000]  你有著班
[00:04:16.000 --> 00:04:17.200]  我有著班
[00:04:17.200 --> 00:04:18.600]  留心地看 注釋
[00:04:18.600 --> 00:04:19.880]  我有著班
[00:04:19.880 --> 00:04:21.280]  那怎麼辦呢
[00:04:21.280 --> 00:04:23.840]  即是留心看每一個細節
[00:04:23.840 --> 00:04:26.120]  然後第三個察漢
[00:04:26.120 --> 00:04:27.840]  他用了查漢
[00:04:27.840 --> 00:04:29.880]  查漢即是會研究
[00:04:29.880 --> 00:04:30.920]  即是我看了著班之後
[00:04:30.920 --> 00:04:31.880]  我會查一查
