
[00:00:00.000 --> 00:00:07.560]  5月17日,在四川南涌有一批中學生穿著整齊的校服
[00:00:07.560 --> 00:00:14.880]  手握著板凳,由他們的老師帶領步行去兩公里以外的醫院
[00:00:14.880 --> 00:00:20.480]  跟他們的一位患了末期癌症的同學拍畢業照
[00:00:20.480 --> 00:00:27.640]  這位同學因為病情急展直下,沒有犯法拍畢業照
[00:00:27.640 --> 00:00:30.720]  情況實在令人遺憾
[00:00:30.720 --> 00:00:36.600]  所以大家決定他來不了,我們就一起去醫院跟他拍畢業照
[00:00:36.600 --> 00:00:45.040]  這一天,這位患病的同學戴著氧氣罩,穿著校服睡在病床上
[00:00:45.040 --> 00:00:49.400]  六位男同學將他的病床推到醫院的廣場
[00:00:49.400 --> 00:00:55.800]  其他同學已經列隊排好整個隊形去等候他
[00:00:55.800 --> 00:01:02.200]  並且將中間的位置留給這位同學
[00:01:02.200 --> 00:01:07.580]  其實那個時候,這班中學生很快就要面對中期考試
[00:01:07.580 --> 00:01:10.900]  可能大家都知道國內的考試是非常緊張的
[00:01:10.900 --> 00:01:14.480]  但是全班沒有一位同學缺席
[00:01:14.480 --> 00:01:16.800]  頑餅同學的爸爸很感動
[00:01:16.800 --> 00:01:23.200]  他說:同學並沒有遺忘遺棄我的兒子
[00:01:23.200 --> 00:01:26.640]  我非常感激他們
[00:01:26.640 --> 00:01:32.920]  第二天,這位患病的同學就很安詳地離開這個世界
[00:01:32.920 --> 00:01:38.300]  這班老師和同學的行動感動了無數的網民
[00:01:38.300 --> 00:01:40.600]  於是紛紛留言
[00:01:40.600 --> 00:01:46.760]  他說:友愛的同學、大愛的老師,一個都不能少
[00:01:46.760 --> 00:01:52.880]  當中有一個留言,他說:我看見人間有光
[00:01:52.880 --> 00:01:57.480]  這班老師和同學發光
[00:01:57.480 --> 00:02:02.160]  同樣,今天神也跟我們說
[00:02:02.160 --> 00:02:05.940]  從舊約聖經到新約聖經
[00:02:05.940 --> 00:02:10.040]  都在傳達一個神一直沒有改變的心意
[00:02:10.040 --> 00:02:16.440]  這個心意是神期望我們每一位都成為金燈台
[00:02:16.440 --> 00:02:19.760]  被主使用,去興起發光
[00:02:19.760 --> 00:02:24.620]  所以今天我嘗試用在三卷書裡
[00:02:24.620 --> 00:02:31.020]  包括啟示錄、出埃及記、撒加利亞書的幾段聖經
[00:02:31.020 --> 00:02:35.380]  一起回答有關金燈台的三個問題
[00:02:35.380 --> 00:02:39.220]  第一個問題,誰是金燈台呢?
[00:02:39.220 --> 00:02:42.280]  讓我們一起看啟示錄的一章二十節
[00:02:42.280 --> 00:02:44.340]  等一會我們一起讀,一二三
[00:02:44.340 --> 00:02:52.540]  論到你所看見在我右手中的七星和七個金燈台的奧秘
[00:02:52.540 --> 00:02:56.120]  那七星就是七個教會的使者
[00:02:56.120 --> 00:02:59.700]  七燈台就是七個教會
[00:02:59.700 --> 00:03:04.300]  啟示錄說金燈台代表教會,教會代表金燈台
[00:03:04.300 --> 00:03:09.180]  但問題是,為何用金燈台代表教會呢?
[00:03:09.180 --> 00:03:14.300]  或者我們要回到舊約聖經的出埃及記
[00:03:14.300 --> 00:03:17.120]  出埃及記裡大家都很熟悉
[00:03:17.120 --> 00:03:19.680]  摩西帶領以色列人離開埃及
[00:03:19.680 --> 00:03:23.000]  去到西賴山,他上山去見神的時候
[00:03:23.000 --> 00:03:26.840]  神吩咐摩西,你要建立會幕
[00:03:26.840 --> 00:03:29.920]  那問題就是為何要建立會幕呢?
[00:03:29.920 --> 00:03:32.980]  其實會幕是一個象徵,象徵甚麼?
[00:03:32.980 --> 00:03:38.100]  象徵神臨到我們當中與祂的子民同住
[00:03:38.100 --> 00:03:43.480]  臨到人間與祂的子民同住
