
[00:00:00.000 --> 00:00:02.000]  刺殺究竟是一回甚麼事呢?
[00:00:02.000 --> 00:00:06.000]  我們待會聽完之後
[00:00:06.000 --> 00:00:08.000]  求全幫助我們
[00:00:08.000 --> 00:00:11.000]  這是一個甚麼場景?
[00:00:11.000 --> 00:00:15.000]  如果在歷史上想起刺殺
[00:00:15.000 --> 00:00:17.000]  你會想起誰?
[00:00:17.000 --> 00:00:19.000]  想起哪個王?
[00:00:19.000 --> 00:00:23.000]  在秦朝的時候
[00:00:23.000 --> 00:00:25.000]  荊軛刺秦王
[00:00:25.000 --> 00:00:28.000]  有個成語叫做「圖窮避賢」
[00:00:28.000 --> 00:00:30.000]  「我送禮物給你」
[00:00:30.000 --> 00:00:34.000]  然後把刀藏在圖中
[00:00:34.000 --> 00:00:36.000]  然後一開了「圖窮避賢」
[00:00:36.000 --> 00:00:38.000]  就用刀刺秦王
[00:00:38.000 --> 00:00:44.000]  又或者我們在上個世紀
[00:00:44.000 --> 00:00:47.000]  在德國潘霍華
[00:00:47.000 --> 00:00:53.000]  當知道希特拉是一個這麼兇的領袖的時候
[00:00:53.000 --> 00:00:56.000]  就密謀去刺殺希特拉
[00:00:57.000 --> 00:00:59.000]  又或者在美國
[00:00:59.000 --> 00:01:04.000]  總統甘迺迪在德州被人刺殺
[00:01:04.000 --> 00:01:07.000]  所以在歷史裏面
[00:01:07.000 --> 00:01:12.000]  刺殺常常都在歷史的場景出現
[00:01:12.000 --> 00:01:14.000]  特別一些的領袖
[00:01:14.000 --> 00:01:18.000]  就很大的機會被人刺殺
[00:01:18.000 --> 00:01:20.000]  在這段聖經裏面
[00:01:20.000 --> 00:01:23.000]  當我們去看釋師記的時候
[00:01:23.000 --> 00:01:26.000]  聖經的場景在第三章開始
[00:01:26.000 --> 00:01:28.000]  其實就是在說
[00:01:28.000 --> 00:01:34.000]  當時為甚麼要留下一些國家
[00:01:34.000 --> 00:01:37.000]  要去考驗以色列人
[00:01:37.000 --> 00:01:41.000]  以色列人從來沒有經歷過
[00:01:41.000 --> 00:01:45.000]  有部份下一代沒有經歷過
[00:01:45.000 --> 00:01:48.000]  進入迦南打仗的日子
[00:01:48.000 --> 00:01:52.000]  就要以色列人的後代去認識戰爭
[00:01:52.000 --> 00:01:54.000]  教他們
[00:01:54.000 --> 00:01:58.000]  尤其是一些未認識這些事的人
[00:01:58.000 --> 00:02:01.000]  我想我們香港就很好
[00:02:01.000 --> 00:02:03.000]  我們不用打仗
[00:02:03.000 --> 00:02:05.000]  不用服兵役
[00:02:05.000 --> 00:02:08.000]  很多國家都要服兵役
[00:02:08.000 --> 00:02:13.000]  在以色列現在男男女女都要服兵役
[00:02:13.000 --> 00:02:15.000]  我們就不用
[00:02:15.000 --> 00:02:19.000]  但最主要當我們去看戰爭的時候
