
[00:00:00.000 --> 00:00:01.860]  提醒每組都要平安
[00:00:01.860 --> 00:00:05.520]  可能大家想起聖誕節 都一定想起平安
[00:00:05.520 --> 00:00:08.060]  以馬來里 未在乎的來臨
[00:00:08.060 --> 00:00:10.320]  今天最後的詩歌 全部都說平安
[00:00:10.320 --> 00:00:13.340]  非常正面 非常開心快樂
[00:00:13.340 --> 00:00:14.720]  是歡欣的訊息
[00:00:14.720 --> 00:00:18.240]  可惜過往這兩星期 大家的心情都很沉重
[00:00:18.240 --> 00:00:21.320]  無論是在香港 還是在Bondi Beach
[00:00:21.320 --> 00:00:23.640]  大家的心情都非常沉重
[00:00:23.640 --> 00:00:26.820]  那剎那 你心裏有沒有平安?
[00:00:26.820 --> 00:00:31.040]  那剎那 你心裏有沒有產生一種無形的恐懼?
[00:00:31.040 --> 00:00:34.260]  一種懼怕 好像殺到來了
[00:00:34.260 --> 00:00:36.520]  好像萬軍殺到來了
[00:00:36.520 --> 00:00:38.840]  連我們Bondi 今天可能很熱
[00:00:38.840 --> 00:00:40.680]  你平時都可能會去那裏
[00:00:40.680 --> 00:00:42.280]  或者你不去 你的子女都可能會去
[00:00:42.280 --> 00:00:43.300]  他們喜歡去沙灘
[00:00:43.300 --> 00:00:45.920]  我們年紀大就不會去沙灘
[00:00:45.920 --> 00:00:48.320]  但是今天你的子女都說要去Bondi
[00:00:48.320 --> 00:00:50.900]  你可能心裏馬上想
[00:00:50.900 --> 00:00:52.280]  兩星期前你不會這樣想
[00:00:52.280 --> 00:00:53.720]  今天你不能夠不想
[00:00:53.720 --> 00:00:56.560]  換句話說 恐怖這件事
[00:00:56.560 --> 00:00:57.920]  恐懼這件事
[00:00:57.920 --> 00:01:01.160]  已經淋到我們每個人當中
[00:01:01.160 --> 00:01:04.180]  從阿花到Nia都淋到我們當中
[00:01:04.180 --> 00:01:06.560]  但是微塞亞萊林的訊息
[00:01:06.560 --> 00:01:08.240]  耶穌基督降臨的訊息
[00:01:08.240 --> 00:01:10.080]  聖誕節的訊息對我們有什麼提醒?
[00:01:10.080 --> 00:01:11.700]  還有什麼要反思?
[00:01:11.700 --> 00:01:13.920]  二千年了 應該沒有什麼要反思的
[00:01:13.920 --> 00:01:16.560]  我今天想挑戰大家一個訊息
[00:01:16.560 --> 00:01:19.000]  微塞亞萊林 Messiah
[00:01:19.000 --> 00:01:20.760]  其實我們可能
[00:01:20.760 --> 00:01:23.400]  這麼久以來 我們的理解
[00:01:23.400 --> 00:01:26.440]  可能是片面了
[00:01:26.440 --> 00:01:29.200]  因為可以說 其實基督教信仰
[00:01:29.200 --> 00:01:32.160]  怕什麼 你是什麼答案?
[00:01:32.160 --> 00:01:34.720]  靠什麼 你是什麼答案?
[00:01:34.720 --> 00:01:36.880]  就可以定斷到
[00:01:36.880 --> 00:01:38.640]  究竟微塞亞的來臨
[00:01:38.640 --> 00:01:41.040]  對你是一個什麼意思?
[00:01:41.040 --> 00:01:43.160]  它再來臨 它歸回的時候
[00:01:43.160 --> 00:01:45.080]  它再第二次回來的時候
[00:01:45.080 --> 00:01:46.800]  對你又是什麼意思?
[00:01:46.800 --> 00:01:48.520]  為什麼我這樣說呢?
[00:01:48.520 --> 00:01:50.600]  因為時間關係
[00:01:50.600 --> 00:01:52.120]  我每次都淪落到最後
[00:01:52.120 --> 00:01:53.280]  你覺得 其實想說什麼
[00:01:53.280 --> 00:01:54.440]  現在完全到 說了這麼久
[00:01:54.440 --> 00:01:55.840]  因為你最後一直旁飛
[00:01:55.840 --> 00:01:57.120]  所以這次倒轉了
[00:01:57.120 --> 00:01:59.760]  我先說明題
[00:01:59.760 --> 00:02:03.080]  明題是什麼? 反思什麼呢?
[00:02:03.080 --> 00:02:04.160]  大膽地
