
[00:00:00.000 --> 00:00:03.280]  今天我們會看亞比斯的禱告
[00:00:03.280 --> 00:00:06.720]  經文來自歷代至上四章九至十節
[00:00:06.720 --> 00:00:09.880]  請聽我再一次讀出和收本的經文
[00:00:30.000 --> 00:00:33.360]  「上帝就應運他所求的」
[00:00:33.360 --> 00:00:37.280]  丁子妹,我想這一段經文大家也很熟悉
[00:00:37.280 --> 00:00:38.880]  熟悉的原因是甚麼呢?
[00:00:38.880 --> 00:00:42.240]  因為在差不多二十年前
[00:00:42.240 --> 00:00:44.720]  一位聖經學者叫做Bruce Wickinson
[00:00:44.720 --> 00:00:48.240]  他寫了一本叫做《亞比斯的禱告》的書
[00:00:48.240 --> 00:00:50.880]  如果你在網上留意一下
[00:00:50.880 --> 00:00:53.360]  這一段這麼短的經文
[00:00:53.360 --> 00:00:57.200]  基本上在很多講壇裏面
[00:00:57.200 --> 00:01:02.560]  在二千年前是完全沒有人講過的
[00:01:02.560 --> 00:01:04.000]  沒有人留意過的
[00:01:04.000 --> 00:01:08.720]  因為它是收在一個歷代至上的一段很短的
[00:01:08.720 --> 00:01:13.680]  《伊亂經文》收在歷代至上的一篇很長篇的
[00:01:13.680 --> 00:01:16.880]  十章的家譜裏面
[00:01:16.880 --> 00:01:18.320]  所以沒有人留意的
[00:01:18.320 --> 00:01:19.040]  大家都知道
[00:01:19.040 --> 00:01:20.480]  一讀到家譜
[00:01:20.480 --> 00:01:22.080]  每個人都會跳讀的
[00:01:22.080 --> 00:01:23.440]  不會有興趣的
[00:01:23.440 --> 00:01:26.560]  但是當Wickinson二千年寫這本書之後
[00:01:26.560 --> 00:01:30.560]  這本書就差不多賣到斷市了
[00:01:30.560 --> 00:01:34.960]  到現在為止已經賣了接近一千萬本
[00:01:34.960 --> 00:01:40.880]  成為當時New York Book List裏面最暢銷的書之一
[00:01:40.880 --> 00:01:42.960]  也拿了很多獎項
[00:01:42.960 --> 00:01:47.680]  但是這本書帶來的就是兩個不同的極端
[00:01:47.680 --> 00:01:51.360]  一些人一看這本書的時候就覺得
[00:01:51.360 --> 00:01:52.880]  這是成功神學
[00:01:52.880 --> 00:02:00.000]  因為Bruce Wickinson說他自己本身是鼓勵人們每天都去作禱告的
[00:02:00.000 --> 00:02:02.480]  有些人就罵他成功神學
[00:02:02.480 --> 00:02:05.280]  很多人也都誤用了這句禱告
[00:02:05.280 --> 00:02:11.040]  來作一個發達、成功等等的魔術棒
[00:02:11.040 --> 00:02:15.920]  也有些人就覺得這個禱告是能夠帶來祝福的
[00:02:15.920 --> 00:02:19.120]  所以很多人都有用來祈禱
[00:02:19.120 --> 00:02:21.600]  但是我們應該怎麼看這段經文呢?
[00:02:21.600 --> 00:02:23.840]  還有這本小小的書
[00:02:23.840 --> 00:02:25.280]  如果你真的有看過的話
[00:02:25.280 --> 00:02:29.440]  你也知道其實Bruce Wickinson說的是他個人的一個領袖
[00:02:29.440 --> 00:02:33.440]  在靈修裏面的一個領袖和他自己怎麼去看待這件事
[00:02:33.440 --> 00:02:37.120]  但是我們今天不是要和Bruce Wickinson翻案
[00:02:37.120 --> 00:02:39.920]  而是專心看看亞比斯的禱告
