
[00:00:00.000 --> 00:00:24.000]  現代社會有好多選擇,有人會選擇從一而終,有人會選擇未試過的事情。
[00:00:25.000 --> 00:00:39.000]  現代都需要我們作出好多抉擇,有人好勇敢作出他人生的抉擇。
[00:00:40.000 --> 00:00:51.000]  現代有個字眼叫做「選擇困難症」,即是猶豫不決。
[00:00:51.000 --> 00:01:05.000]  今日我們想從兩個聖經的人物去看他們怎樣選擇和決擇。
[00:01:06.000 --> 00:01:19.000]  阿巴蘭亦即是我們熟悉的阿巴拉罕,可以說阿巴拉罕是他後期晚年的另一個名字。
[00:01:20.000 --> 00:01:39.000]  我希望在未來的一、四年,除了因為節期以及一些特別,上帝感動我的訊息。
[00:01:40.000 --> 00:01:50.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:01:50.000 --> 00:02:01.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:02.000 --> 00:02:12.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:12.000 --> 00:02:23.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:24.000 --> 00:02:33.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:33.000 --> 00:02:44.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:45.000 --> 00:02:55.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:02:55.000 --> 00:03:06.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:03:07.000 --> 00:03:17.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:03:17.000 --> 00:03:28.000]  我希望在未來的一、四年,除了因為特別,上帝感動我的訊息。
[00:03:29.000 --> 00:03:39.000]  第十三章,和上文夏利有一個很有趣的配搭。
[00:03:39.000 --> 00:03:53.000]  當他在埃及講完這個大話,上帝又很恩待他,幫他化險為夷。
[00:03:54.000 --> 00:04:05.000]  於是第十三章第一節就說,他們又回到他們原本的地方。
[00:04:05.000 --> 00:04:10.000]  但是十三章第二節怎麼說呢?
[00:04:10.000 --> 00:04:17.000]  講完這個大話,他們多了錢。
[00:04:18.000 --> 00:04:30.000]  當然他們多了金、銀、生畜的原因,不是因為老婆其實是我妹啦。
[00:04:30.000 --> 00:04:42.000]  經文其實沒有很清楚交代,阿巴拉罕為什麼會富有了。
[00:04:43.000 --> 00:04:55.000]  如果你有機會做一些歸納的研究,你會知道阿巴拉罕一生人是越來越有錢。
[00:04:55.000 --> 00:05:04.000]  在遊牧民族來說,他是一個異類。
[00:05:05.000 --> 00:05:15.000]  牧羊而已,生畜多已經很厲害了,經文卻說他金文多。
[00:05:15.000 --> 00:05:26.000]  錢多就多煩惱,如果你的身家有一千萬,
[00:05:26.000 --> 00:05:34.000]  我相信你的電話很繁忙,可能你的財務系統知道你有這麼多的資金,
[00:05:35.000 --> 00:05:43.000]  你要不要投資呀?
[00:05:43.000 --> 00:05:51.000]  牧師已經把房子售出一段時間了,
[00:05:51.000 --> 00:05:58.000]  香港的地產界仍然對我非常關懷,
[00:05:59.000 --> 00:06:07.000]  是時候買回房子了,有時又會有電話來,
[00:06:07.000 --> 00:06:11.000]  你有沒有其他房子呀?
[00:06:11.000 --> 00:06:16.000]  總之就希望你買了。
[00:06:16.000 --> 00:06:25.000]  我相信阿巴拉罕錢多了也有他的煩惱,
[00:06:26.000 --> 00:06:30.000]  當他的財產多了的時候,
[00:06:30.000 --> 00:06:36.000]  第五至第七節就看到問題出現了,
[00:06:36.000 --> 00:06:41.000]  在裡面提到第二個人物叫羅德,
