
[00:00:00.000 --> 00:00:05.080]  在很多的時間,我們對於解釋或解讀聖經
[00:00:05.080 --> 00:00:10.620]  都很容易跌入一種叫做「偏言積語」的做法
[00:00:10.620 --> 00:00:14.080]  這種情況,特別在教會裏面
[00:00:14.080 --> 00:00:18.280]  以「念金句」這個做法
[00:00:18.280 --> 00:00:23.240]  更加加速了這個問題的嚴重性
[00:00:23.240 --> 00:00:27.280]  其實我在這裏不是說背誦聖經不對
[00:00:27.280 --> 00:00:33.880]  而是很多時候我們只是缺乏上文下理的理解的話
[00:00:33.880 --> 00:00:38.800]  我們對於那段聖經就會有一種很扭曲的思想
[00:00:38.800 --> 00:00:44.520]  今天我們所看的這段聖經其實就是一個最好的例子
[00:00:44.520 --> 00:00:49.920]  它印證了很多時候我們以個人主觀的願望去解釋聖經
[00:00:49.920 --> 00:00:54.720]  而導致錯誤理解這段聖經的主旨
[00:00:54.720 --> 00:00:58.520]  剛剛梓梅已經幫我們讀出這段聖經
[00:00:58.520 --> 00:01:02.680]  很多時候這段聖經用了甚麼解讀方法呢?
[00:01:02.680 --> 00:01:09.520]  就是說利布加利薩王其實是一個很兇殘的君王
[00:01:09.520 --> 00:01:12.920]  所以在新巴比倫世界裏面
[00:01:12.920 --> 00:01:16.480]  無論甚麼人都受到高壓的管治
[00:01:16.480 --> 00:01:20.840]  實際上是否真的這樣呢?
[00:01:20.840 --> 00:01:22.480]  沒有人去考究的
[00:01:22.480 --> 00:01:25.480]  另外這段聖經比較常用的就是
[00:01:25.480 --> 00:01:27.600]  從淑靈的角度就說到
[00:01:27.600 --> 00:01:34.000]  說是上帝怎樣去看顧保守他的信徒
[00:01:34.000 --> 00:01:40.760]  尤其是當他們遇見一些困難、挑戰、苦難、逼迫的時候
[00:01:40.760 --> 00:01:42.840]  這段聖經就用來去鼓勵信徒
[00:01:42.840 --> 00:01:43.600]  不用怕的
[00:01:43.600 --> 00:01:48.080]  上帝一定會保守你脫離兇惡
[00:01:48.080 --> 00:01:53.120]  這種說法又是不是這段聖經的解釋呢?
[00:01:53.120 --> 00:01:54.520]  剛剛我以上所看的
[00:01:54.520 --> 00:01:58.600]  這些全部是我們很喜歡的主觀願望的解釋聖經
[00:01:58.600 --> 00:02:00.880]  甚至有很多人認為解釋聖經
[00:02:00.880 --> 00:02:02.560]  去相信一個上帝
[00:02:02.560 --> 00:02:07.360]  其實都是無非為了要他幫助我消災解難
[00:02:07.360 --> 00:02:10.440]  這個正正就是我們去解釋聖經的時候
[00:02:10.440 --> 00:02:13.760]  錯誤而帶到的一個錯誤的神學
[00:02:13.760 --> 00:02:16.120]  如果調轉回一句說話來看
[00:02:16.120 --> 00:02:19.200]  如果上帝是命定我們要去受苦的
[00:02:19.200 --> 00:02:22.800]  好像正如《帖撒羅尼加前書》裡面所說
[00:02:22.800 --> 00:02:25.120]  信徒是命定受苦的時候
[00:02:25.120 --> 00:02:28.880]  而那些苦難真的臨到我們身上
[00:02:28.880 --> 00:02:31.360]  上帝有沒有去解決呢?
[00:02:31.360 --> 00:02:35.520]  那不就是上帝不靈嗎?
[00:02:35.520 --> 00:02:37.760]  所以解釋聖經
[00:02:37.760 --> 00:02:42.240]  一個神學不是單憑一段聖經零空的解釋
[00:02:42.240 --> 00:02:44.720]  而去滿足個人的願望
[00:02:44.720 --> 00:02:48.600]  是整個聖經的神學彼此互為去牽制
[00:02:48.600 --> 00:02:51.480]  以及互相去解釋、詮釋
[00:02:51.480 --> 00:02:53.280]  這樣的神學才是完備的
[00:02:53.280 --> 00:02:56.080]  所以今天我們去看看這段聖經的時候
[00:02:56.080 --> 00:03:00.040]  我們去嘗試找回這段聖經的主旨是什麼
[00:03:00.040 --> 00:03:04.880]  並且透過這段聖經所帶來的教訓
[00:03:04.880 --> 00:03:10.240]  讓我們成為我們真正去實踐聖經的一個
[00:03:10.240 --> 00:03:12.720]  很重要的原則
[00:03:12.720 --> 00:03:15.080]  所以今天我給了這個講道的題目
[00:03:15.080 --> 00:03:19.320]  叫做《火搖的普世見證》
[00:03:19.320 --> 00:03:22.560]  主旨其實是要告訴我們
[00:03:22.560 --> 00:03:27.400]  什麼才是真正神與人同在
[00:03:27.400 --> 00:03:30.760]  我們隨著這個方向去看看這段聖經
[00:03:30.760 --> 00:03:34.440]  如何去解釋、詮釋神與人同在的主旨
[00:03:34.440 --> 00:03:36.200]  然後再次回到這段聖經
