
[00:00:00.000 --> 00:00:02.400]  今個月語道自見的經卷是哪一卷呢?
[00:00:02.400 --> 00:00:04.640]  不要告訴我你不知道 剛才已經讀過了
[00:00:04.640 --> 00:00:07.200]  「貼薩羅尼加」後書
[00:00:07.200 --> 00:00:13.520]  今天我們的講道都會從「貼薩羅尼加」後書去講
[00:00:13.520 --> 00:00:16.320]  先簡單介紹一下「貼薩羅尼加」
[00:00:16.320 --> 00:00:21.320]  在頭頂片上左上角藍圈框框那裏就是「貼薩羅尼加」
[00:00:21.320 --> 00:00:25.120]  南面是我們比較熟悉的雅典和哥倫多
[00:00:25.120 --> 00:00:28.000]  北面就是馬其頓 還記得馬其頓是甚麼嗎?
[00:00:29.120 --> 00:00:31.040]  馬其頓就是司徒行傳
[00:00:31.040 --> 00:00:33.960]  提到保羅第二次宣教旅程當中
[00:00:33.960 --> 00:00:39.200]  在異象當中見到有個馬其頓人求你過來幫他的忙
[00:00:39.200 --> 00:00:42.360]  保羅回應馬其頓的呼聲
[00:00:42.360 --> 00:00:45.920]  就是將福音帶入歐洲
[00:00:45.920 --> 00:00:48.600]  先去到馬其頓的菲勒比傳道
[00:00:48.600 --> 00:00:51.840]  接著第二站就是來到「貼薩羅尼加」
[00:00:51.840 --> 00:00:57.120]  司徒行傳十六十七章告訴我們
[00:00:57.120 --> 00:00:59.280]  不管保羅去到哪裏傳道
[00:00:59.280 --> 00:01:01.560]  他會先將福音帶給猶太人
[00:01:01.560 --> 00:01:04.280]  所以他一定會去猶太的會堂講道
[00:01:04.280 --> 00:01:06.680]  來到「貼薩羅尼加」
[00:01:06.680 --> 00:01:08.560]  司徒行傳告訴我們
[00:01:08.560 --> 00:01:13.160]  保羅是一連三個安息日在猶太的會堂講道
[00:01:13.160 --> 00:01:18.200]  一班猶太人、外邦人、希臘人和一些尊貴的婦女
[00:01:18.200 --> 00:01:26.240]  因為聽到福音就跟從接受耶穌基督的福音
[00:01:27.840 --> 00:01:29.120]  可以想像到
[00:01:29.120 --> 00:01:34.320]  保羅的宣教隊伍走進去猶太會堂
[00:01:34.320 --> 00:01:38.920]  向一班猶太教分屠底下的人傳講福音
[00:01:38.920 --> 00:01:43.120]  結果當中有部份的人從猶太教轉信耶穌基督
[00:01:43.120 --> 00:01:46.760]  跟了保羅、跟了耶穌
[00:01:46.760 --> 00:01:50.240]  你可以想像猶太的宗教領袖的心
[00:01:50.240 --> 00:01:51.440]  「好嘢!好嘢!」
[00:01:51.440 --> 00:01:53.360]  當然不是啦!剛剛相反
[00:01:54.840 --> 00:01:57.440]  所以我們看司徒行傳的時候
[00:01:57.440 --> 00:02:01.880]  不斷看到保羅的宣教隊伍傳福音的時候
[00:02:01.880 --> 00:02:06.400]  不斷經歷到猶太人的敵對行動
[00:02:06.400 --> 00:02:12.320]  司徒行傳十七章記載
[00:02:12.320 --> 00:02:17.240]  猶太人招惹一班流氓誣告保羅
[00:02:17.240 --> 00:02:19.720]  甚至引發全城的騷動
[00:02:19.720 --> 00:02:22.680]  當地的信徒、一班初信的信徒
[00:02:22.680 --> 00:02:25.880]  為了保障保羅和宣教隊伍的安全起見
[00:02:25.880 --> 00:02:30.240]  連夜就送走了保羅和宣教隊伍
[00:02:30.240 --> 00:02:32.040]  保羅就繼續南下
[00:02:32.040 --> 00:02:36.000]  去到比利亞、雅典和哥倫多
[00:02:36.000 --> 00:02:38.480]  繼續去宣講耶穌基督的福音
[00:02:38.480 --> 00:02:39.840]  人雖然離開了
[00:02:39.840 --> 00:02:43.200]  但他的心仍然想念著貼薩羅尼加這個新的教會
[00:02:43.200 --> 00:02:50.400]  因為搞得保羅當然不會請貼薩羅尼加的人去吃飯、吃雪糕
[00:02:51.800 --> 00:02:54.880]  所以保羅一直心掛掛
[00:02:54.880 --> 00:02:57.880]  就差一班提摩太回頭
[00:02:57.880 --> 00:03:08.840]  去建立、堅定、安慰、提醒貼薩羅尼加教會的信徒
[00:03:08.840 --> 00:03:11.840]  當提摩太回到哥倫多
[00:03:11.840 --> 00:03:15.160]  將教會的近況告訴保羅之後
