
[00:00:00.000 --> 00:00:03.020]  大家好,又一齊讀聖經
[00:00:03.020 --> 00:00:07.220]  《生命述書》的網絡跟大家看聖經人、聖經事
[00:00:07.220 --> 00:00:12.420]  這次看到在以色列人進入迦南地之後
[00:00:12.420 --> 00:00:17.020]  全部定了,十二支派都分了地
[00:00:17.020 --> 00:00:21.220]  大局已定,算是頗為太平的
[00:00:21.220 --> 00:00:22.920]  特別是開頭那段時間
[00:00:22.920 --> 00:00:27.420]  約書亞也還在,神很眷顧他們
[00:00:27.420 --> 00:00:33.420]  靈性相當好,後來就差了
[00:00:33.420 --> 00:00:38.420]  在這時間,神叫以色列人做了一件事
[00:00:38.420 --> 00:00:41.420]  就是設立逃城
[00:00:41.420 --> 00:00:45.420]  逃走的城,可以躲藏的城
[00:00:45.420 --> 00:00:52.420]  設立逃城並不是叫他們玩捉迷藏
[00:00:52.420 --> 00:00:54.420]  是城可以被人躲藏
[00:00:54.420 --> 00:00:58.420]  逃進去城裏面,避免一些事
[00:00:58.420 --> 00:01:06.420]  但不是玩的,是很認真逃避索命的人
[00:01:06.420 --> 00:01:09.420]  要拿他的命,逃城看看
[00:01:09.420 --> 00:01:11.420]  約書亞結第二十章
[00:01:11.420 --> 00:01:14.420]  是耶和華曉遇約書亞的
[00:01:14.420 --> 00:01:16.420]  叫他設立逃城
[00:01:16.420 --> 00:01:18.420]  做什麼的呢?
[00:01:18.420 --> 00:01:34.420]  「你吩咐以色列人說:你們要照著我,正摩西所曉遇你們的,為自己設立逃城」
[00:01:34.420 --> 00:01:37.420]  逃走用的城,其實是做什麼的呢?
[00:01:37.420 --> 00:01:49.420]  逃城很多解經家認為是特登神做的,一來是為了公平,為了對人命的愛惜
[00:01:49.420 --> 00:01:55.420]  但逃城也可以說是某方面象徵耶穌基督
[00:01:55.420 --> 00:02:01.420]  象徵救贖,象徵白白的救贖和清義
[00:02:01.420 --> 00:02:03.420]  先說說逃城
[00:02:03.420 --> 00:02:10.420]  「使那無心而誤殺人的,可以逃到哪裡?
[00:02:10.420 --> 00:02:16.420]  這城可以作你們逃避報血仇人的地方」
[00:02:16.420 --> 00:02:21.420]  是無心而誤殺了人
[00:02:21.420 --> 00:02:28.420]  當日是以牙還牙,以眼還眼,以命還命的時代
[00:02:28.420 --> 00:02:34.420]  大家都覺得這樣才公道,其實也有公道的地方
[00:02:34.420 --> 00:02:39.420]  例如以眼還眼,以牙還牙,什麼意思呢?
[00:02:39.420 --> 00:02:48.420]  如果不小心弄盲人家的眼,對方的家人可以要求弄盲你一隻眼
[00:02:48.420 --> 00:02:55.420]  以牙還牙,打架打甩人家的牙,要打甩人家的牙
[00:02:55.420 --> 00:03:01.420]  其實你可以說,這麼野蠻的,賠錢不行嗎?
[00:03:01.420 --> 00:03:06.420]  當然可以談,但最主要也算是一個保障
[00:03:06.420 --> 00:03:11.420]  打我兒子,打到他盲了一隻眼
[00:03:11.420 --> 00:03:16.420]  有時我可能帶兄弟強壯去打你家人
[00:03:16.420 --> 00:03:23.420]  打爛你家人,打死你兒子,如果遇到他,將你兒子殺死
[00:03:23.420 --> 00:03:32.420]  因為很生氣,但只能保障他以眼還眼,以命還命,以牙還牙
[00:03:32.420 --> 00:03:40.420]  你不能傷害得多,但有時無心而誤殺人
[00:03:40.420 --> 00:03:47.420]  他可以合法地逃命,逃去屠城
[00:03:47.420 --> 00:03:51.420]  在這些城可以做逃避,報血仇人的地方
[00:03:51.420 --> 00:03:56.420]  即是躲進屠城,他就不能追溯你的命
[00:03:56.420 --> 00:04:01.420]  只能在外面等你出來,做什麼呢?
[00:04:01.420 --> 00:04:05.420]  其實就是被無心而誤殺人
