
[00:00:00.000 --> 00:00:02.760]  其實大家知道上個星期開始
[00:00:02.760 --> 00:00:05.040]  我們開始了一個新的講道系列
[00:00:05.040 --> 00:00:08.000]  不知道大家有沒有留意這個系列是講什麼呢
[00:00:08.000 --> 00:00:10.800]  事實上從會點教會一開始
[00:00:10.800 --> 00:00:12.560]  如果你上過class 101的話
[00:00:12.560 --> 00:00:15.760]  你會知道我們有些所謂會點
[00:00:15.760 --> 00:00:18.560]  即是所practice的一些做法
[00:00:18.560 --> 00:00:20.320]  當然這個不是唯一的做法
[00:00:20.320 --> 00:00:22.600]  但是在過往十幾年裏面來說
[00:00:22.600 --> 00:00:24.360]  這十個的practice
[00:00:24.360 --> 00:00:25.480]  即是我們所treasure
[00:00:25.480 --> 00:00:30.080]  我們推動弟兄姊妹去嘗試去活出來的
[00:00:30.080 --> 00:00:32.840]  是幫助我們教會成長的
[00:00:32.840 --> 00:00:34.960]  所以這次我們這個題目叫做
[00:00:34.960 --> 00:00:36.520]  展翅霸會點人
[00:00:36.520 --> 00:00:39.240]  因爲我希望不單單是你上過101的
[00:00:39.240 --> 00:00:40.920]  因爲上過都不記得
[00:00:40.920 --> 00:00:42.680]  而我們很少在教會里面
[00:00:42.680 --> 00:00:44.960]  跟大家分享這十個的practice
[00:00:44.960 --> 00:00:47.040]  所以上個星期開始就跟大家去講
[00:00:47.040 --> 00:00:48.640]  第一個caring heart
[00:00:48.640 --> 00:00:51.400]  第二個是關顧的心胸
[00:00:51.400 --> 00:00:53.000]  今天跟大家要分享的
[00:00:53.000 --> 00:00:57.120]  是一個要承擔的肩膀 膊頭
[00:00:57.120 --> 00:00:59.960]  講到承擔即是負責任
[00:00:59.960 --> 00:01:02.360]  事實上不知道大家有沒有留意到
[00:01:02.360 --> 00:01:04.200]  今天我們這個社會
[00:01:04.200 --> 00:01:06.400]  特別是西方文明的社會
[00:01:06.400 --> 00:01:09.760]  是變得越來越不負責任的
[00:01:09.760 --> 00:01:11.000]  不知道大家有沒有
[00:01:11.000 --> 00:01:15.600]  十年前記得那個金融海嘯
[00:01:15.600 --> 00:01:17.080]  已經斬了十年了
[00:01:17.080 --> 00:01:19.480]  我相信影響到現在
[00:01:19.480 --> 00:01:20.760]  有些弟兄姊妹
[00:01:20.760 --> 00:01:23.960]  我相信如果你有買股票 珠宜小磊那些
[00:01:23.960 --> 00:01:26.040]  可能你還在suffer loss
[00:01:26.040 --> 00:01:27.360]  會不會呢
[00:01:27.360 --> 00:01:28.880]  爲什麼會有這樣的情況出現呢
[00:01:28.880 --> 00:01:30.880]  當然我不是財經專家
[00:01:30.880 --> 00:01:32.080]  不過很明顯的
[00:01:32.080 --> 00:01:35.000]  我相信你看報紙上網都會聽到
[00:01:35.000 --> 00:01:37.520]  因爲一些financial institute
[00:01:37.520 --> 00:01:39.200]  或者是banker
[00:01:39.200 --> 00:01:43.080]  他們一些不負責任的投資和借貸
[00:01:43.080 --> 00:01:43.640]  ok
[00:01:43.640 --> 00:01:46.400]  有些人不負責任地去借錢
[00:01:46.400 --> 00:01:49.640]  有沒有想過還不還這麼多錢
[00:01:49.640 --> 00:01:55.760]  於是就造成一個全球性的金融危機
[00:01:55.760 --> 00:01:56.680]  但是我剛纔說
[00:01:56.680 --> 00:01:59.400]  其實這個不是單單在financial area
[00:01:59.400 --> 00:02:03.320]  在財經上有很多不負責任的行爲
[00:02:03.320 --> 00:02:05.440]  財經上的不負責任行爲
[00:02:05.440 --> 00:02:06.880]  有些人用的term是什麼呢
[00:02:06.880 --> 00:02:10.720]  是一個organized irresponsibility
[00:02:10.720 --> 00:02:13.920]  是一個有組織性的不負責任行爲
[00:02:13.920 --> 00:02:17.280]  是一連串 一環扣一環的
[00:02:17.280 --> 00:02:20.360]  但是原來這個問題的影響
[00:02:20.360 --> 00:02:26.000]  已經是滲透到我們生活的每一個層面
[00:02:26.000 --> 00:02:29.640]  包括我們政府的官員
[00:02:29.640 --> 00:02:30.560]  美國不用說了
[00:02:30.560 --> 00:02:31.720]  香港更加明顯
[00:02:31.720 --> 00:02:32.440]  說問責
[00:02:32.440 --> 00:02:35.400]  我問你的責不是問自己的責
[00:02:35.400 --> 00:02:37.320]  所以其實很多事情做了之後
[00:02:37.320 --> 00:02:39.560]  不需要負什麼責任的
[00:02:39.560 --> 00:02:41.040]  商人也是
[00:02:41.040 --> 00:02:42.680]  賺錢的那些
[00:02:42.680 --> 00:02:45.080]  我不是說那些所謂的黑心商人
[00:02:45.080 --> 00:02:46.400]  一般的商人也好
[00:02:46.400 --> 00:02:49.520]  很多時候都落在這樣的情況當中
[00:02:49.520 --> 00:02:53.040]  你都說政府官員 做生意的那些
[00:02:53.040 --> 00:02:54.160]  但事實上
[00:02:54.160 --> 00:02:56.200]  很多的專業人士裏面來說
[00:02:56.200 --> 00:03:00.440]  包括醫生 律師 會計師
[00:03:00.440 --> 00:03:02.120]  教育家
[00:03:02.120 --> 00:03:05.600]  都有這樣的情況出現
[00:03:05.600 --> 00:03:07.240]  我看到一篇文章
[00:03:07.240 --> 00:03:09.320]  Dr. George Simon
[00:03:09.320 --> 00:03:15.520]  他是一個心理博士 專家
