
[00:00:00.000 --> 00:00:03.500]  今日的講題是「勝過驕傲」
[00:00:03.500 --> 00:00:05.380]  驕傲是什麼呢?
[00:00:05.380 --> 00:00:06.820]  可能大家會覺得
[00:00:06.820 --> 00:00:08.220]  目空一切
[00:00:08.220 --> 00:00:10.680]  不可一世就是驕傲
[00:00:10.680 --> 00:00:13.320]  但以前我從未想過
[00:00:13.320 --> 00:00:16.820]  原來怕傳福音
[00:00:16.820 --> 00:00:19.820]  怕為主做見證
[00:00:19.820 --> 00:00:22.100]  怕行基督的真理
[00:00:22.100 --> 00:00:24.380]  怕在別人面前
[00:00:24.380 --> 00:00:27.060]  承認自己是基督徒
[00:00:27.060 --> 00:00:29.220]  原來是一種驕傲
[00:00:29.220 --> 00:00:30.940]  我本來以前不知道
[00:00:30.940 --> 00:00:35.780]  但直至我看到《耳刷書》51章12節的時候
[00:00:35.780 --> 00:00:37.460]  我就明白了
[00:00:37.460 --> 00:00:39.860]  鄧小平讓我們一起讀讀這段聖經
[00:00:39.860 --> 00:00:42.380]  《耳刷書》51章12節
[00:00:42.380 --> 00:00:43.940]  我們一起讀1、2、3
[00:00:43.940 --> 00:00:47.580]  「惟有我是安慰你們的
[00:00:47.580 --> 00:00:48.860]  你是誰
[00:00:48.860 --> 00:00:51.500]  竟怕那必死的人
[00:00:51.500 --> 00:00:55.460]  怕那要變如草的世人」
[00:00:55.460 --> 00:01:00.780]  可能大家聽過有些人說別人多管閒事
[00:01:00.780 --> 00:01:02.020]  就這樣跟他說
[00:01:02.020 --> 00:01:03.220]  你是誰啊
[00:01:03.220 --> 00:01:05.540]  竟然插手我們之間的事
[00:01:05.540 --> 00:01:08.660]  其實他真正的意思就是說
[00:01:08.660 --> 00:01:11.300]  你竟然插手我們的事
[00:01:11.300 --> 00:01:13.820]  你這個驕傲自大的人
[00:01:13.820 --> 00:01:16.180]  你看回《耳刷書》裡面
[00:01:16.180 --> 00:01:17.700]  「你是誰
[00:01:17.700 --> 00:01:19.780]  竟怕那必死的人」
[00:01:19.780 --> 00:01:21.220]  其實他說什麼呢
[00:01:21.220 --> 00:01:23.780]  你竟然懼怕人
[00:01:23.780 --> 00:01:26.380]  你這個驕傲自大的人
[00:01:26.380 --> 00:01:27.900]  就是這個意思
[00:01:27.900 --> 00:01:30.340]  以前我以為
[00:01:30.340 --> 00:01:33.140]  懼怕人是弱點
[00:01:33.140 --> 00:01:35.580]  怕事怕人是弱點
[00:01:35.580 --> 00:01:36.620]  既然是弱點
[00:01:36.620 --> 00:01:39.100]  有什麼值得驕傲呢
[00:01:39.100 --> 00:01:41.020]  但這個《耳刷書》明明說
[00:01:41.020 --> 00:01:43.580]  懼怕人是驕傲
[00:01:43.580 --> 00:01:44.820]  為什麼呢
[00:01:44.820 --> 00:01:46.940]  原來懼怕人
[00:01:46.940 --> 00:01:50.620]  就等於認為自己的面子
[00:01:50.620 --> 00:01:52.060]  自己的形象
[00:01:52.060 --> 00:01:53.820]  自己的地位高於一切
[00:01:53.820 --> 00:01:55.140]  高過一切
[00:01:55.140 --> 00:01:58.540]  並且將別人對你的評價
[00:01:58.540 --> 00:02:00.700]  當作自己的價值觀
[00:02:00.700 --> 00:02:03.460]  因而決定我是誰
[00:02:03.460 --> 00:02:06.660]  所以就很怕被別人看不起
[00:02:06.660 --> 00:02:08.820]  很怕在別人面前出醜
[00:02:08.820 --> 00:02:11.780]  很怕被別人拒絕
[00:02:11.780 --> 00:02:12.780]  換句話說
[00:02:12.780 --> 00:02:16.620]  如果我們容許自己懼怕別人的話
[00:02:16.620 --> 00:02:19.260]  就等於將我自己的判斷
[00:02:19.260 --> 00:02:23.740]  將我自己的智慧凌駕於神的真理
[00:02:23.740 --> 00:02:25.780]  和他的英許之上
[00:02:25.780 --> 00:02:27.860]  原來是一種驕傲
[00:02:27.860 --> 00:02:29.500]  原來如此的話
[00:02:29.500 --> 00:02:31.060]  驕傲就有兩面
[00:02:31.060 --> 00:02:33.180]  第一面就是懼怕人
