
[00:00:00.000 --> 00:00:04.120]  在這裏首先恭祝各位父親節快樂
[00:00:04.120 --> 00:00:08.360]  但我有時覺得恭祝人甚麼節快樂呢
[00:00:08.360 --> 00:00:10.040]  有少少行課
[00:00:10.040 --> 00:00:14.200]  聖誕節快樂,你知道原因,因為耶穌降生
[00:00:14.200 --> 00:00:17.280]  就叫信的人得到永生
[00:00:17.280 --> 00:00:21.680]  祝福人新年快樂,因為是一個新開始
[00:00:21.680 --> 00:00:26.760]  但祝福人情人節快樂,情人都沒有甚麼快樂呢
[00:00:26.760 --> 00:00:30.480]  或者情人離開了,失戀
[00:00:30.480 --> 00:00:32.560]  好像裸景振興一樣
[00:00:32.560 --> 00:00:34.960]  父親節,母親節一樣
[00:00:34.960 --> 00:00:39.360]  你要在父親節快樂,你作為一個父親
[00:00:39.360 --> 00:00:43.280]  你要想想,你值不值得快樂
[00:00:43.280 --> 00:00:47.720]  你通得過上帝,通得過你的良知
[00:00:47.720 --> 00:00:50.360]  通得過你的回憶,你的經歷嗎
[00:00:50.360 --> 00:00:54.400]  有時想起一些事情,如果沒有說過
[00:00:54.400 --> 00:00:58.400]  沒有想過,沒有做過在兒女身上
[00:00:58.400 --> 00:01:02.240]  很可能我一生人,沒有一種相同的回憶
[00:01:02.240 --> 00:01:07.440]  作為兒女,你祝賀你的父親快樂的時候
[00:01:07.440 --> 00:01:09.080]  你會不會想
[00:01:09.080 --> 00:01:13.120]  我對這位曾經很能
[00:01:13.120 --> 00:01:17.760]  藤條炆豬肉,很嚴厲地要求我
[00:01:17.760 --> 00:01:22.440]  而塑造成為今天我這個性格的父親
[00:01:23.480 --> 00:01:25.560]  我值不值得恭喜他快樂呢
[00:01:25.560 --> 00:01:30.040]  或者我要報答他的養育渠路
[00:01:30.040 --> 00:01:33.040]  我有沒有盡到我的責任呢
[00:01:33.040 --> 00:01:37.520]  昨天我是很臨時應邀他兩個宴會裏面
[00:01:37.520 --> 00:01:43.760]  一個十七兄弟姐妹一起相聚
[00:01:43.760 --> 00:01:46.600]  我不敢深入問下去
[00:01:46.600 --> 00:01:48.440]  十七兄弟姐妹
[00:01:48.920 --> 00:01:54.720]  兄弟姐妹長兄和幼弟之間的差距很大
[00:01:54.720 --> 00:01:59.760]  我看到他對兄長的敬重
[00:01:59.760 --> 00:02:04.520]  因為他小時候,長大了
[00:02:04.520 --> 00:02:07.640]  昨晚我跟港導遊去了一個
[00:02:07.640 --> 00:02:10.440]  在臨時邀約的聚會
[00:02:10.440 --> 00:02:13.920]  我心想這位醫生都很久沒見了
[00:02:13.920 --> 00:02:16.880]  都鼓勵一下他,跟他們聊天
