
[00:00:00.000 --> 00:00:02.120]  好 那我們聆聽主的說話
[00:00:02.120 --> 00:00:04.860]  以先讓我們再一次同心低頭
[00:00:04.860 --> 00:00:08.180]  一起去預備 我們深思熾熱 藉著禱告
[00:00:08.180 --> 00:00:13.340]  將我們自己交在上主的帶領之下
[00:00:13.340 --> 00:00:17.360]  天父多謝你 讓我們能夠再次來到你的當中
[00:00:17.360 --> 00:00:20.080]  特別是在你的啟示裏面
[00:00:20.080 --> 00:00:24.340]  讓我們去逐步去明白上主你的深思熾熱
[00:00:24.340 --> 00:00:28.840]  藉著你的僕人怎樣在歷史的當中
[00:00:28.840 --> 00:00:33.600]  隨著上帝你的聖靈的引導和你的安排
[00:00:33.600 --> 00:00:35.400]  從他們的經歷
[00:00:35.400 --> 00:00:36.920]  很想我們都明白到
[00:00:36.920 --> 00:00:41.920]  今天我們應當怎樣去作一個合神心意的指紋
[00:00:41.920 --> 00:00:43.220]  求你的帶領
[00:00:43.220 --> 00:00:46.180]  讓我們每一個都能夠在你的裏面
[00:00:46.180 --> 00:00:50.080]  能夠蒙受主你的祝福
[00:00:50.080 --> 00:00:53.880]  能夠在這個世上上
[00:00:53.880 --> 00:00:58.540]  能夠去將主你的心願活化出來
[00:00:58.540 --> 00:01:02.020]  禱告奉靠主耶穌基督得勝的名字求
[00:01:02.020 --> 00:01:04.020]  阿們
[00:01:04.020 --> 00:01:07.580]  今天在這個世界裏面
[00:01:07.580 --> 00:01:09.920]  我們不能否定一件事
[00:01:09.920 --> 00:01:14.360]  就是人工智能已經開始滲透到
[00:01:14.360 --> 00:01:19.580]  在我們每一個的生活層面的上面
[00:01:19.580 --> 00:01:24.700]  但是當人工智能這件事出現之後
[00:01:24.700 --> 00:01:27.000]  不知道大家會不會發現到
[00:01:27.000 --> 00:01:29.880]  我們在不經不覺間
[00:01:29.880 --> 00:01:33.900]  就開始隨著這些所謂人工智能
[00:01:33.900 --> 00:01:38.680]  或者操控著人工智能的人
[00:01:38.680 --> 00:01:44.140]  他們逐步的牽動我們的人生
[00:01:44.140 --> 00:01:45.340]  簡單一點來說
[00:01:45.340 --> 00:01:51.620]  我們漸漸地沒有了自我的一個主導的
[00:01:51.620 --> 00:01:54.920]  或者一個意識來去活
[00:01:54.920 --> 00:01:58.660]  很多時候我們被這些人工智能的資訊
[00:01:58.660 --> 00:02:01.280]  和提供的資料
[00:02:01.280 --> 00:02:04.020]  而去誘導我們
[00:02:04.020 --> 00:02:08.380]  而我們還樂於去接受、跟從
[00:02:08.380 --> 00:02:13.720]  而以為已經自己是很得著、益處
[00:02:13.720 --> 00:02:18.520]  首先我不是對人工智能有反感的人
[00:02:18.520 --> 00:02:20.580]  首先弟兄姊妹你要明白
[00:02:20.580 --> 00:02:23.480]  你牧者以前始終都是做電腦的人
[00:02:23.480 --> 00:02:28.060]  做電腦的我在很早的時候
[00:02:28.060 --> 00:02:30.360]  講回現在來算
[00:02:30.360 --> 00:02:33.580]  到三十多年前的時候
[00:02:33.580 --> 00:02:38.460]  我在華鐵路大學已經讀電腦科學
[00:02:38.460 --> 00:02:43.640]  就已經接觸過什麼叫人工智能的觀念
[00:02:43.640 --> 00:02:47.720]  或者甚至當時我們主要是做人工智能的
[00:02:47.720 --> 00:02:52.080]  軟件的語言怎樣去運用
[00:02:52.080 --> 00:02:59.200]  但是人工智能卻如果落在一般的人手上
[00:02:59.200 --> 00:03:05.060]  而那個人也是帶著他自己的私人動機的話
[00:03:05.060 --> 00:03:12.280]  你就很自然地被他漸漸操控
[00:03:12.280 --> 00:03:15.160]  我們變得越來越沒有了自己
[00:03:15.160 --> 00:03:21.040]  而他只是被其他人去誘導我們、指導我們
[00:03:21.040 --> 00:03:24.360]  使得我們跟隨了他的觀念
[00:03:24.360 --> 00:03:25.960]  我們都不驚不覺
[00:03:25.960 --> 00:03:33.320]  尤其是如果大家喜歡看這個網上串流播放的影片的時候
[00:03:33.320 --> 00:03:39.040]  很多時候這些用人工智能所做出來的影片
[00:03:39.040 --> 00:03:41.720]  實在騙到很多的人
[00:03:41.720 --> 00:03:47.800]  甚至有不少基督教的教徒、信徒
[00:03:47.800 --> 00:03:53.440]  也都在不斷地用人工智能製造一些新的影像
[00:03:53.440 --> 00:03:58.080]  來引導一幫他自己的信眾
[00:03:58.080 --> 00:04:01.280]  所以大家千萬不要覺得出奇
[00:04:01.280 --> 00:04:03.600]  過某一段日子
[00:04:03.600 --> 00:04:07.640]  當然我的機會會低一些 因為我不出名
[00:04:07.640 --> 00:04:10.120]  但是如果出名的目者
[00:04:10.120 --> 00:04:14.160]  你已經留意到在這一兩年之間
[00:04:14.160 --> 00:04:17.040]  有很多已經死了
[00:04:17.040 --> 00:04:19.440]  但是你還看到他出來講道
[00:04:19.440 --> 00:04:22.600]  而且好像現場那樣講道給你聽
[00:04:22.600 --> 00:04:24.320]  有了今天的時事
[00:04:24.320 --> 00:04:28.800]  那你就要非常小心去學會辨別
[00:04:28.800 --> 00:04:34.280]  所以在聖經裡面也都經常要談論道的一個很重要的信息
[00:04:34.280 --> 00:04:38.280]  就是辨別誅靈這個做法
[00:04:38.280 --> 00:04:39.960]  如果我們今天做基督徒
[00:04:39.960 --> 00:04:44.960]  缺乏了這個最起碼的屬靈操練的話
[00:04:44.960 --> 00:04:47.200]  我們就很容易陷入了
[00:04:47.200 --> 00:04:51.080]  被任何人去帶動我們
[00:04:51.080 --> 00:04:54.680]  走向一個他們想做的目的
[00:04:54.680 --> 00:04:59.120]  而我們也都不經不覺成為了他們的跟隨者
[00:04:59.120 --> 00:05:00.680]  也都不知道
[00:05:00.680 --> 00:05:03.880]  為什麼我說這一番話呢?
[00:05:03.880 --> 00:05:05.480]  有兩個原因的
[00:05:05.480 --> 00:05:08.960]  第一個原因就是今天我們會進入到
[00:05:08.960 --> 00:05:16.880]  《但義理書》的第八章看到第二個大部份的異象
[00:05:16.880 --> 00:05:20.640]  在解釋《但義理書》的時候
[00:05:20.640 --> 00:05:25.440]  很喜歡做的方法就是要將這些異象
[00:05:25.440 --> 00:05:31.920]  重新配對在一些歷史的發展的範疇或者政權
[00:05:31.920 --> 00:05:37.840]  從而去做一個所謂聖經與歷史銜接的功夫
[00:05:37.840 --> 00:05:41.160]  我不否定那個良好動機
[00:05:41.160 --> 00:05:47.240]  但是這個是不是本身《但義理書》這一輪的異象
[00:05:47.240 --> 00:05:49.520]  想說的目的呢?
[00:05:49.520 --> 00:05:53.640]  這個反而是我們值得去思想的問題
[00:05:53.640 --> 00:05:57.680]  而不是去隨便將一些事物或者一些異象
[00:05:57.680 --> 00:06:03.000]  將它去堆砌塞進去歷史裡面
[00:06:03.000 --> 00:06:04.640]  然後嘗試告訴你
[00:06:04.640 --> 00:06:08.520]  「喏!聖經的記載是何等準確?」
[00:06:08.520 --> 00:06:14.200]  這種可能是變教學的一種潛意識
[00:06:14.200 --> 00:06:19.080]  但是這種潛意識又造就了另一個問題出現的就是
[00:06:19.080 --> 00:06:23.040]  倘若這些異象所含括說的東西
[00:06:23.040 --> 00:06:26.920]  不是只是說這件歷史的事件
[00:06:26.920 --> 00:06:28.720]  就是如果它用歷史配對
[00:06:28.720 --> 00:06:31.240]  不是說這件歷史的事件
[00:06:31.240 --> 00:06:36.560]  而是說這件事件背後的一個總體的主旨是什麼
[00:06:36.560 --> 00:06:39.360]  我們就會失落了
[00:06:39.360 --> 00:06:42.000]  所以這個第一部分的就是
[00:06:42.000 --> 00:06:46.640]  很多時候我們去對於這些異象的詮釋
[00:06:46.640 --> 00:06:50.920]  我們有一種錯誤的看法
[00:06:50.920 --> 00:06:54.640]  或者錯誤的詮釋方法
[00:06:54.640 --> 00:06:57.280]  所以就引致到第二個的原因
[00:06:57.280 --> 00:07:00.160]  為什麼我要說到這一段的說話呢?
[00:07:00.160 --> 00:07:05.800]  就是當如果我們隨意去解釋這些事件
[00:07:05.800 --> 00:07:08.120]  成為某一段歷史的話
[00:07:08.120 --> 00:07:11.880]  失去了原本說這段聖經的主旨的時候
[00:07:11.880 --> 00:07:15.560]  我們就很容易落入一個
[00:07:15.560 --> 00:07:23.120]  很容易扭曲聖經神學的詮釋的一個主要的功課
[00:07:23.120 --> 00:07:27.040]  而這種觀念是會很影響到你的靈性的發展
[00:07:27.040 --> 00:07:33.920]  尤其是很多時候很多人用但義理書來配對
[00:07:33.920 --> 00:07:36.920]  這個新約啟示錄
[00:07:36.920 --> 00:07:44.920]  用兩個類似的天啟文學的陳述方法來解釋
[00:07:44.920 --> 00:07:47.680]  就造成了我們對於
[00:07:47.680 --> 00:07:51.480]  去到新約聖經的啟示錄的錯誤詮釋
[00:07:51.480 --> 00:07:55.800]  如果大家有興趣聽回啟示錄的詮釋
[00:07:55.800 --> 00:07:58.400]  可以聽回我以前的講道
[00:07:58.400 --> 00:08:04.640]  可以給大家一個耳目一新的一個看法
[00:08:04.640 --> 00:08:09.680]  或者幫助大家去糾正到或者防止到
[00:08:09.680 --> 00:08:16.160]  我們很容易就去將啟示錄那種詮釋的方法
[00:08:16.160 --> 00:08:20.760]  來到錯誤了解 以為說未來末世發展
[00:08:20.760 --> 00:08:25.880]  那個種種的事件將會怎樣流程發生這種的錯誤
[00:08:25.880 --> 00:08:29.680]  所以這兩個是為什麼我一開始的裏面
[00:08:29.680 --> 00:08:33.800]  要這麼重視來講解給大家知道
[00:08:33.800 --> 00:08:37.280]  回到但義理書裏面
[00:08:37.280 --> 00:08:39.320]  在第八章的開頭
[00:08:39.320 --> 00:08:41.280]  我們應該這麼說
[00:08:41.280 --> 00:08:47.480]  第七章的開頭到八章的開頭裏面
[00:08:47.480 --> 00:08:51.200]  我們已經講了一個很重要的訊息
[00:08:51.200 --> 00:08:55.120]  就是但義理有很多東西都不明白
[00:08:55.120 --> 00:08:59.600]  他不明白為什麼他活在一個這樣的世界裏面
[00:08:59.600 --> 00:09:04.240]  他自己完全是束手無策的
[00:09:04.240 --> 00:09:08.160]  尤其是一個有能力的人
[00:09:08.160 --> 00:09:11.440]  在這個世界裏面沒有能力的人
[00:09:11.440 --> 00:09:13.640]  就反而什麼都不想理
[00:09:13.640 --> 00:09:16.120]  覺得什麼都OK
[00:09:16.120 --> 00:09:18.320]  但如果一個有能力的人
[00:09:18.320 --> 00:09:21.080]  就會發現有很多事情自己想做
[00:09:21.080 --> 00:09:25.240]  而做不到的那種矛盾
[00:09:25.240 --> 00:09:28.080]  所以有些人就有些觀念就是說
[00:09:28.080 --> 00:09:32.400]  不如做人都是懵懵地過一生算了
[00:09:32.400 --> 00:09:34.400]  不要理那麼多事情了
[00:09:34.400 --> 00:09:37.600]  這種的思維其實是一種畜生的思想來的
[00:09:37.600 --> 00:09:39.280]  我為什麼說畜生呢
[00:09:39.280 --> 00:09:40.680]  畜生不是一種貶義
[00:09:40.680 --> 00:09:43.000]  畜生是一種動脈反應
[00:09:43.000 --> 00:09:46.640]  純粹生存、吃、然後生存
[00:09:46.640 --> 00:09:48.440]  然後吃、生存
[00:09:48.440 --> 00:09:49.840]  最多給你玩一會
[00:09:49.840 --> 00:09:52.040]  然後接著你就去世
[00:09:52.040 --> 00:09:55.080]  這種是一種畜生的思想來的
[00:09:55.080 --> 00:09:56.960]  人是勝過畜生
[00:09:56.960 --> 00:10:00.560]  因為人是有神的靈在其中
[00:10:00.560 --> 00:10:03.880]  所以人有一些創造的能力
[00:10:03.880 --> 00:10:07.320]  是其他動脈沒有的
[00:10:07.320 --> 00:10:09.600]  所以當我們看回但義理
[00:10:09.600 --> 00:10:15.280]  作為一個能夠有那麼大的解釋意象的能力的人
[00:10:15.280 --> 00:10:18.320]  他在第七章裏面充分反映出
[00:10:18.320 --> 00:10:20.760]  他有很多事情不明白
[00:10:20.760 --> 00:10:22.840]  所以如果我們讀第七章的時候
[00:10:22.840 --> 00:10:24.000]  我們經常說
[00:10:24.000 --> 00:10:26.240]  我要明白裏面每一隻的獸
[00:10:26.240 --> 00:10:29.560]  那四隻獸是說哪些的事件
