
[00:00:00.000 --> 00:00:04.340]  多謝敬拜隊幫我們唱了很多榮耀的詩歌
[00:00:04.340 --> 00:00:07.780]  將我們帶到將來 尤其是新的詩歌
[00:00:07.780 --> 00:00:10.980]  一路帶到我們去 如果你熟悉啟示錄的話
[00:00:10.980 --> 00:00:14.320]  就會知道很多歌詞都是來自啟示錄
[00:00:14.320 --> 00:00:19.520]  我們將來在榮耀裏面的盼望
[00:00:19.520 --> 00:00:24.440]  我自己在過去這幾個月
[00:00:24.440 --> 00:00:28.340]  都是不斷在寫作當中
[00:00:28.340 --> 00:00:34.640]  而且大部份時間都是看著啟示錄
[00:00:34.640 --> 00:00:40.120]  所以對於我來說 今天的詩歌是特別的共鳴
[00:00:40.120 --> 00:00:47.680]  我會在 如果人神的恩典我容許的話
[00:00:47.680 --> 00:00:51.160]  今年的七月我會出另外一本書
[00:00:51.160 --> 00:00:53.620]  亦都是我系列裏面的第五本
[00:00:53.620 --> 00:00:56.560]  亦都是最後的一本 叫做《今生來世》
[00:00:56.560 --> 00:01:00.900]  《今生來世》將我們的信仰帶到永恆當中
[00:01:00.900 --> 00:01:05.340]  討論很多我們在永恆裏面的生命究竟是怎樣
[00:01:05.340 --> 00:01:08.080]  今日復活節 我心裏面有這個負擔
[00:01:08.080 --> 00:01:10.580]  想跟大家一齊分享這本書裏面
[00:01:10.580 --> 00:01:14.380]  我所得到的一些學到的東西
[00:01:14.380 --> 00:01:16.380]  其中一些小小的部份
[00:01:16.380 --> 00:01:19.160]  因為那本書是比較厚的
[00:01:19.160 --> 00:01:21.420]  所以今天只能講小小的部份
[00:01:21.420 --> 00:01:27.300]  但我講這些跟我們今天復活的主日是很重要的
[00:01:27.300 --> 00:01:33.100]  復活節是一個充滿了盼望和榮耀的日子
[00:01:33.100 --> 00:01:40.240]  我們經過了昨晚我們在十字架的默想裏面
[00:01:40.240 --> 00:01:41.840]  看見我們主的受苦
[00:01:41.840 --> 00:01:45.020]  看見祂為我們的愛和犧牲
[00:01:45.020 --> 00:01:47.880]  但今日開始我們帶著一個榮耀的盼望
[00:01:47.880 --> 00:01:50.760]  我們等候星期一
[00:01:50.760 --> 00:01:55.220]  我們聽日我們的主復活所帶來的盼望
[00:01:55.220 --> 00:02:00.320]  所以今日我跟大家分享的內容
[00:02:00.320 --> 00:02:04.000]  寫了在我們這個分頁
[00:02:04.000 --> 00:02:04.960]  大家可以拿出來
[00:02:04.960 --> 00:02:06.960]  因為稍後我有些經文
[00:02:06.960 --> 00:02:09.040]  有些東西要跟大家一齊看
[00:02:09.040 --> 00:02:12.240]  剛才讀的那段經文其實是在後面的
[00:02:12.240 --> 00:02:16.580]  主要是來自哥林多前書的第十五章
[00:02:16.580 --> 00:02:19.080]  當中有很多很寶貴的經文
[00:02:19.080 --> 00:02:20.580]  有很多寶貴的意思
[00:02:20.580 --> 00:02:23.620]  但今日我們不能夠只停留在這一章的聖經
[00:02:23.620 --> 00:02:28.360]  我們會將聖經裏面很多很重要的經文
[00:02:28.360 --> 00:02:30.760]  尤其是在啟示錄裏面
[00:02:30.760 --> 00:02:32.260]  大義理書裏面
[00:02:32.260 --> 00:02:35.600]  跟大家一齊分享
[00:02:35.600 --> 00:02:37.300]  今天剛才我們說
[00:02:37.300 --> 00:02:39.740]  通常我們復活節的主人
[00:02:39.740 --> 00:02:43.200]  我們都講很多回顧在二千年前
[00:02:43.200 --> 00:02:46.180]  我們主耶穌復活那天發生甚麼事
[00:02:46.180 --> 00:02:48.780]  後來是產生甚麼影響
[00:02:48.780 --> 00:02:51.720]  這個當然是最重要最重要的一個訊息
[00:02:51.720 --> 00:02:54.620]  但今日我有少少不同的做法
[00:02:54.620 --> 00:02:56.920]  我希望將我們不是大向回顧
[00:02:56.920 --> 00:03:01.460]  二千年前我們主耶穌復活這件光天動地的事
[00:03:01.460 --> 00:03:04.500]  我想跟大家由耶穌基督的復活
[00:03:04.500 --> 00:03:07.560]  我們大到去永恆前瞻
[00:03:07.560 --> 00:03:10.940]  而前瞻的我們不單止看見那位復活的主
[00:03:10.940 --> 00:03:12.740]  將來坐在寶座上
[00:03:12.740 --> 00:03:15.040]  我們還看見我們自己
[00:03:15.040 --> 00:03:17.700]  感謝主我們看見我們自己都在那裏
[00:03:17.700 --> 00:03:19.580]  今天我們看一看那裏
