
[00:00:00.000 --> 00:00:03.560]  2020年我們新一年的港渡有不同的主題
[00:00:03.560 --> 00:00:06.600]  大概兩個月左右我們會有一個新的主題
[00:00:06.600 --> 00:00:10.760]  頭這兩個月我們有一個主題其實是講關於心靈健康
[00:00:10.760 --> 00:00:12.200]  為什麼我們講這個主題呢?
[00:00:12.200 --> 00:00:15.680]  就是因為一方面配合教會IHES的祈禱服事
[00:00:15.680 --> 00:00:19.360]  IHES就是心靈醫治與釋放的禱告服事
[00:00:19.360 --> 00:00:23.360]  另一方面我們都知道其實過去半年多的社會運動
[00:00:23.360 --> 00:00:28.440]  我們不同的頂姐妹或者我們自己或者我們家人都有一些的狀況
[00:00:28.440 --> 00:00:31.400]  心靈裡面都有很多需要禱告服事的地方
[00:00:31.400 --> 00:00:33.600]  所以我們定了這個主題
[00:00:33.600 --> 00:00:36.520]  事實上如果你今天有留意我的講題是什麼呢?
[00:00:36.520 --> 00:00:38.000]  我不知道現在有沒有打出來
[00:00:38.000 --> 00:00:40.400]  就叫做書難從名
[00:00:40.400 --> 00:00:43.000]  你看到書字是括著的
[00:00:43.000 --> 00:00:45.320]  就是解寬恕遙恕的意思
[00:00:45.320 --> 00:00:47.720]  然後這個講題最後是打一個問號
[00:00:47.720 --> 00:00:48.680]  就是說什麼呢?
[00:00:48.680 --> 00:00:50.680]  其實講到遙恕的時候
[00:00:50.680 --> 00:00:52.480]  其實是很重要
[00:00:52.480 --> 00:00:54.520]  因為遙恕
[00:00:54.520 --> 00:00:56.160]  原文這個字就是解什麼呢?
[00:00:56.160 --> 00:00:58.480]  解Let go解放手的意思
[00:00:58.480 --> 00:01:02.120]  當我們說我們希望心靈得到醫治的時候
[00:01:02.120 --> 00:01:05.960]  其實原來有一樣東西在禱告服事裡面我們一定要和大家做的
[00:01:05.960 --> 00:01:09.600]  就是去遙恕那些我們仍然未能夠放手
[00:01:09.600 --> 00:01:12.120]  仍然未能夠Let go的人或者事
[00:01:12.120 --> 00:01:15.400]  原來我們要心靈健康
[00:01:15.400 --> 00:01:17.560]  其中我們就是要懂得去遙恕
[00:01:17.560 --> 00:01:19.200]  但正如這個講題這樣寫出來
[00:01:19.200 --> 00:01:20.560]  書難從名
[00:01:20.560 --> 00:01:21.840]  我不知道當講遙恕的時候
[00:01:21.840 --> 00:01:25.320]  你的腦裡面會不會立刻浮起一些人一些事
[00:01:25.320 --> 00:01:26.760]  你覺得真的很難
[00:01:26.760 --> 00:01:29.560]  這麼久或者近的或者遠的
[00:01:29.560 --> 00:01:31.560]  你真的不能夠放手呢?
[00:01:31.560 --> 00:01:34.560]  很盼望今天這個訊息裡面
[00:01:34.560 --> 00:01:38.040]  讓我們能夠將不能放下的可以放下
[00:01:38.040 --> 00:01:39.680]  特別就是過新年了
[00:01:39.680 --> 00:01:42.200]  我們中國人說年廿八要怎樣?
[00:01:42.200 --> 00:01:43.080]  洗邋遢是嗎?
[00:01:43.080 --> 00:01:45.080]  有些東西你未放下的
[00:01:45.080 --> 00:01:47.880]  會不會趁著今天你要將它放下
[00:01:47.880 --> 00:01:51.520]  上帝要很渴望你和我帶著一個新的皮袋
[00:01:51.520 --> 00:01:53.080]  進入新的年度裡面
[00:01:53.080 --> 00:01:55.720]  去盛載新的膏油和新的酒
[00:02:24.080 --> 00:02:24.960]  將要來了
[00:02:24.960 --> 00:02:26.120]  於是耶穌就說
[00:02:26.120 --> 00:02:27.720]  定義要向耶路撒冷
[00:02:27.720 --> 00:02:28.960]  向著耶路撒冷走
[00:02:28.960 --> 00:02:30.560]  但是走了多久呢?
[00:02:30.560 --> 00:02:32.160]  原來走到十九章
[00:02:32.160 --> 00:02:33.440]  足足走了十章
[00:02:33.440 --> 00:02:34.560]  接著經文就說什麼呢?
[00:02:34.560 --> 00:02:36.200]  十九章二十八節就說
[00:02:36.200 --> 00:02:38.240]  耶穌說完了這麼多話
[00:02:38.240 --> 00:02:39.280]  就繼續向前走
[00:02:39.280 --> 00:02:40.880]  就去到耶路撒冷那裡
[00:02:40.880 --> 00:02:44.760]  於是其實這是整個經文的大脈絡
[00:02:44.760 --> 00:02:47.800]  去到十七章就是越來越接近耶路撒冷的時候
[00:02:47.800 --> 00:02:48.840]  其實就在說
[00:02:48.840 --> 00:02:51.240]  耶穌渴望跟隨他的門徒
[00:02:51.240 --> 00:02:54.040]  要怎樣準備和他一樣跟耶路撒冷呢?
[00:02:54.040 --> 00:02:54.800]  同樣
[00:02:54.800 --> 00:02:55.640]  今天你和我
[00:02:55.640 --> 00:02:58.240]  如果我們說要跟耶穌進入耶路撒冷
[00:02:58.240 --> 00:02:59.840]  我們準備好了沒有呢?
[00:02:59.840 --> 00:03:01.280]  什麼叫進入耶路撒冷呢?
[00:03:01.280 --> 00:03:03.440]  就是去到十九章的時候就開始記錄
[00:03:03.440 --> 00:03:06.360]  耶穌在世上最後一個星期的事
[00:03:06.360 --> 00:03:07.840]  大概我們都知道是什麼
[00:03:07.840 --> 00:03:09.320]  他將要遇到迫害
[00:03:09.320 --> 00:03:10.960]  並且死在十字架上面
[00:03:10.960 --> 00:03:13.040]  完成上帝救恩的計劃
[00:03:13.040 --> 00:03:14.160]  於是其實
[00:03:14.160 --> 00:03:16.040]  耶穌越來越接近十九章的時候
[00:03:16.040 --> 00:03:17.240]  耶穌所說的就是
[00:03:17.240 --> 00:03:19.160]  一直在預備門徒
[00:03:19.160 --> 00:03:20.880]  你有沒有準備好
[00:03:20.880 --> 00:03:22.840]  當你說你要跟隨我的時候
[00:03:22.840 --> 00:03:24.840]  原來今天你和我一樣
[00:03:24.840 --> 00:03:28.200]  你有沒有想過我們同樣會面對一些不公義的事情
[00:03:28.200 --> 00:03:29.400]  面對傷害
[00:03:29.400 --> 00:03:30.480]  面對迫害
[00:03:30.480 --> 00:03:32.480]  甚至面對殺害的時候
[00:03:32.480 --> 00:03:33.600]  你有沒有準備
[00:03:33.600 --> 00:03:34.440]  耶穌就說
[00:03:34.440 --> 00:03:35.960]  面對這些狀況的時候
[00:03:35.960 --> 00:03:39.520]  我們要怎樣去準備我們自己繼續跟隨神呢?
[00:03:39.520 --> 00:03:40.880]  或者另一個角度說
[00:03:40.880 --> 00:03:44.480]  就是耶穌渴望我們這一群跟隨他的屬靈群體
[00:03:44.480 --> 00:03:46.080]  屬神的群體
[00:03:46.080 --> 00:03:48.080]  我們應該有怎樣的生命表現
[00:03:48.080 --> 00:03:50.720]  去彰顯上帝的榮耀活出基督
[00:03:50.720 --> 00:03:53.680]  這十節經文有一個特別的
[00:03:53.680 --> 00:03:54.760]  就是什麼呢?
[00:03:54.760 --> 00:03:59.760]  我這裡的分題是根據新漢語譯本列給大家
[00:03:59.760 --> 00:04:01.160]  如果你看這些分題的時候
[00:04:01.160 --> 00:04:03.000]  每個獨立體你都看得明白的
[00:04:03.000 --> 00:04:06.160]  每個大概兩三節就是一段經文
[00:04:06.160 --> 00:04:07.040]  就是說什麼呢?
[00:04:07.040 --> 00:04:08.320]  不要讓人跌倒
[00:04:08.320 --> 00:04:08.960]  你明白了
[00:04:08.960 --> 00:04:09.640]  要饒恕
[00:04:09.640 --> 00:04:11.240]  今天的題目你明白了
[00:04:11.240 --> 00:04:12.800]  論信心你會明白了
[00:04:12.800 --> 00:04:15.120]  獲人的本分你又明白了
[00:04:15.120 --> 00:04:16.360]  但是問題就是
[00:04:16.360 --> 00:04:18.600]  這十節放在一起你就不太明白了
[00:04:18.600 --> 00:04:19.200]  為什麼呢?
[00:04:19.200 --> 00:04:22.960]  因為你不太明白為什麼上文下理的關係是什麼
[00:04:22.960 --> 00:04:24.320]  事實上如果真的講饒恕
[00:04:24.320 --> 00:04:27.040]  就中間不夠兩節經文講饒恕而已
[00:04:27.040 --> 00:04:29.520]  於是乎寫《路加福音》
[00:04:29.520 --> 00:04:30.640]  編寫這個作者的時候
[00:04:30.640 --> 00:04:32.960]  將耶穌這些教導放在一起的時候
[00:04:32.960 --> 00:04:34.640]  究竟是想說什麼呢?
[00:04:34.640 --> 00:04:35.440]  今天
[00:04:35.440 --> 00:04:36.560]  恕難從命
[00:04:36.560 --> 00:04:38.280]  我們就會透過十節經文
[00:04:38.280 --> 00:04:40.160]  去嘗試看看
[00:04:40.160 --> 00:04:43.520]  神給我們一些什麼提醒和教導
[00:04:43.520 --> 00:04:44.880]  特別你都可能覺得
[00:04:44.880 --> 00:04:46.000]  我帶了一個問號在這裡
[00:04:46.000 --> 00:04:46.960]  就說很難
[00:04:46.960 --> 00:04:48.400]  饒恕不容易的時候
[00:04:48.400 --> 00:04:51.840]  上帝沒有說給我們聽是容易
[00:04:51.840 --> 00:04:53.600]  不過上帝教我們怎麼去看
[00:04:53.600 --> 00:04:54.640]  教我們怎麼去處理
[00:04:54.640 --> 00:04:56.080]  甚至給我們有出路
[00:04:56.080 --> 00:04:58.400]  最重要的就是我們願不願意
[00:04:58.400 --> 00:05:00.320]  去按著神的吩咐而行
[00:05:00.320 --> 00:05:02.480]  我們一起讀第一個重點
[00:05:02.480 --> 00:05:04.000]  預備開始
[00:05:04.000 --> 00:05:05.680]  總要饒恕
[00:05:05.680 --> 00:05:09.040]  因為我們也會叛倒別人
[00:05:09.040 --> 00:05:11.200]  我們先讀讀頭四節經文
[00:05:11.200 --> 00:05:12.480]  頭四節經文
[00:05:12.480 --> 00:05:13.600]  藍色的字
[00:05:13.600 --> 00:05:15.040]  請大家一同讀出
[00:05:15.040 --> 00:05:16.560]  我們用啟認的方式去讀
[00:05:16.560 --> 00:05:18.080]  耶穌對門徒說
[00:05:18.080 --> 00:05:19.520]  使人叛倒的事
[00:05:19.520 --> 00:05:21.600]  是不可能避免的
[00:05:21.600 --> 00:05:24.960]  但那使人叛倒的人有禍了
[00:05:24.960 --> 00:05:26.240]  對他來說
[00:05:26.240 --> 00:05:30.160]  在他的脖子上生一塊大磨石
[00:05:30.160 --> 00:05:32.320]  把他拎到海裡
[00:05:32.320 --> 00:05:37.600]  也比他使這小人物中的一個叛倒還好
[00:05:37.600 --> 00:05:38.880]  你們要謹慎
[00:05:38.880 --> 00:05:39.760]  一起讀
[00:05:39.760 --> 00:05:42.160]  如果你的兄弟犯罪
[00:05:42.160 --> 00:05:43.680]  要責備他
[00:05:43.680 --> 00:05:45.360]  如果他悔改
[00:05:45.360 --> 00:05:46.720]  要饒恕他
