
[00:00:00.000 --> 00:00:02.000]  敬請主妹主內平安
[00:00:02.000 --> 00:00:07.000]  在教會慶祝一百周年的時候
[00:00:07.000 --> 00:00:12.000]  我們特別邀請了浸會大學歷史系教授李金強博士
[00:00:12.000 --> 00:00:18.000]  寫了一本書叫《自立與關懷香港浸信教會百年史》
[00:00:18.000 --> 00:00:20.000]  有多少人看過?
[00:00:20.000 --> 00:00:22.000]  是我們自己教會的歷史
[00:00:22.000 --> 00:00:24.000]  我鼓勵你快點買來看
[00:00:26.000 --> 00:00:30.000]  這位作者李金強博士曾經這樣去強調
[00:00:30.000 --> 00:00:34.000]  歷史學科永遠有它的價值和意義
[00:00:34.000 --> 00:00:37.000]  他引用司馬遷之言
[00:00:37.000 --> 00:00:41.000]  讀歷史是通古今之便
[00:00:41.000 --> 00:00:43.000]  就是能夠精通歷史的人
[00:00:43.000 --> 00:00:48.000]  就會明白世界社會發展的來龍去脈
[00:00:48.000 --> 00:00:50.000]  所以其實你看我們很多時候都說
[00:00:50.000 --> 00:00:53.000]  失敗乃成功之母
[00:00:53.000 --> 00:00:57.000]  讀歷史或者看前人的好處
[00:00:57.000 --> 00:01:00.000]  就是我們能夠從別人的失敗當中
[00:01:00.000 --> 00:01:04.000]  來摸索出令自己成功的經驗
[00:01:04.000 --> 00:01:06.000]  避免重蹈覆轍
[00:01:06.000 --> 00:01:08.000]  又或者從另一方面來說
[00:01:08.000 --> 00:01:11.000]  我們可以從前人的成功例子裡面
[00:01:11.000 --> 00:01:14.000]  我們能夠吸取寶貴的教訓
[00:01:14.000 --> 00:01:20.000]  以致我們能夠行事上更能夠得心應手
[00:01:20.000 --> 00:01:23.000]  其實不用說這麼遠
[00:01:23.000 --> 00:01:25.000]  好像前人的歷史離我們很遠
[00:01:25.000 --> 00:01:28.000]  單單看回我們自己的歷史
[00:01:28.000 --> 00:01:30.000]  個人的歷史
[00:01:30.000 --> 00:01:32.000]  當我們回顧我們一生的時候
[00:01:32.000 --> 00:01:34.000]  我們總會明白
[00:01:34.000 --> 00:01:37.000]  在小時候作出一些決定
[00:01:37.000 --> 00:01:39.000]  無論讀什麼學校
[00:01:39.000 --> 00:01:41.000]  怎樣讀書等等
[00:01:41.000 --> 00:01:43.000]  做人處世的態度
[00:01:43.000 --> 00:01:46.000]  都會影響了今天的我們
