
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹大家早安
[00:00:02.000 --> 00:00:05.000]  有沒有覺得這個題目太偉大了
[00:00:05.000 --> 00:00:09.000]  當我們遇見困難患難的時候
[00:00:09.000 --> 00:00:13.000]  竟然可以讓我們從目前的絕望看到永恆的盼望
[00:00:13.000 --> 00:00:15.000]  到底是什麼樣的心境
[00:00:15.000 --> 00:00:19.000]  什麼樣的能力讓我們可以有這樣的遠光呢
[00:00:19.000 --> 00:00:21.000]  我們一同來禱告
[00:00:21.000 --> 00:00:22.000]  我們一同來禱告
[00:00:22.000 --> 00:00:24.000]  父神我們讚美祢
[00:00:24.000 --> 00:00:26.000]  祢是與我們同在的神
[00:00:26.000 --> 00:00:30.000]  願主的聖靈今天早上再次地接著祢的話語
[00:00:30.000 --> 00:00:33.000]  讓我們看見信仰的真實樣貌
[00:00:33.000 --> 00:00:37.000]  讓我們每一位都能夠來依靠祢
[00:00:37.000 --> 00:00:39.000]  主啊能夠來親近祢
[00:00:39.000 --> 00:00:42.000]  把我們真實的重擔卸在祢的面前
[00:00:42.000 --> 00:00:45.000]  主啊讓我們在祢的話語裡面得到安息
[00:00:45.000 --> 00:00:46.000]  得到力量
[00:00:46.000 --> 00:00:47.000]  願聖靈來感動我們
[00:00:47.000 --> 00:00:48.000]  保守孩子的口
[00:00:48.000 --> 00:00:50.000]  能夠說的和祢的心意
[00:00:50.000 --> 00:00:52.000]  禱告奉靠耶穌基督的名
[00:00:52.000 --> 00:00:56.000]  祢是與我們同在的神
[00:00:56.000 --> 00:00:59.000]  願主的聖靈再次地接著祢的話語
[00:00:59.000 --> 00:01:01.000]  讓我們每一位都能夠來依靠祢
[00:01:01.000 --> 00:01:03.000]  祢是與我們同在的神
[00:01:03.000 --> 00:01:05.000]  願主的聖靈來感動我們
[00:01:05.000 --> 00:01:06.000]  保守孩子的口
[00:01:06.000 --> 00:01:08.000]  能夠說的和祢的心意
[00:01:08.000 --> 00:01:10.000]  願主的聖靈來感動我們
[00:01:10.000 --> 00:01:11.000]  保守孩子的口
[00:01:11.000 --> 00:01:13.000]  願主的聖靈來感動我們
[00:01:13.000 --> 00:01:15.000]  保守孩子的口
[00:01:15.000 --> 00:01:17.000]  願主的聖靈來感動我們
[00:01:17.000 --> 00:01:18.000]  保守孩子的口
[00:01:18.000 --> 00:01:20.000]  願主的聖靈來感動我們
[00:01:20.000 --> 00:01:22.000]  保守孩子的口
[00:01:22.000 --> 00:01:24.000]  願主的聖靈來感動我們
[00:01:24.000 --> 00:01:25.000]  保守孩子的口
[00:01:25.000 --> 00:01:27.000]  願主的聖靈來感動我們
[00:01:27.000 --> 00:01:28.000]  保守孩子的口
[00:01:28.000 --> 00:01:30.000]  願主的聖靈來感動我們
[00:01:30.000 --> 00:01:31.000]  保守孩子的口
[00:01:31.000 --> 00:01:33.000]  願主的聖靈來感動我們
[00:01:33.000 --> 00:01:34.000]  保守孩子的口
