
[00:00:00.000 --> 00:00:05.000]  各位聽眾好,各位朋友好
[00:00:05.000 --> 00:00:09.000]  無論是在這裡聚會的,還是在教會裡的
[00:00:09.000 --> 00:00:13.000]  我們都在這裡問你們的安
[00:00:13.000 --> 00:00:16.000]  感謝天父帶領教會
[00:00:16.000 --> 00:00:23.000]  今年繼續用去年所用的主題
[00:00:23.000 --> 00:00:27.000]  就是「門訓」這個主題
[00:00:27.000 --> 00:00:33.000]  作為今年的主題和方向
[00:00:33.000 --> 00:00:36.000]  說到「門訓」的時候
[00:00:36.000 --> 00:00:42.000]  我們就不能忽略剛才讀的那段經文
[00:00:42.000 --> 00:00:48.000]  就是《路加福音》十四章這段經文
[00:00:48.000 --> 00:00:53.000]  耶穌對那些正在考慮信祂
[00:00:53.000 --> 00:00:57.000]  或者說已經相信了祂,做祂門徒的人
[00:00:57.000 --> 00:01:04.000]  指出跟隨祂要付出的代價
[00:01:04.000 --> 00:01:07.000]  是什麼代價呢?
[00:01:07.000 --> 00:01:12.000]  二十六節那句話是什麼呢?
[00:01:12.000 --> 00:01:17.000]  是要愛祂勝過愛自己的家庭
[00:01:17.000 --> 00:01:25.000]  二十七節那句話是要背起十字架來跟隨祂
[00:01:25.000 --> 00:01:33.000]  三十三節那句話是要撇下一切所有的
[00:01:33.000 --> 00:01:38.000]  才能做祂的門徒
[00:01:38.000 --> 00:01:47.000]  弟子們,我們想一想,耶穌到底是哪位呢?
[00:01:47.000 --> 00:01:58.000]  以致祂能夠向我們發出這種所謂無以上之的要求
[00:01:58.000 --> 00:02:07.000]  誰能夠願意和能夠付出這個代價呢?
[00:02:07.000 --> 00:02:11.000]  怎能如此?
[00:02:11.000 --> 00:02:17.000]  這是我們今天講到的主題
[00:02:17.000 --> 00:02:21.000]  在這段經文裡面,最後那兩節
[00:02:21.000 --> 00:02:24.000]  三十四、三十五這兩節
[00:02:24.000 --> 00:02:26.000]  我們讀起來的時候
[00:02:26.000 --> 00:02:32.000]  似乎跟上文好像是不相干,沒有關係的
[00:02:32.000 --> 00:02:36.000]  但是其實在這兩節裡面
[00:02:36.000 --> 00:02:42.000]  它提供了給我們以上的答案
[00:02:42.000 --> 00:02:48.000]  就是我們怎樣能夠跟隨主到底
[00:02:48.000 --> 00:02:51.000]  能夠付出這個代價呢?
[00:02:51.000 --> 00:02:55.000]  關鍵就在這兩節裡面
[00:02:55.000 --> 00:02:58.000]  這兩節講什麼呢?
[00:02:58.000 --> 00:03:00.000]  原本是好的
[00:03:00.000 --> 00:03:06.000]  如果失了美,怎能夠叫祂再行呢?
[00:03:06.000 --> 00:03:10.000]  閻是指什麼呢?
[00:03:10.000 --> 00:03:13.000]  閻原來是指門徒
[00:03:13.000 --> 00:03:20.000]  因為主耶穌在馬太福音第五章那裡
[00:03:20.000 --> 00:03:23.000]  很清楚地跟我們講
[00:03:23.000 --> 00:03:26.000]  五章十三節
[00:03:26.000 --> 00:03:29.000]  主耶穌說,指那些門徒
[00:03:29.000 --> 00:03:33.000]  你們是世上的閻
[00:03:33.000 --> 00:03:36.000]  所以閻是指門徒
[00:03:36.000 --> 00:03:40.000]  這裡所講的,閻若失了美
[00:03:40.000 --> 00:03:44.000]  失美是什麼意思呢?
[00:03:44.000 --> 00:03:46.000]  原來,原文
[00:03:46.000 --> 00:03:50.000]  失美其實那個詞是什麼呢?
[00:03:50.000 --> 00:03:56.000]  是愚絕
[00:03:56.000 --> 00:03:59.000]  失美的閻是指什麼呢?
[00:03:59.000 --> 00:04:06.000]  失美的閻就是指那些沒有跟隨主到底的人
[00:04:06.000 --> 00:04:09.000]  或者開始基本上不想跟隨他
[00:04:09.000 --> 00:04:13.000]  但是有些人,跟著就離開了
[00:04:13.000 --> 00:04:18.000]  這些就是失美的閻
[00:04:18.000 --> 00:04:22.000]  意思就是說,這些人其實是愚絕的
[00:04:22.000 --> 00:04:25.000]  所以,這個就意味著什麼呢?
[00:04:25.000 --> 00:04:29.000]  我們如果要跟隨主到底
[00:04:29.000 --> 00:04:32.000]  是需要智慧
[00:04:32.000 --> 00:04:37.000]  我們需要有智慧才能夠跟隨主到底
[00:04:37.000 --> 00:04:42.000]  問題就是,何來智慧呢?
[00:04:42.000 --> 00:04:46.000]  我們在哪裡得到智慧呢?
[00:04:46.000 --> 00:04:51.000]  這個在舊約的真言的九章十節那裡
[00:04:51.000 --> 00:04:54.000]  就讓我們看到答案
[00:04:54.000 --> 00:04:58.000]  大家都熟悉這節經文
[00:04:58.000 --> 00:05:02.000]  敬畏耶和華是智慧的開端
[00:05:02.000 --> 00:05:07.000]  認識智性者就是聰明
[00:05:07.000 --> 00:05:11.000]  原來智慧是透過我們認識神
[00:05:11.000 --> 00:05:14.000]  那裡能夠得到的
[00:05:14.000 --> 00:05:17.000]  問題就是,敬畏耶和華
[00:05:17.000 --> 00:05:23.000]  耶和華是哪位呢?
[00:05:23.000 --> 00:05:26.000]  我們又在舊約那裡找到答案
[00:05:26.000 --> 00:05:33.000]  就是出埃及的三章十三至十五節那裡
[00:05:33.000 --> 00:05:36.000]  在那段經文裡面
[00:05:36.000 --> 00:05:39.000]  摩西就問神
[00:05:39.000 --> 00:05:43.000]  如果以色列人問我
[00:05:43.000 --> 00:05:46.000]  你所說的神是誰呢?
[00:05:46.000 --> 00:05:49.000]  祂的名字是什麼呢?
[00:05:49.000 --> 00:05:52.000]  神就回答摩西
[00:05:52.000 --> 00:05:58.000]  耶和華是我的名字
[00:05:58.000 --> 00:06:01.000]  耶和華就是祂的名字
[00:06:01.000 --> 00:06:05.000]  這是出埃及的三章十五節說的
[00:06:05.000 --> 00:06:10.000]  但是祂的名字是什麼意思呢?
[00:06:10.000 --> 00:06:14.000]  猶太人的名字是有意思的
[00:06:14.000 --> 00:06:18.000]  這是希伯來的傳統
[00:06:18.000 --> 00:06:24.000]  看到希伯來人能夠出現的是耶和華
[00:06:24.000 --> 00:06:25.000]  耶和華神
[00:06:25.000 --> 00:06:29.000]  所以祂的名字一定是有意義的
[00:06:29.000 --> 00:06:32.000]  祂的名字是什麼意思呢?
[00:06:32.000 --> 00:06:36.000]  就是在三章十四節那裡
[00:06:36.000 --> 00:06:40.000]  在那裡,我們和學本是這樣翻譯的
[00:06:40.000 --> 00:06:46.000]  神就說,我是自有永有的
[00:06:46.000 --> 00:06:49.000]  簡寫來說就是
[00:06:49.000 --> 00:06:51.000]  祂是誰呢?
[00:06:51.000 --> 00:06:54.000]  祂是那位自有者
[00:06:54.000 --> 00:06:58.000]  祂是那位自有者
[00:06:58.000 --> 00:07:05.000]  NIV英文的翻譯是什麼呢?
[00:07:05.000 --> 00:07:10.000]  就是I am who I am
[00:07:10.000 --> 00:07:12.000]  簡寫是什麼呢?
[00:07:12.000 --> 00:07:15.000]  就是I am
[00:07:15.000 --> 00:07:20.000]  整個句子都是用大草寫出來的
[00:07:20.000 --> 00:07:25.000]  I am who I am
[00:07:25.000 --> 00:07:36.000]  猶太人和希臘人對這句話的解釋是怎樣的呢?
[00:07:36.000 --> 00:07:40.000]  如果將它翻譯成中文,就是這樣
[00:07:40.000 --> 00:07:42.000]  他們的詮釋就是這樣
[00:07:42.000 --> 00:07:49.000]  神說,我是今在,昔在,以後永在者
[00:07:49.000 --> 00:07:51.000]  我是那個
[00:07:51.000 --> 00:07:56.000]  今在,昔在,以後永在者
[00:07:56.000 --> 00:08:00.000]  這個講到祂是以後永在者
[00:08:00.000 --> 00:08:09.000]  這個翻譯是強調神永遠的存在
[00:08:09.000 --> 00:08:11.000]  昔在,今在,以後永在
[00:08:11.000 --> 00:08:15.000]  祂都在,祂都存在
[00:08:15.000 --> 00:08:20.000]  神學家指出
[00:08:20.000 --> 00:08:28.000]  這是指祂的靜態方面
[00:08:28.000 --> 00:08:32.000]  但是這樣解釋是不符合
[00:08:32.000 --> 00:08:36.000]  《出埃及記》第三章下面所講的
[00:08:36.000 --> 00:08:40.000]  因為《出埃及記》第三章十七節
[00:08:40.000 --> 00:08:43.000]  神就跟著說
[00:08:43.000 --> 00:08:46.000]  我要將你們,即是指以色列人
[00:08:46.000 --> 00:08:50.000]  從埃及的困苦裏面領出來
[00:08:50.000 --> 00:08:54.000]  帶他們往流乃與物之地
[00:08:54.000 --> 00:08:57.000]  是指這方面
[00:08:57.000 --> 00:09:03.000]  所以很明顯,耶和華神不是一位靜態的神
[00:09:03.000 --> 00:09:11.000]  而是一位施行拯救的動態的神
[00:09:11.000 --> 00:09:15.000]  以上的解釋,以前的看法
[00:09:15.000 --> 00:09:19.000]  來到聖經的結尾的時候
