
[00:00:00.000 --> 00:00:03.440]  各位今天節目的朋友們 早安
[00:00:03.440 --> 00:00:06.680]  雖然是最後一個禮拜跟各位分享
[00:00:06.680 --> 00:00:09.680]  今年我們第三個禮拜的主題
[00:00:09.680 --> 00:00:13.200]  就是人生 家庭 婚姻 事業
[00:00:13.200 --> 00:00:15.720]  兒女方面的訊息
[00:00:15.720 --> 00:00:20.880]  這一年來我已經講了大概10次了
[00:00:20.880 --> 00:00:24.080]  講得我都滾瓜爛熟了
[00:00:24.080 --> 00:00:26.560]  記得嗎 我第一次講是說
[00:00:26.560 --> 00:00:29.040]  如何數算你的日子
[00:00:29.040 --> 00:00:31.720]  求你指教我們怎樣數算自己的日子
[00:00:31.720 --> 00:00:35.600]  好叫我們得著智慧的心
[00:00:35.600 --> 00:00:39.880]  因為如果我們有一個積極進取的人生
[00:00:39.880 --> 00:00:42.800]  我們如果平庸的人生是1
[00:00:42.800 --> 00:00:45.360]  你積極進取你就1.1
[00:00:45.360 --> 00:00:48.720]  10年下來1.1乘上10次
[00:00:48.720 --> 00:00:53.760]  你有2.85的outcome的結果
[00:00:53.760 --> 00:00:57.800]  如果你懶散一點0.9乘10次
[00:00:57.800 --> 00:01:00.640]  你最後的結果是0.31
[00:01:00.640 --> 00:01:03.960]  你就比別人差了很多了
[00:01:03.960 --> 00:01:07.080]  所以我們要求神指教我們
[00:01:07.080 --> 00:01:08.360]  給我們一個智慧的心
[00:01:08.360 --> 00:01:11.160]  怎麼樣數算我們的日子
[00:01:11.160 --> 00:01:14.480]  How to count our days of life
[00:01:14.480 --> 00:01:17.800]  How to count our blessings
[00:01:17.800 --> 00:01:20.920]  另外我第二次講的是說
[00:01:20.920 --> 00:01:25.840]  我們一生其實所謂叫做終身大事
[00:01:25.840 --> 00:01:29.120]  就是我們的交友我們的摺偶
[00:01:29.120 --> 00:01:32.440]  是的 最近看一個報導說
[00:01:32.440 --> 00:01:35.720]  你人生最大的投資
[00:01:35.720 --> 00:01:41.040]  你最後那張王牌就是你的老伴
[00:01:41.040 --> 00:01:43.480]  什麼都靠不住了
[00:01:43.480 --> 00:01:46.720]  當我們年紀長了年紀大了
[00:01:46.720 --> 00:01:49.600]  你銀行有再多的存款
[00:01:49.600 --> 00:01:51.920]  你準備留給別人吧
[00:01:51.920 --> 00:01:56.240]  或者是你生了病你就拱手
[00:01:56.240 --> 00:01:58.840]  給了醫院給了醫生了
[00:01:58.840 --> 00:02:03.520]  但是你那個老伴他永遠保守
[00:02:03.520 --> 00:02:05.320]  永遠與你同在
[00:02:05.320 --> 00:02:08.680]  永遠照顧你永遠幫助你
[00:02:08.680 --> 00:02:11.520]  所以我說你的老伴
[00:02:11.520 --> 00:02:13.520]  你的另外一半是豺狼女貓
[00:02:13.520 --> 00:02:15.600]  還是狼豺虎豹
[00:02:15.600 --> 00:02:18.120]  就我們要注意了要當心了
[00:02:18.120 --> 00:02:21.000]  是的 聖經裡面也有許多的原則
[00:02:21.000 --> 00:02:24.600]  關於如何交友如何摺偶
[00:02:24.600 --> 00:02:26.880]  我們要多Pay一點Attention
[00:02:26.880 --> 00:02:28.800]  多注意一些
[00:02:28.800 --> 00:02:30.680]  第三次我說我們要活出一個
[00:02:30.680 --> 00:02:32.840]  和珅旨意的人生
[00:02:32.840 --> 00:02:34.520]  怎麼樣叫和珅旨意
[00:02:34.520 --> 00:02:37.000]  哇 穆斯林你講得太玄了吧
[00:02:37.000 --> 00:02:40.640]  No 經上面說
[00:02:40.640 --> 00:02:41.960]  要常常喜樂不諸的
[00:02:41.960 --> 00:02:44.120]  禱告凡事謝恩
[00:02:44.120 --> 00:02:46.800]  因為這是神在基督耶穌裡
