
[00:00:00.000 --> 00:00:03.000]  在我們開始的時候
[00:00:03.000 --> 00:00:06.000]  很想讓大家來這裡看看
[00:00:06.000 --> 00:00:09.000]  我去到溫哥華的時候是有機會
[00:00:09.000 --> 00:00:12.000]  有一天的時間去了一個島
[00:00:12.000 --> 00:00:16.000]  來參觀上面這個島的情形
[00:00:16.000 --> 00:00:19.000]  我去到這個島的時候
[00:00:19.000 --> 00:00:23.000]  我看到叢林非常的茂密
[00:00:23.000 --> 00:00:26.000]  到處都是青綠的樹林
[00:00:26.000 --> 00:00:29.000]  但沒想到去到一個地方參觀的時候
[00:00:29.000 --> 00:00:33.000]  我看到那大片的叢林全部死了
[00:00:33.000 --> 00:00:35.000]  這個叢林是什麼呢?
[00:00:35.000 --> 00:00:39.000]  就是種在水下面的樹
[00:00:39.000 --> 00:00:41.000]  全部死了
[00:00:41.000 --> 00:00:44.000]  但有很多人我們一直的傳聞
[00:00:44.000 --> 00:00:47.000]  有水就有生命
[00:00:47.000 --> 00:00:48.000]  是不是?
[00:00:48.000 --> 00:00:50.000]  有水就青綠
[00:00:50.000 --> 00:00:53.000]  有水就有各種不同的植物
[00:00:53.000 --> 00:00:56.000]  去去如生,繼續下去
[00:00:56.000 --> 00:01:00.000]  但我們去到的時候,我們發覺有一個很特別的地方
[00:01:00.000 --> 00:01:02.000]  就是流水的地方
[00:01:02.000 --> 00:01:04.000]  就是溪水旁的地方
[00:01:04.000 --> 00:01:06.000]  叢林非常茂密
[00:01:06.000 --> 00:01:08.000]  那些樹很大,摺不甩
[00:01:08.000 --> 00:01:10.000]  是一百多尺的樹
[00:01:10.000 --> 00:01:12.000]  全部是一樣的尺寸
[00:01:12.000 --> 00:01:14.000]  由最高到最下面
[00:01:14.000 --> 00:01:16.000]  那個大小都是這樣
[00:01:16.000 --> 00:01:18.000]  我們看到那些樹的時候
[00:01:18.000 --> 00:01:22.000]  我們心裡面是非常感恩
[00:01:22.000 --> 00:01:24.000]  為什麼樹可以這樣生呢?
[00:01:24.000 --> 00:01:27.000]  因為一般的樹是一路一路細下去的
[00:01:27.000 --> 00:01:28.000]  但他們不是的
[00:01:28.000 --> 00:01:31.000]  是由最底一直到最高都是這麼大
[00:01:31.000 --> 00:01:33.000]  而且去到很高
[00:01:33.000 --> 00:01:35.000]  唯獨去到一個湖
[00:01:35.000 --> 00:01:38.000]  這個湖本來不是一個湖
[00:01:38.000 --> 00:01:40.000]  但是一個沼澤地帶
[00:01:40.000 --> 00:01:42.000]  但去到這個沼澤地帶的時候
[00:01:42.000 --> 00:01:45.000]  因為水去到那裡是沒得出的
[00:01:45.000 --> 00:01:47.000]  就這樣留在那裡
[00:01:47.000 --> 00:01:49.000]  留在那裡若干年
[00:01:49.000 --> 00:01:57.000]  他們說其實這個死水的湖已經最少有十幾年的時間
[00:01:57.000 --> 00:01:59.000]  但給大家看到一樣東西
[00:01:59.000 --> 00:02:03.000]  就是原來不是有水就有生命
[00:02:03.000 --> 00:02:09.000]  死水帶來的是死樹
