
[00:00:00.000 --> 00:00:02.720]  弟兄姊妹 早上好 平安
[00:00:02.720 --> 00:00:04.840]  我們一起來做個禱告
[00:00:04.840 --> 00:00:06.720]  天父上帝 我們感謝你
[00:00:06.720 --> 00:00:10.560]  我們感謝你總是把你的愛放在我們這個家庭裏面
[00:00:10.560 --> 00:00:14.960]  我們祈求你繼續地用你的話語來建造我們
[00:00:14.960 --> 00:00:17.760]  以致我們成爲你合用的器皿
[00:00:17.760 --> 00:00:20.000]  求你真的是賜下你的話語
[00:00:20.000 --> 00:00:23.240]  叫我們都能夠因着你的話語而得福
[00:00:23.240 --> 00:00:26.000]  我們這樣禱告 奉主耶穌的名祈求
[00:00:26.000 --> 00:00:27.760]  Amen
[00:00:27.760 --> 00:00:30.160]  好 我想請問弟兄姊妹
[00:00:30.160 --> 00:00:34.080]  你們心目中的慈父是怎樣的呢?
[00:00:34.080 --> 00:00:38.880]  在你心目中有沒有一個慈祥的父親 慈愛的父親?
[00:00:38.880 --> 00:00:43.240]  有 那麼我們每個人都有不同的經歷
[00:00:43.240 --> 00:00:46.520]  可能你心中的慈父跟我心中的慈父有點不一樣
[00:00:46.520 --> 00:00:49.160]  但是我相信有很多的共同點
[00:00:49.160 --> 00:00:53.280]  他們都要能夠關愛我們 照顧我們
[00:00:53.280 --> 00:00:56.200]  爲我們遮風擋雨 對不對?
[00:00:56.200 --> 00:00:58.400]  我們的天父就是這樣的慈父
[00:00:58.400 --> 00:01:03.440]  在今天的講道 我會講浪子比喻的慈父篇
[00:01:03.440 --> 00:01:06.840]  但是我要先預告一下我們接下來幾次講道
[00:01:06.840 --> 00:01:09.480]  我們有一系列的講道
[00:01:09.480 --> 00:01:12.040]  今天是要講這個慈父篇
[00:01:12.040 --> 00:01:15.280]  那麼下個星期是9.21
[00:01:15.280 --> 00:01:19.480]  那麼林牧師就會來跟我們講這個戰爭與和平
[00:01:19.480 --> 00:01:23.280]  之後呢 他特別選這個題目非常棒
[00:01:23.280 --> 00:01:27.840]  那麼之後呢 我們又會講浪子比喻的浪子篇
[00:01:27.840 --> 00:01:34.360]  還有接下來第三講的時候是講浪子比喻的長子篇
[00:01:34.360 --> 00:01:37.640]  那麼我先想跟大家介紹一下
[00:01:37.640 --> 00:01:41.280]  這個浪子比喻在《路加福音》第15章
[00:01:41.280 --> 00:01:43.200]  在第15章那裏呢
[00:01:43.200 --> 00:01:50.080]  它其實是在講三個失而復得的比喻
[00:01:50.080 --> 00:01:55.280]  三個本來失去了 然後又找到了 又找回來的比喻
[00:01:55.280 --> 00:01:56.640]  這是耶穌講的
[00:01:56.640 --> 00:02:00.400]  那麼第一個呢 是失羊的比喻
[00:02:00.400 --> 00:02:01.680]  記不記得
[00:02:01.680 --> 00:02:06.320]  他說這個一百隻羊 如果不見了一隻
[00:02:06.320 --> 00:02:09.960]  你會放下九十九隻 去把那一隻找回來呢
[00:02:09.960 --> 00:02:11.640]  那個失羊的比喻
[00:02:11.640 --> 00:02:14.640]  然後呢 講完這個比喻之後呢 耶穌又繼續講
[00:02:14.640 --> 00:02:17.120]  他講什麼呢 講這個失錢的比喻
[00:02:17.120 --> 00:02:21.920]  就是錢不見了 你把它找回來的時候是不是非常的喜樂呢
[00:02:21.920 --> 00:02:25.640]  然後就來到第三個比喻 就是今天我們要看的這個比喻了
[00:02:25.640 --> 00:02:27.480]  就是浪子的比喻
[00:02:27.480 --> 00:02:29.520]  不過如果是失而復得呢
[00:02:29.520 --> 00:02:32.320]  我們可以說它是失了而止的比喻 對吧
[00:02:32.320 --> 00:02:33.600]  這是第三個比喻
[00:02:33.600 --> 00:02:35.320]  這是今天我們的焦點
