
[00:00:00.000 --> 00:00:02.820]  打開《聖經》 《創世紀》
[00:00:02.820 --> 00:00:09.580]  當我剛才聽鄧樹梅教師讀經課的時候
[00:00:09.580 --> 00:00:11.580]  我總是覺得
[00:00:11.580 --> 00:00:14.360]  自己很沒有創意
[00:00:14.360 --> 00:00:17.600]  當我見到亞當
[00:00:17.600 --> 00:00:21.180]  可以跟那麼多走獸命名的時候
[00:00:21.180 --> 00:00:23.180]  我覺得很有創意
[00:00:23.180 --> 00:00:25.180]  我跟三個兒子起名
[00:00:25.180 --> 00:00:28.260]  我都想到很多天才想到三個名字
[00:00:28.260 --> 00:00:31.260]  他想到那麼多名字 你不覺得很厲害嗎
[00:00:31.260 --> 00:00:33.260]  很厲害
[00:00:33.260 --> 00:00:35.260]  《聖經》記載
[00:00:35.260 --> 00:00:39.260]  亞當跟這些動物命名的時候
[00:00:39.260 --> 00:00:41.260]  神見到他自己一個人做得辛苦
[00:00:41.260 --> 00:00:43.260]  然後怎樣
[00:00:43.260 --> 00:00:47.260]  做了夏娃去幫助他
[00:00:47.260 --> 00:00:49.260]  在第三章
[00:00:49.260 --> 00:00:54.260]  就講到亞當跟夏娃犯罪
[00:00:54.260 --> 00:00:56.260]  大家都很熟悉
[00:00:56.260 --> 00:00:58.260]  發生什麼事
[00:00:58.260 --> 00:01:00.260]  一條蛇
[00:01:00.260 --> 00:01:02.260]  撒旦
[00:01:02.260 --> 00:01:05.260]  他動搖夏娃對神的信心
[00:01:05.260 --> 00:01:07.260]  神吩咐不可以吃
[00:01:07.260 --> 00:01:09.260]  分別善惡樹的果子
[00:01:09.260 --> 00:01:11.260]  他讓夏娃質疑
[00:01:11.260 --> 00:01:13.260]  神這樣講
[00:01:13.260 --> 00:01:15.260]  是不是真的
[00:01:15.260 --> 00:01:17.260]  終於夏娃吃了分別善惡樹的果子
[00:01:17.260 --> 00:01:19.260]  吃完之後怎樣
[00:01:19.260 --> 00:01:21.260]  給亞當 亞當又吃了
[00:01:21.260 --> 00:01:23.260]  就這麼簡單
