
[00:00:00.000 --> 00:00:04.460]  我最後一個想錄的交友站
[00:00:04.460 --> 00:00:08.380]  是跟我之前星期天或者星期六
[00:00:08.380 --> 00:00:10.640]  講那個復活節的信息有關係
[00:00:10.640 --> 00:00:12.440]  我就是講啟示錄的
[00:00:12.440 --> 00:00:15.100]  其中一個去到最後一個高潮
[00:00:15.100 --> 00:00:18.320]  有一個這樣的一段聖經的
[00:00:18.320 --> 00:00:21.980]  是第五個印打開的時候
[00:00:21.980 --> 00:00:23.840]  我也都強調幾次
[00:00:23.840 --> 00:00:26.740]  是啟示錄整個中心的中心
[00:00:26.740 --> 00:00:28.520]  或者是啟示錄的靈魂
[00:00:28.520 --> 00:00:33.140]  我讀一讀這一節聖經 啟示錄第六章第十一節
[00:00:33.140 --> 00:00:36.580]  「於是有白袍刺擊他們各人
[00:00:36.580 --> 00:00:41.060]  又有話吩咐他們還要潔色片刻」
[00:00:41.060 --> 00:00:43.960]  這個「他們」如果你知道前面在講什麼
[00:00:43.960 --> 00:00:49.260]  就是那些已經為主殉道的人的靈魂
[00:00:49.260 --> 00:00:51.620]  他們在那裡祈禱How long?
[00:00:51.620 --> 00:00:56.720]  還有多久上帝才來幫他們討回公平呢?
[00:00:56.720 --> 00:01:02.840]  「上帝你一定要回來 你一定要回來為我們伸冤」
[00:01:02.840 --> 00:01:04.720]  接著這個就是回答了
[00:01:04.720 --> 00:01:08.120]  就是說「還要潔色片刻 還要片刻
[00:01:08.120 --> 00:01:13.660]  等到與他們同作僕人的和他們的弟兄
[00:01:13.660 --> 00:01:19.820]  將他們一樣被殺的人的數目湊足的時候」
[00:01:19.820 --> 00:01:22.720]  我想我們很難想像
[00:01:22.720 --> 00:01:28.880]  初期教會的基督徒他們已經受很大的壓力
[00:01:28.880 --> 00:01:30.720]  或者是很大的逼迫
[00:01:30.720 --> 00:01:33.180]  他們自己都見到很多的同伴
[00:01:33.180 --> 00:01:35.220]  或者是在這個案件
[00:01:35.220 --> 00:01:39.000]  約翰他自己的一些弟兄已經是殉道了
[00:01:39.000 --> 00:01:42.040]  也都包括保羅和彼得
[00:01:42.040 --> 00:01:44.300]  他說在那裡祈禱How long?
[00:01:44.300 --> 00:01:49.340]  還有多久上帝的答案竟然是還要等片刻
[00:01:49.340 --> 00:01:53.440]  這個如果我們看回整個啟示錄
[00:01:53.440 --> 00:01:54.900]  完全是上帝掌管
[00:01:54.900 --> 00:01:59.340]  不是因為黑暗的權勢需要多些時間
[00:01:59.340 --> 00:02:01.300]  而上帝才可以征服
[00:02:01.300 --> 00:02:04.420]  而是上帝其中一個心意
[00:02:04.420 --> 00:02:08.420]  這個第五個刃都是高揚打開的
[00:02:08.420 --> 00:02:10.640]  完全是上帝掌控的
[00:02:10.640 --> 00:02:14.420]  上帝的心意就是
[00:02:14.420 --> 00:02:20.520]  祂的教會在祂的逼迫當中顯出祂的榮耀
[00:02:20.520 --> 00:02:25.320]  就是忍耐到底必然得救
[00:02:25.320 --> 00:02:31.140]  也是盡忠、竭心盡力、死而後已
[00:02:31.140 --> 00:02:34.960]  這裡說到上帝有一個數目
[00:02:34.960 --> 00:02:40.360]  就是為他殉教的人上帝有一個定義
[00:02:40.360 --> 00:02:42.500]  有時候很難想像
[00:02:42.500 --> 00:02:45.760]  但是我也想跟你強調一樣東西
[00:02:45.760 --> 00:02:49.940]  就是這個被殺的數目湊足之前
[00:02:49.940 --> 00:02:54.520]  這個被殺的數目其中一個很重要的人就是耶穌
[00:02:54.520 --> 00:02:56.740]  耶穌也是在這個被殺的數目之中
[00:02:56.740 --> 00:02:58.640]  雖然我們可以說祂不是第一個
[00:02:58.640 --> 00:03:01.600]  因為舊約聖經裡面已經有很多先知被殺
[00:03:01.600 --> 00:03:03.600]  但是祂是那個首領
[00:03:03.600 --> 00:03:06.880]  他們舊約先知被殺的原因是因為
[00:03:06.880 --> 00:03:09.100]  他們跟隨的主是被殺的
[00:03:09.100 --> 00:03:15.560]  而我們後來的人仍然都是跟在同一個十字架上
[00:03:15.560 --> 00:03:19.540]  我們也是背著十字架去跟隨上帝
[00:03:19.540 --> 00:03:21.860]  如果你去看寶羅的書信裡面
[00:03:21.860 --> 00:03:25.060]  寶羅也有一節聖經是這麼說的
[00:03:25.060 --> 00:03:29.520]  彷彿是由影子指向啟示的角度這麼說
[00:03:29.520 --> 00:03:32.460]  寶羅在哥羅西書第一章第24節這麼說
[00:03:32.460 --> 00:03:36.000]  「現在我為你們受苦到很快樂
[00:03:36.000 --> 00:03:39.340]  並且為基督的身體就是為教會
[00:03:39.340 --> 00:03:44.420]  我要在自己的肉身上補滿基督未盡的苦難」
[00:03:44.420 --> 00:03:46.680]  寶羅這個是一個監獄的書信
[00:03:46.680 --> 00:03:50.760]  它說的是在他肉身裏面補滿基督未盡的苦難
[00:03:50.760 --> 00:03:55.140]  我想這個意思不是說耶穌受苦未受夠
[00:03:55.140 --> 00:04:00.180]  如果你記得前面之前我說的加油站
[00:04:00.180 --> 00:04:03.640]  是耶穌喝盡了上帝的憤怒
[00:04:03.640 --> 00:04:07.300]  它說的是基督未盡的苦難
[00:04:07.300 --> 00:04:08.960]  我想這個是上帝的心儀
[00:04:08.960 --> 00:04:11.720]  上帝的心儀就是基督與他的教會
[00:04:11.720 --> 00:04:14.280]  他的身體在這個世界上
