
[00:00:00.000 --> 00:00:06.000]  生命是人類最大的資產
[00:00:06.000 --> 00:00:11.000]  人如果失去這個資產
[00:00:11.000 --> 00:00:15.000]  可以說他就是失去一切
[00:00:15.000 --> 00:00:18.000]  但人在地上的肉身
[00:00:18.000 --> 00:00:20.000]  這個生命
[00:00:20.000 --> 00:00:23.000]  事實上有一天是會完結的
[00:00:23.000 --> 00:00:27.000]  只不過長短各有不同
[00:00:27.000 --> 00:00:30.000]  你和我也不知道
[00:00:30.000 --> 00:00:33.000]  我們生命何時終結
[00:00:33.000 --> 00:00:40.000]  面對不可知又是事實的死亡
[00:00:40.000 --> 00:00:44.000]  有人說他會感到不明白
[00:00:44.000 --> 00:00:47.000]  為什麼會有死亡
[00:00:47.000 --> 00:00:50.000]  有人也不想去面對
[00:00:50.000 --> 00:00:54.000]  有人更加因為死後不知道會怎樣
[00:00:54.000 --> 00:00:57.000]  心裡感到很不安
[00:00:57.000 --> 00:01:01.000]  甚至為死亡帶來夢想的破滅
[00:01:01.000 --> 00:01:05.000]  心裡很不忿
[00:01:05.000 --> 00:01:10.000]  為死亡帶來至親至愛離別
[00:01:10.000 --> 00:01:13.000]  心裡也有很多不捨
[00:01:13.000 --> 00:01:16.000]  無論什麼感受
[00:01:16.000 --> 00:01:18.000]  對於死亡
[00:01:18.000 --> 00:01:20.000]  對於很多人來說
[00:01:20.000 --> 00:01:24.000]  都似乎是一件絕望
[00:01:24.000 --> 00:01:28.000]  無奈要面對的事實
[00:01:28.000 --> 00:01:30.000]  以下我想先請一位
[00:01:30.000 --> 00:01:33.000]  準會友一位弟兄
[00:01:33.000 --> 00:01:35.000]  他會簡單分享他兩次
[00:01:35.000 --> 00:01:42.000]  對死亡的一個回憶
[00:01:42.000 --> 00:01:45.000]  大家都坐在這裡
[00:01:45.000 --> 00:01:48.000]  所以我們都是有生命氣息的
[00:01:48.000 --> 00:01:54.000]  可能跟死亡不太接近
[00:01:54.000 --> 00:01:57.000]  但是我記得
[00:01:57.000 --> 00:01:59.000]  我小時候
[00:01:59.000 --> 00:02:00.000]  很小的時候
[00:02:00.000 --> 00:02:03.000]  我都不記得幾多歲
[00:02:03.000 --> 00:02:09.000]  其實我就開始想死亡這個題目
[00:02:09.000 --> 00:02:13.000]  有一次我爸爸帶我去和合石
[00:02:13.000 --> 00:02:14.000]  我那時候很小
[00:02:14.000 --> 00:02:16.000]  幾多歲我都不記得
[00:02:16.000 --> 00:02:19.000]  我去的時候
[00:02:19.000 --> 00:02:21.000]  不知那時候為何會有些照片
[00:02:21.000 --> 00:02:24.000]  那些照片是骷髏骨頭
[00:02:24.000 --> 00:02:26.000]  我見到有一個骷髏骨頭
[00:02:26.000 --> 00:02:29.000]  特別是橫、肥大
[00:02:29.000 --> 00:02:31.000]  像我爸爸
[00:02:31.000 --> 00:02:33.000]  我就叫我爸爸
[00:02:33.000 --> 00:02:34.000]  看看那張照片
[00:02:34.000 --> 00:02:35.000]  好像你
[00:02:35.000 --> 00:02:38.000]  將來你可能會是這樣
[00:02:38.000 --> 00:02:41.000]  那時候我當然不知為何
[00:02:41.000 --> 00:02:43.000]  可能這樣會嚇到我爸爸
[00:02:43.000 --> 00:02:45.000]  但他當然是在笑
[00:02:45.000 --> 00:02:51.000]  因為他不會怪我知道我不明白
[00:02:51.000 --> 00:02:54.000]  第二次的經歷是
[00:02:54.000 --> 00:02:57.000]  當我媽媽要生我弟弟的時候
[00:02:57.000 --> 00:03:01.000]  在醫院代產
[00:03:01.000 --> 00:03:02.000]  剛好我婆婆
[00:03:02.000 --> 00:03:04.000]  即是我媽媽的媽媽
[00:03:04.000 --> 00:03:10.000]  其實也在病危當中
[00:03:10.000 --> 00:03:12.000]  我弟弟出世之後沒多久
[00:03:12.000 --> 00:03:14.000]  婆婆就走了
[00:03:14.000 --> 00:03:17.000]  家人即是我舅父、舅母
[00:03:17.000 --> 00:03:18.000]  都不敢和我媽媽說
[00:03:18.000 --> 00:03:20.000]  因為剛生完孩子
[00:03:20.000 --> 00:03:22.000]  身體虛弱一點
[00:03:22.000 --> 00:03:26.000]  但我媽媽後來覺得怪
[00:03:26.000 --> 00:03:28.000]  為何我媽媽不來探望我
[00:03:28.000 --> 00:03:31.000]  婆婆不來探望媽媽
[00:03:31.000 --> 00:03:34.000]  後來有一天
[00:03:34.000 --> 00:03:36.000]  當然在家中出院
[00:03:36.000 --> 00:03:38.000]  我當時很小
[00:03:38.000 --> 00:03:43.000]  我看著他們說事實出來的時候
[00:03:43.000 --> 00:03:46.000]  我媽媽就嚎啕大哭
[00:03:46.000 --> 00:03:50.000]  其實我當時心裡是不明白的
[00:03:50.000 --> 00:03:52.000]  也不會覺得很傷心
[00:03:52.000 --> 00:03:54.000]  雖然婆婆也很疼我
[00:03:54.000 --> 00:03:57.000]  也不會覺得有甚麼感覺
[00:03:57.000 --> 00:04:00.000]  但到我十一、二歲左右
[00:04:00.000 --> 00:04:05.000]  我就發覺開始有點不捨得
[00:04:05.000 --> 00:04:09.000]  我發覺我爸媽正在衰老
[00:04:09.000 --> 00:04:11.000]  一直會老
[00:04:11.000 --> 00:04:13.000]  我自己當然在成長
